% 1. Title: Horse Colic database
%
% 2. Source Information
%    -- Creators: Mary McLeish & Matt Cecile
% 	  	Department of Computer Science
% 		University of Guelph
% 		Guelph, Ontario, Canada N1G 2W1
% 		mdmcleish@water.waterloo.edu
%    -- Donor:    Will Taylor (taylor@pluto.arc.nasa.gov)
%    -- Date:     8/6/89
%
% 3. Past Usage:
%    -- Unknown
%
% 4. Relevant Information:
%
%    -- 2 data files
%       -- horse-colic.data: 300 training instances
%       -- horse-colic.test: 68 test instances
%    -- Possible class attributes: 24 (whether lesion is surgical)
%      -- others include: 23, 25, 26, and 27
%    -- Many Data types: (continuous, discrete, and nominal)
%
% 5. Number of Instances: 368 (300 for training, 68 for testing)
%
% 6. Number of attributes: 28
%
% 7. Attribute Information:
%
%   1:  surgery?
%           1 = Yes, it had surgery
%           2 = It was treated without surgery
%
%   2:  Age
%           1 = Adult horse
%           2 = Young (< 6 months)
%
%   3:  Hospital Number
%           - numeric id
%           - the case number assigned to the horse
%             (may not be unique if the horse is treated > 1 time)
%
%   4:  rectal temperature
%           - linear
%           - in degrees celsius.
%           - An elevated temp may occur due to infection.
%           - temperature may be reduced when the animal is in late shock
%           - normal temp is 37.8
%           - this parameter will usually change as the problem progresses
%                eg. may start out normal, then become elevated because of
%                    the lesion, passing back through the normal range as the
%                    horse goes into shock
%   5:  pulse
%           - linear
%           - the heart rate in beats per minute
%           - is a reflection of the heart condition: 30 -40 is normal for adults
%           - rare to have a lower than normal rate although athletic horses
%             may have a rate of 20-25
%           - animals with painful lesions or suffering from circulatory shock
%             may have an elevated heart rate
%
%   6:  respiratory rate
%           - linear
%           - normal rate is 8 to 10
%           - usefulness is doubtful due to the great fluctuations
%
%   7:  temperature of extremities
%           - a subjective indication of peripheral circulation
%           - possible values:
%                1 = Normal
%                2 = Warm
%                3 = Cool
%                4 = Cold
%           - cool to cold extremities indicate possible shock
%           - hot extremities should correlate with an elevated rectal temp.
%
%   8:  peripheral pulse
%           - subjective
%           - possible values are:
%                1 = normal
%                2 = increased
%                3 = reduced
%                4 = absent
%           - normal or increased p.p. are indicative of adequate circulation
%             while reduced or absent indicate poor perfusion
%
%   9:  mucous membranes
%           - a subjective measurement of colour
%           - possible values are:
%                1 = normal pink
%                2 = bright pink
%                3 = pale pink
%                4 = pale cyanotic
%                5 = bright red / injected
%                6 = dark cyanotic
%           - 1 and 2 probably indicate a normal or slightly increased
%             circulation
%           - 3 may occur in early shock
%           - 4 and 6 are indicative of serious circulatory compromise
%           - 5 is more indicative of a septicemia
%
%  10: capillary refill time
%           - a clinical judgement. The longer the refill, the poorer the
%             circulation
%           - possible values
%                1 = < 3 seconds
%                2 = >= 3 seconds
%
%  11: pain - a subjective judgement of the horse's pain level
%           - possible values:
%                1 = alert, no pain
%                2 = depressed
%                3 = intermittent mild pain
%                4 = intermittent severe pain
%                5 = continuous severe pain
%           - should NOT be treated as a ordered or discrete variable!
%           - In general, the more painful, the more likely it is to require
%             surgery
%           - prior treatment of pain may mask the pain level to some extent
%
%  12: peristalsis
%           - an indication of the activity in the horse's gut. As the gut
%             becomes more distended or the horse becomes more toxic, the
%             activity decreases
%           - possible values:
%                1 = hypermotile
%                2 = normal
%                3 = hypomotile
%                4 = absent
%
%  13: abdominal distension
%           - An IMPORTANT parameter.
%           - possible values
%                1 = none
%                2 = slight
%                3 = moderate
%                4 = severe
%           - an animal with abdominal distension is likely to be painful and
%             have reduced gut motility.
%           - a horse with severe abdominal distension is likely to require
%             surgery just tio relieve the pressure
%
%  14: nasogastric tube
%           - this refers to any gas coming out of the tube
%           - possible values:
%                1 = none
%                2 = slight
%                3 = significant
%           - a large gas cap in the stomach is likely to give the horse
%             discomfort
%
%  15: nasogastric reflux
%           - possible values
%                1 = none
%                2 = > 1 liter
%                3 = < 1 liter
%           - the greater amount of reflux, the more likelihood that there is
%             some serious obstruction to the fluid passage from the rest of
%             the intestine
%
%  16: nasogastric reflux PH
%           - linear
%           - scale is from 0 to 14 with 7 being neutral
%           - normal values are in the 3 to 4 range
%
%  17: rectal examination - feces
%           - possible values
%                1 = normal
%                2 = increased
%                3 = decreased
%                4 = absent
%           - absent feces probably indicates an obstruction
%
%  18: abdomen
%           - possible values
%                1 = normal
%                2 = other
%                3 = firm feces in the large intestine
%                4 = distended small intestine
%                5 = distended large intestine
%           - 3 is probably an obstruction caused by a mechanical impaction
%             and is normally treated medically
%           - 4 and 5 indicate a surgical lesion
%
%  19: packed cell volume
%           - linear
%           - the # of red cells by volume in the blood
%           - normal range is 30 to 50. The level rises as the circulation
%             becomes compromised or as the animal becomes dehydrated.
%
%  20: total protein
%           - linear
%           - normal values lie in the 6-7.5 (gms/dL) range
%           - the higher the value the greater the dehydration
%
%  21: abdominocentesis appearance
%           - a needle is put in the horse's abdomen and fluid is obtained from
%             the abdominal cavity
%           - possible values:
%                1 = clear
%                2 = cloudy
%                3 = serosanguinous
%           - normal fluid is clear while cloudy or serosanguinous indicates
%             a compromised gut
%
%  22: abdomcentesis total protein
%           - linear
%           - the higher the level of protein the more likely it is to have a
%             compromised gut. Values are in gms/dL
%
%  23: outcome
%           - what eventually happened to the horse?
%           - possible values:
%                1 = lived
%                2 = died
%                3 = was euthanized
%
%  24: surgical lesion?
%           - retrospectively, was the problem (lesion) surgical?
%           - all cases are either operated upon or autopsied so that
%             this value and the lesion type are always known
%           - possible values:
%                1 = Yes
%                2 = No
%
%
%
%
%
% Relabeled values in attribute 'surgery'
%    From: '1'                     To: yes
%    From: '2'                     To: no
%
%
% Relabeled values in attribute 'Age'
%    From: '1'                     To: adult
%    From: '9'                     To: young
%
%
% Relabeled values in attribute 'temp_extremities'
%    From: '1'                     To: normal
%    From: '2'                     To: warm
%    From: '3'                     To: cool
%    From: '4'                     To: cold
%
%
% Relabeled values in attribute 'peripheral_pulse'
%    From: '1'                     To: normal
%    From: '2'                     To: increased
%    From: '3'                     To: reduced
%    From: '4'                     To: absent
%
%
% Relabeled values in attribute 'mucous_membranes'
%    From: '1'                     To: 'normal pink'
%    From: '2'                     To: 'bright pink'
%    From: '3'                     To: 'pale pink'
%    From: '4'                     To: 'pale cyanotic'
%    From: '5'                     To: 'bright red'
%    From: '6'                     To: 'dark cyanotic'
%
%
% Relabeled values in attribute 'capillary_refill_time'
%    From: '1'                     To: '<3'
%    From: '2'                     To: '>=3'
%    From: '3'                     To: 'meaning unknown'
%
%
% Relabeled values in attribute 'pain'
%    From: '1'                     To: 'alert no pain'
%    From: '2'                     To: depressed
%    From: '3'                     To: 'intermittent mild pain'
%    From: '4'                     To: 'intermittent severe pain'
%    From: '5'                     To: 'continuous severe pain'
%
%
% Relabeled values in attribute 'peristalsis'
%    From: '1'                     To: hypermotile
%    From: '2'                     To: normal
%    From: '3'                     To: hypomotile
%    From: '4'                     To: absent
%
%
% Relabeled values in attribute 'abdominal_distension'
%    From: '1'                     To: none
%    From: '2'                     To: slight
%    From: '3'                     To: moderate
%    From: '4'                     To: severe
%
%
% Relabeled values in attribute 'nasogastric_tube'
%    From: '1'                     To: none
%    From: '2'                     To: slight
%    From: '3'                     To: significant
%
%
% Relabeled values in attribute 'nasogastric_reflux'
%    From: '1'                     To: none
%    From: '2'                     To: '>1l'
%    From: '3'                     To: '<1l'
%
%
% Relabeled values in attribute 'rectal_examination'
%    From: '1'                     To: normal
%    From: '2'                     To: increased
%    From: '3'                     To: decreased
%    From: '4'                     To: absent
%
%
% Relabeled values in attribute 'abdomen'
%    From: '1'                     To: normal
%    From: '2'                     To: other
%    From: '3'                     To: 'firm feces in large intestine'
%    From: '4'                     To: 'distended small intestine'
%    From: '5'                     To: 'distended large intestine'
%
%
% Relabeled values in attribute 'abdominocentesis_appearance'
%    From: '1'                     To: clear
%    From: '2'                     To: cloudy
%    From: '3'                     To: serosanguinous
%
%
% Relabeled values in attribute 'outcome'
%    From: '1'                     To: lived
%    From: '2'                     To: died
%    From: '3'                     To: euthanized
%
%
% Relabeled values in attribute 'surgical_lesion'
%    From: '1'                     To: yes
%    From: '2'                     To: no
%
@RELATION colic

@ATTRIBUTE ID NUMERIC
@ATTRIBUTE surgery {yes, no}
@ATTRIBUTE Age {adult, young}
@ATTRIBUTE rectal_temperature REAL
@ATTRIBUTE pulse REAL
@ATTRIBUTE respiratory_rate REAL
@ATTRIBUTE temp_extremities {normal, warm, cool, cold}
@ATTRIBUTE peripheral_pulse {normal, increased, reduced, absent}
@ATTRIBUTE mucous_membranes {'normal pink', 'bright pink', 'pale pink', 'pale cyanotic', 'bright red', 'dark cyanotic'}
@ATTRIBUTE capillary_refill_time {<3, >=3, 'meaning unknown'}
@ATTRIBUTE pain {'alert no pain', depressed, 'intermittent mild pain', 'intermittent severe pain', 'continuous severe pain'}
@ATTRIBUTE peristalsis {hypermotile, normal, hypomotile, absent}
@ATTRIBUTE abdominal_distension {none, slight, moderate, severe}
@ATTRIBUTE nasogastric_tube {none, slight, significant}
@ATTRIBUTE nasogastric_reflux {none, >1l, <1l}
@ATTRIBUTE nasogastric_reflux_PH REAL
@ATTRIBUTE rectal_examination {normal, increased, decreased, absent}
@ATTRIBUTE abdomen {normal, other, 'firm feces in large intestine', 'distended small intestine', 'distended large intestine'}
@ATTRIBUTE packed_cell_volume REAL
@ATTRIBUTE total_protein REAL
@ATTRIBUTE abdominocentesis_appearance {clear, cloudy, serosanguinous}
@ATTRIBUTE abdomcentesis_total_protein REAL
@ATTRIBUTE outcome {lived, died, euthanized}
@ATTRIBUTE surgical_lesion {yes, no}

@DATA
0,no,adult,38.5,66.0,28.0,cool,reduced,?,>=3,'continuous severe pain',absent,severe,?,?,?,decreased,'distended large intestine',45.0,8.4,?,?,died,no
1,yes,adult,39.2,88.0,20.0,cool,reduced,'pale cyanotic',<3,'intermittent mild pain',absent,slight,?,?,?,absent,other,50.0,85.0,cloudy,2.0,euthanized,no
2,no,adult,38.3,40.0,24.0,normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,?,?,?,normal,normal,33.0,6.7,cloudy,2.0,lived,no
3,yes,young,39.1,164.0,84.0,cold,normal,'dark cyanotic',>=3,depressed,absent,severe,none,>1l,5.0,decreased,normal,48.0,7.2,serosanguinous,5.3,died,yes
5,no,adult,39.1,164.0,84.0,warm,normal,'pale pink',<3,depressed,hypomotile,slight,slight,none,5.0,decreased,'firm feces in large intestine',48.0,7.2,serosanguinous,5.3,lived,no
6,yes,adult,37.9,48.0,16.0,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,none,5.0,decreased,'distended large intestine',37.0,7.0,serosanguinous,5.3,lived,yes
7,yes,adult,37.9,60.0,16.0,cool,normal,'normal pink',<3,'intermittent mild pain',absent,slight,slight,none,5.0,decreased,'distended small intestine',44.0,8.3,serosanguinous,5.3,died,yes
9,no,young,38.3,90.0,16.0,normal,normal,'normal pink',<3,'continuous severe pain',hypomotile,none,slight,none,5.0,decreased,'distended small intestine',40.0,6.2,clear,2.2,lived,no
10,yes,adult,38.1,66.0,12.0,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,none,slight,none,3.0,increased,'distended large intestine',44.0,6.0,cloudy,3.6,lived,yes
11,no,adult,39.1,72.0,52.0,warm,reduced,'bright pink',<3,depressed,hypermotile,slight,none,none,3.0,absent,'distended small intestine',50.0,7.8,cloudy,3.6,lived,yes
13,no,young,38.0,92.0,28.0,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,significant,none,7.2,normal,normal,37.0,6.1,clear,3.6,died,no
15,yes,adult,37.6,96.0,48.0,cool,normal,'pale cyanotic',<3,'continuous severe pain',hypomotile,moderate,slight,<1l,4.5,absent,normal,45.0,6.8,clear,3.6,died,yes
16,yes,young,37.6,128.0,36.0,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,significant,<1l,4.5,absent,'distended large intestine',53.0,7.8,serosanguinous,4.7,died,no
17,no,adult,37.5,48.0,24.0,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,significant,<1l,4.5,absent,'distended large intestine',53.0,7.8,serosanguinous,4.7,lived,no
18,yes,adult,37.6,64.0,21.0,normal,normal,'bright pink',<3,depressed,hypomotile,none,none,none,4.5,increased,'distended large intestine',40.0,7.0,clear,4.7,lived,yes
19,no,adult,39.4,110.0,35.0,cold,reduced,'dark cyanotic',<3,depressed,hypomotile,moderate,none,none,4.5,increased,'distended large intestine',55.0,8.7,clear,4.7,lived,no
20,yes,adult,39.9,72.0,60.0,normal,normal,'bright red',>=3,'continuous severe pain',absent,severe,significant,none,4.5,absent,'distended small intestine',46.0,6.1,cloudy,4.7,lived,yes
21,no,adult,38.4,48.0,16.0,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,<1l,5.5,absent,'firm feces in large intestine',49.0,6.8,cloudy,4.7,lived,no
22,yes,adult,38.6,42.0,34.0,warm,normal,'pale cyanotic',<3,depressed,hypomotile,none,slight,<1l,5.5,normal,'firm feces in large intestine',48.0,7.2,cloudy,4.7,lived,yes
23,yes,young,38.3,130.0,60.0,warm,reduced,'pale cyanotic',<3,depressed,absent,none,slight,<1l,5.5,normal,'firm feces in large intestine',50.0,70.0,cloudy,4.7,lived,yes
24,yes,adult,38.1,60.0,12.0,cool,reduced,'pale pink',<3,depressed,absent,moderate,significant,>1l,2.0,normal,'firm feces in large intestine',51.0,65.0,cloudy,4.7,lived,yes
25,no,adult,37.8,60.0,42.0,cool,reduced,'pale pink',<3,depressed,absent,moderate,significant,>1l,2.0,normal,'firm feces in large intestine',51.0,65.0,cloudy,4.7,lived,no
29,no,adult,37.7,48.0,42.0,warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,none,none,2.0,normal,'firm feces in large intestine',45.0,76.0,cloudy,4.7,lived,no
30,no,adult,37.7,96.0,30.0,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,>1l,4.0,absent,'distended large intestine',66.0,7.5,cloudy,4.7,died,yes
31,no,adult,37.2,108.0,12.0,cool,reduced,'pale cyanotic',>=3,depressed,absent,slight,significant,<1l,6.0,decreased,'firm feces in large intestine',52.0,8.2,serosanguinous,7.4,euthanized,yes
33,yes,adult,38.2,64.0,28.0,normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,slight,significant,<1l,6.0,absent,'distended small intestine',49.0,8.6,cloudy,6.6,lived,yes
34,yes,adult,38.2,100.0,30.0,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,significant,<1l,6.0,absent,'distended small intestine',52.0,6.6,cloudy,6.6,lived,yes
36,no,adult,38.3,112.0,16.0,cool,reduced,'bright red',>=3,'continuous severe pain',absent,none,none,>1l,6.0,absent,'distended large intestine',51.0,6.0,cloudy,1.0,euthanized,no
37,yes,adult,37.8,72.0,16.0,cool,reduced,'bright red',<3,'continuous severe pain',hypomotile,none,none,none,6.0,normal,normal,56.0,80.0,clear,2.0,lived,yes
38,no,adult,38.6,52.0,16.0,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,6.0,normal,'firm feces in large intestine',32.0,6.6,clear,5.0,lived,no
39,yes,young,39.2,146.0,96.0,normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,6.0,normal,'firm feces in large intestine',32.0,6.6,clear,5.0,died,yes
42,no,adult,38.0,60.0,12.0,cool,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,none,none,6.0,increased,other,47.0,7.0,clear,5.0,lived,no
43,yes,adult,38.0,120.0,12.0,cool,absent,'pale cyanotic',<3,'intermittent severe pain',absent,severe,none,none,6.0,increased,'distended large intestine',52.0,67.0,cloudy,2.0,euthanized,yes
44,yes,adult,35.4,140.0,24.0,cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,severe,slight,none,6.0,increased,'distended large intestine',57.0,69.0,serosanguinous,2.0,euthanized,yes
45,no,adult,35.4,120.0,24.0,cold,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,6.0,absent,'distended large intestine',60.0,6.5,serosanguinous,2.0,died,yes
46,yes,adult,37.9,60.0,15.0,cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,slight,>1l,6.0,absent,'distended large intestine',65.0,7.5,serosanguinous,2.0,lived,yes
48,yes,adult,38.9,80.0,44.0,cool,reduced,'pale pink',>=3,depressed,hypomotile,moderate,slight,>1l,7.0,decreased,normal,54.0,6.5,serosanguinous,2.0,died,yes
49,no,adult,37.2,84.0,48.0,cool,reduced,'bright red',>=3,'intermittent severe pain',hypermotile,slight,none,>1l,7.0,increased,normal,73.0,5.5,cloudy,4.1,died,no
50,no,adult,38.6,46.0,48.0,normal,normal,'bright pink',<3,'alert no pain',hypomotile,slight,none,none,7.0,increased,other,49.0,9.1,clear,1.6,lived,no
52,no,adult,38.6,46.0,48.0,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,none,none,7.0,increased,other,43.0,7.7,clear,1.6,lived,no
53,no,adult,38.6,40.0,20.0,normal,normal,'pale pink',<3,'alert no pain',hypomotile,none,none,none,7.0,increased,other,41.0,6.4,clear,1.6,lived,no
54,no,adult,40.3,114.0,36.0,cool,reduced,'normal pink',>=3,depressed,hypomotile,moderate,slight,none,7.0,normal,'distended large intestine',57.0,8.1,serosanguinous,4.5,euthanized,yes
55,yes,young,38.6,160.0,20.0,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,severe,significant,none,7.0,absent,'distended large intestine',38.0,8.1,cloudy,4.5,died,yes
56,yes,adult,38.6,160.0,20.0,cool,reduced,'bright red',<3,'intermittent mild pain',hypomotile,severe,significant,none,7.0,absent,'distended large intestine',24.0,6.7,cloudy,4.5,lived,yes
57,yes,adult,38.6,64.0,36.0,warm,reduced,'bright pink',<3,'continuous severe pain',hypomotile,moderate,slight,>1l,7.0,absent,'distended large intestine',42.0,7.7,cloudy,4.5,died,yes
58,yes,adult,38.6,64.0,20.0,cold,reduced,'pale pink',<3,'continuous severe pain',absent,moderate,slight,>1l,7.0,absent,'distended small intestine',53.0,5.9,serosanguinous,4.5,died,yes
59,no,adult,38.6,96.0,20.0,cool,reduced,'pale pink',>=3,'continuous severe pain',absent,severe,none,>1l,7.0,absent,'distended large intestine',60.0,5.9,serosanguinous,4.5,died,yes
60,no,adult,37.8,48.0,32.0,normal,normal,'pale pink',<3,depressed,hypermotile,severe,none,none,7.0,absent,'distended large intestine',37.0,6.7,serosanguinous,4.5,lived,no
63,no,adult,38.2,130.0,16.0,cold,reduced,'pale cyanotic',>=3,depressed,absent,severe,none,none,7.0,absent,'distended large intestine',65.0,82.0,cloudy,2.0,euthanized,no
66,no,adult,37.9,72.0,16.0,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,none,none,<1l,2.0,decreased,'distended small intestine',58.0,74.0,clear,2.0,lived,yes
67,no,adult,38.4,54.0,24.0,normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,2.0,decreased,other,49.0,7.2,clear,2.0,lived,no
