inst#,actual,predicted,error,prediction,ID
1,1:UP,2:DOWN,+,0.712,2
2,2:DOWN,2:DOWN,,0.995,9
3,1:UP,2:DOWN,+,0.969,10
4,1:UP,2:DOWN,+,0.637,12
5,2:DOWN,1:UP,+,0.518,16
6,1:UP,1:UP,,0.709,21
7,1:UP,1:UP,,0.534,28
8,1:UP,2:DOWN,+,0.589,48
9,2:DOWN,2:DOWN,,0.996,55
10,1:UP,2:DOWN,+,0.676,60
11,2:DOWN,1:UP,+,0.532,66
12,2:DOWN,1:UP,+,0.532,67
13,2:DOWN,2:DOWN,,0.602,74
14,2:DOWN,2:DOWN,,0.732,77
15,2:DOWN,2:DOWN,,0.732,78
16,2:DOWN,2:DOWN,,0.599,82
17,1:UP,2:DOWN,+,0.75,93
18,1:UP,2:DOWN,+,0.749,97
19,1:UP,2:DOWN,+,0.993,105
20,2:DOWN,2:DOWN,,0.528,112
21,1:UP,1:UP,,0.618,117
22,1:UP,2:DOWN,+,0.605,125
23,1:UP,2:DOWN,+,0.605,126
24,1:UP,1:UP,,0.631,132
25,2:DOWN,2:DOWN,,0.652,136
26,1:UP,2:DOWN,+,0.753,138
27,1:UP,2:DOWN,+,0.753,141
28,1:UP,1:UP,,0.758,143
29,1:UP,1:UP,,0.628,145
30,1:UP,2:DOWN,+,0.872,148
31,1:UP,2:DOWN,+,0.966,153
32,1:UP,2:DOWN,+,0.777,155
33,1:UP,1:UP,,0.923,159
34,1:UP,1:UP,,0.967,161
35,1:UP,1:UP,,0.996,162
36,1:UP,1:UP,,0.974,163
37,1:UP,1:UP,,0.922,174
38,1:UP,1:UP,,0.945,178
39,2:DOWN,1:UP,+,0.896,179
40,2:DOWN,1:UP,+,0.623,189
41,1:UP,1:UP,,0.949,190
42,1:UP,1:UP,,0.988,191
43,2:DOWN,1:UP,+,0.622,192
44,2:DOWN,1:UP,+,0.622,193
45,2:DOWN,2:DOWN,,0.993,197
46,2:DOWN,2:DOWN,,0.951,203
47,2:DOWN,2:DOWN,,0.93,206
48,2:DOWN,1:UP,+,0.873,207
49,2:DOWN,1:UP,+,0.844,211
50,2:DOWN,1:UP,+,0.511,215
51,2:DOWN,2:DOWN,,0.619,220
52,1:UP,1:UP,,0.821,228
53,1:UP,1:UP,,0.821,229
54,2:DOWN,2:DOWN,,0.862,235
55,2:DOWN,2:DOWN,,0.637,238
56,2:DOWN,2:DOWN,,0.739,240
57,2:DOWN,2:DOWN,,0.993,244
58,1:UP,2:DOWN,+,0.985,249
59,2:DOWN,2:DOWN,,0.762,256
60,2:DOWN,1:UP,+,0.538,258
61,1:UP,1:UP,,0.837,276
62,2:DOWN,2:DOWN,,0.743,281
63,2:DOWN,2:DOWN,,0.743,282
64,2:DOWN,2:DOWN,,0.611,287
65,2:DOWN,2:DOWN,,0.991,294
66,2:DOWN,2:DOWN,,0.613,301
67,1:UP,1:UP,,0.927,302
68,1:UP,1:UP,,0.989,307
69,1:UP,1:UP,,0.995,320
70,1:UP,1:UP,,0.993,328
71,1:UP,1:UP,,0.933,331
72,2:DOWN,1:UP,+,0.677,336
73,2:DOWN,2:DOWN,,0.712,338
74,2:DOWN,2:DOWN,,0.937,340
75,1:UP,1:UP,,0.981,350
76,1:UP,1:UP,,0.997,352
77,1:UP,1:UP,,0.997,358
78,1:UP,1:UP,,0.994,363
79,1:UP,1:UP,,0.994,364
80,1:UP,1:UP,,0.991,365
81,1:UP,1:UP,,0.994,368
82,1:UP,1:UP,,0.995,370
83,1:UP,1:UP,,0.997,372
84,1:UP,1:UP,,0.994,375
85,2:DOWN,1:UP,+,0.941,384
