inst#,actual,predicted,error,prediction,ID
1,4:good,5:best,+,0.632,0
2,4:good,5:best,+,0.607,3
3,5:best,5:best,,0.999,5
4,2:low,2:low,,0.94,12
5,3:average,2:low,+,0.841,16
6,5:best,5:best,,0.888,17
7,4:good,4:good,,0.749,19
8,4:good,5:best,+,0.945,25
9,2:low,4:good,+,0.584,38
10,2:low,4:good,+,0.725,45
11,4:good,4:good,,0.94,46
12,4:good,4:good,,0.695,48
13,4:good,4:good,,0.992,57
14,3:average,4:good,+,0.834,59
15,3:average,4:good,+,0.998,68
16,1:none,1:none,,0.715,75
17,5:best,5:best,,0.969,88
18,5:best,5:best,,1,94
19,1:none,2:low,+,0.566,96
20,2:low,2:low,,0.997,100
21,4:good,5:best,+,0.99,107
22,2:low,2:low,,0.978,113
23,5:best,5:best,,0.999,116
24,5:best,5:best,,0.999,117
25,1:none,2:low,+,0.996,124
26,2:low,2:low,,0.998,125
27,1:none,2:low,+,0.804,126
28,4:good,5:best,+,0.98,141
29,2:low,2:low,,0.986,142
30,4:good,5:best,+,0.958,144
31,2:low,2:low,,0.987,149
32,5:best,3:average,+,0.641,153
33,2:low,2:low,,0.995,154
34,2:low,2:low,,0.99,169
35,3:average,2:low,+,0.922,171
36,3:average,3:average,,0.724,172
37,5:best,5:best,,0.867,173
38,4:good,5:best,+,0.757,179
39,1:none,2:low,+,1,180
40,3:average,2:low,+,0.85,185
41,1:none,2:low,+,0.998,188
42,3:average,2:low,+,0.786,190
43,5:best,5:best,,0.808,195
44,2:low,2:low,,0.932,222
45,4:good,4:good,,0.903,228
46,1:none,2:low,+,0.601,236
47,1:none,2:low,+,0.959,238
48,1:none,3:average,+,0.458,245
49,1:none,2:low,+,0.759,255
50,1:none,2:low,+,0.877,261
51,4:good,3:average,+,0.652,268
52,1:none,1:none,,0.547,271
53,4:good,3:average,+,0.563,272
54,1:none,2:low,+,0.976,274
55,5:best,3:average,+,0.76,277
56,5:best,4:good,+,0.515,278
57,2:low,1:none,+,0.361,280
58,2:low,2:low,,0.66,283
59,1:none,2:low,+,0.97,285
60,2:low,5:best,+,0.898,287
61,4:good,5:best,+,0.985,289
62,3:average,3:average,,0.658,298
63,3:average,2:low,+,0.741,301
64,2:low,2:low,,0.937,304
65,2:low,2:low,,0.921,305
66,2:low,2:low,,0.993,307
67,4:good,3:average,+,0.977,310
68,5:best,5:best,,0.998,312
69,1:none,2:low,+,0.971,316
70,2:low,2:low,,0.506,318
71,2:low,2:low,,0.862,320
72,1:none,2:low,+,0.885,321
73,5:best,3:average,+,0.927,322
74,4:good,4:good,,0.991,333
75,4:good,4:good,,0.937,341
76,4:good,4:good,,0.944,353
77,4:good,4:good,,0.843,354
78,4:good,4:good,,0.746,359
79,3:average,4:good,+,0.947,362
80,4:good,4:good,,1,367
81,4:good,4:good,,0.952,381
82,4:good,4:good,,0.996,382
83,3:average,3:average,,0.912,393
84,2:low,2:low,,0.703,394
85,4:good,3:average,+,0.957,399
86,2:low,3:average,+,0.753,422
87,2:low,3:average,+,0.509,426
88,1:none,2:low,+,0.837,431
89,2:low,2:low,,0.789,434
90,4:good,4:good,,0.998,445
91,4:good,4:good,,0.996,446
92,5:best,4:good,+,0.992,447
93,3:average,4:good,+,0.995,451
94,2:low,2:low,,0.617,457
95,1:none,2:low,+,0.724,467
96,4:good,4:good,,0.996,481
97,3:average,4:good,+,0.995,482
98,3:average,4:good,+,0.619,483
99,3:average,3:average,,0.984,490
100,2:low,3:average,+,0.996,493
101,1:none,3:average,+,0.847,499
102,2:low,3:average,+,0.917,500
103,2:low,3:average,+,0.954,511
104,3:average,3:average,,0.966,513
105,2:low,3:average,+,0.901,519
106,1:none,1:none,,0.659,523
107,1:none,2:low,+,0.53,533
108,2:low,3:average,+,0.989,534
109,3:average,3:average,,0.992,536
110,5:best,4:good,+,0.971,541
111,1:none,3:average,+,0.588,548
112,2:low,3:average,+,0.949,550
113,5:best,4:good,+,0.872,569
114,4:good,4:good,,0.988,582
115,3:average,4:good,+,0.979,589
116,4:good,4:good,,0.941,591
117,2:low,1:none,+,0.727,594
118,3:average,4:good,+,0.999,598
119,5:best,4:good,+,0.854,602
120,5:best,4:good,+,0.977,603
121,3:average,4:good,+,0.993,604
122,4:good,4:good,,0.995,608
123,3:average,4:good,+,0.998,616
124,5:best,4:good,+,0.965,624
125,1:none,2:low,+,0.825,634
126,3:average,3:average,,0.952,639
127,2:low,2:low,,0.982,641
128,5:best,3:average,+,0.854,649
129,3:average,3:average,,0.897,650
130,4:good,5:best,+,0.867,658
131,1:none,1:none,,1,665
132,1:none,1:none,,1,670
133,1:none,1:none,,1,673
134,1:none,1:none,,1,674
135,1:none,1:none,,1,677
136,1:none,1:none,,1,678
137,1:none,1:none,,1,684
138,1:none,1:none,,1,695
139,1:none,1:none,,1,705
140,1:none,1:none,,1,707
141,1:none,1:none,,1,708
142,1:none,1:none,,1,711
143,1:none,1:none,,1,721
144,1:none,1:none,,0.985,725
145,1:none,1:none,,0.967,726
146,1:none,1:none,,0.979,727
147,3:average,4:good,+,0.999,735

