inst#,actual,predicted,error,prediction,ID
1,1:+,2:-,+,0.723,0
2,1:+,1:+,,0.755,7
3,1:+,2:-,+,0.66,9
4,1:+,2:-,+,0.764,11
5,1:+,1:+,,0.629,15
6,1:+,2:-,+,0.97,18
7,1:+,1:+,,1,22
8,1:+,1:+,,0.95,23
9,1:+,1:+,,1,28
10,1:+,1:+,,1,29
11,1:+,1:+,,1,33
12,1:+,2:-,+,0.742,42
13,1:+,1:+,,1,43
14,1:+,2:-,+,0.986,51
15,1:+,1:+,,0.999,61
16,1:+,1:+,,0.986,66
17,1:+,1:+,,1,68
18,2:-,1:+,+,1,73
19,2:-,2:-,,0.77,75
20,2:-,2:-,,0.81,79
21,2:-,2:-,,0.948,82
22,2:-,2:-,,0.973,83
23,2:-,2:-,,0.979,84
24,2:-,2:-,,0.979,88
25,2:-,2:-,,0.989,89
26,2:-,1:+,+,0.995,92
27,2:-,1:+,+,1,93
28,2:-,2:-,,0.644,104
29,2:-,2:-,,0.512,110
30,2:-,2:-,,0.864,114
31,1:+,1:+,,1,117
32,1:+,1:+,,1,125
33,1:+,1:+,,0.951,137
34,1:+,1:+,,0.804,140
35,1:+,1:+,,1,153
36,1:+,2:-,+,0.99,163
37,1:+,1:+,,1,167
38,1:+,2:-,+,0.928,174
39,1:+,2:-,+,0.965,177
40,1:+,1:+,,0.556,178
41,1:+,2:-,+,0.986,181
42,1:+,1:+,,1,184
43,1:+,1:+,,0.975,188
44,1:+,2:-,+,0.755,196
45,1:+,2:-,+,0.642,203
46,1:+,1:+,,0.517,204
47,1:+,1:+,,0.994,208
48,1:+,1:+,,1,209
49,1:+,2:-,+,0.95,215
50,1:+,1:+,,1,218
51,1:+,1:+,,1,221
52,1:+,1:+,,1,234
53,1:+,2:-,+,0.998,236
54,1:+,2:-,+,0.883,238
55,2:-,2:-,,1,259
56,2:-,2:-,,1,260
57,2:-,1:+,+,0.97,265
58,2:-,2:-,,1,271
59,2:-,2:-,,1,275
60,2:-,2:-,,1,278
61,2:-,2:-,,1,290
62,2:-,2:-,,1,291
63,2:-,2:-,,1,292
64,2:-,2:-,,1,299
65,2:-,2:-,,1,300
66,2:-,2:-,,1,311
67,2:-,2:-,,0.536,314
68,2:-,2:-,,1,326
69,2:-,2:-,,1,328
70,2:-,2:-,,1,331
71,2:-,2:-,,1,332
72,2:-,2:-,,1,338
73,2:-,2:-,,1,340
74,2:-,2:-,,1,346
75,2:-,2:-,,1,349
76,2:-,2:-,,1,352
77,2:-,1:+,+,0.826,357
78,2:-,2:-,,0.999,363
79,2:-,2:-,,1,367
80,2:-,2:-,,1,369
81,2:-,2:-,,1,375
82,2:-,2:-,,1,377
83,2:-,2:-,,1,380
84,2:-,2:-,,1,382
85,2:-,2:-,,1,390
86,2:-,2:-,,1,393
87,2:-,2:-,,1,395
88,2:-,2:-,,1,398
89,2:-,2:-,,1,409
90,2:-,2:-,,1,412
91,2:-,2:-,,1,420
92,2:-,2:-,,1,424
93,2:-,2:-,,1,425
94,2:-,2:-,,1,426
95,2:-,2:-,,1,431
96,2:-,2:-,,1,432
97,2:-,1:+,+,0.941,446
98,2:-,2:-,,1,447
99,2:-,2:-,,1,449
100,2:-,2:-,,1,453
101,2:-,2:-,,1,467
102,2:-,2:-,,1,477
103,2:-,2:-,,1,482
104,2:-,2:-,,1,487
105,1:+,2:-,+,0.509,490
106,1:+,1:+,,0.977,501
107,1:+,2:-,+,0.783,513
108,1:+,1:+,,0.982,515
109,1:+,1:+,,0.647,522
110,2:-,1:+,+,1,529
111,2:-,2:-,,0.985,533
112,2:-,1:+,+,0.955,534
113,2:-,1:+,+,0.551,539
114,1:+,1:+,,1,548
115,1:+,1:+,,1,550
116,1:+,1:+,,0.999,552
117,1:+,1:+,,1,559
118,1:+,2:-,+,0.955,567
119,1:+,1:+,,1,578
120,1:+,2:-,+,1,581
121,1:+,1:+,,1,588
122,1:+,1:+,,1,599
123,2:-,2:-,,1,601
124,2:-,2:-,,0.601,603
125,2:-,2:-,,0.999,608
126,2:-,2:-,,1,618
127,2:-,1:+,+,0.965,623
128,2:-,2:-,,1,629
129,2:-,2:-,,0.999,631
130,2:-,2:-,,1,637
131,2:-,2:-,,1,644
132,2:-,2:-,,1,647
133,2:-,2:-,,1,650
134,2:-,2:-,,1,651
135,2:-,2:-,,1,656
136,2:-,2:-,,1,674
137,2:-,2:-,,1,675
138,2:-,2:-,,1,682

