inst#,actual,predicted,error,prediction,ID
1,6:2,6:2,,1,5
2,4:0,4:0,,1,12
3,5:1,5:1,,1,19
4,5:1,5:1,,1,24
5,5:1,5:1,,1,26
6,7:3,4:0,+,0.35,29
7,6:2,6:2,,1,31
8,4:0,4:0,,1,35
9,4:0,4:0,,1,38
10,4:0,4:0,,0.321,41
11,5:1,4:0,+,1,42
12,5:1,5:1,,1,51
13,7:3,7:3,,1,56
14,4:0,4:0,,1,66
15,5:1,4:0,+,0.321,75
16,6:2,6:2,,1,76
17,6:2,6:2,,1,78
18,5:1,4:0,+,1,90
19,5:1,5:1,,1,93
20,5:1,5:1,,1,96
21,7:3,7:3,,1,104
22,4:0,4:0,,1,111
23,4:0,4:0,,1,112
24,4:0,4:0,,1,113
25,5:1,5:1,,1,119
26,7:3,5:1,+,1,124
27,7:3,5:1,+,1,125
28,7:3,7:3,,1,128
29,7:3,7:3,,1,136
30,6:2,6:2,,1,137
31,6:2,4:0,+,1,139
32,6:2,4:0,+,1,140
33,4:0,4:0,,1,144
34,4:0,4:0,,1,153
35,4:0,4:0,,1,156
36,5:1,5:1,,1,166
37,6:2,6:2,,1,167
38,3:-1,3:-1,,1,173
39,3:-1,4:0,+,1,174
40,3:-1,3:-1,,1,177
41,7:3,7:3,,1,178

