inst#,actual,predicted,error,prediction,ID
1,1:draw,16:fourteen,+,0.823,4
2,1:draw,17:fifteen,+,0.497,5
3,1:draw,18:sixteen,+,0.571,8
4,1:draw,17:fifteen,+,0.58,14
5,1:draw,17:fifteen,+,0.486,15
6,1:draw,17:fifteen,+,0.484,20
7,1:draw,16:fourteen,+,0.572,22
8,1:draw,17:fifteen,+,0.463,26
9,1:draw,17:fifteen,+,0.41,27
10,1:draw,17:fifteen,+,0.464,33
11,1:draw,18:sixteen,+,0.987,38
12,1:draw,15:thirteen,+,0.4,51
13,1:draw,17:fifteen,+,0.364,56
14,1:draw,17:fifteen,+,0.291,61
15,1:draw,15:thirteen,+,0.331,63
16,1:draw,18:sixteen,+,0.856,64
17,1:draw,17:fifteen,+,0.502,70
18,1:draw,17:fifteen,+,0.35,76
19,1:draw,16:fourteen,+,0.933,79
20,1:draw,18:sixteen,+,0.576,81
21,1:draw,16:fourteen,+,0.976,84
22,1:draw,15:thirteen,+,0.478,85
23,1:draw,15:thirteen,+,0.261,92
24,1:draw,17:fifteen,+,0.458,94
25,1:draw,18:sixteen,+,0.452,98
26,1:draw,14:twelve,+,0.259,100
27,1:draw,18:sixteen,+,0.979,106
28,1:draw,17:fifteen,+,0.585,107
29,1:draw,18:sixteen,+,0.978,111
30,1:draw,18:sixteen,+,0.972,113
31,1:draw,16:fourteen,+,0.971,124
32,1:draw,18:sixteen,+,0.508,131
33,1:draw,15:thirteen,+,0.309,135
34,1:draw,15:thirteen,+,0.356,142
35,1:draw,18:sixteen,+,0.969,149
36,1:draw,18:sixteen,+,0.984,157
37,1:draw,18:sixteen,+,0.949,158
38,1:draw,9:seven,+,0.365,164
39,1:draw,15:thirteen,+,0.729,170
40,1:draw,17:fifteen,+,0.33,171
41,1:draw,15:thirteen,+,0.311,173
42,1:draw,13:eleven,+,0.386,182
43,1:draw,18:sixteen,+,0.991,183
44,1:draw,17:fifteen,+,0.403,184
45,1:draw,18:sixteen,+,0.993,185
46,1:draw,18:sixteen,+,0.639,214
47,1:draw,18:sixteen,+,0.876,216
48,1:draw,12:ten,+,0.777,219
49,1:draw,18:sixteen,+,0.713,246
50,1:draw,18:sixteen,+,0.983,252
51,1:draw,17:fifteen,+,0.966,254
52,1:draw,18:sixteen,+,0.86,255
53,1:draw,18:sixteen,+,0.613,260
54,1:draw,17:fifteen,+,0.998,266
55,1:draw,16:fourteen,+,0.534,275
56,1:draw,17:fifteen,+,0.309,279
57,1:draw,18:sixteen,+,0.872,284
58,1:draw,18:sixteen,+,0.884,288
59,1:draw,18:sixteen,+,0.92,289
60,1:draw,17:fifteen,+,0.757,292
61,1:draw,17:fifteen,+,0.96,299
62,1:draw,18:sixteen,+,0.876,303
63,1:draw,17:fifteen,+,0.986,304
64,1:draw,17:fifteen,+,0.981,306
65,1:draw,17:fifteen,+,0.994,309
66,1:draw,17:fifteen,+,0.425,318
67,1:draw,17:fifteen,+,0.537,319
68,1:draw,17:fifteen,+,0.491,325
69,1:draw,15:thirteen,+,0.386,332
70,1:draw,17:fifteen,+,0.432,333
71,1:draw,18:sixteen,+,0.939,337
72,1:draw,18:sixteen,+,0.965,343
73,1:draw,17:fifteen,+,0.756,347
74,1:draw,18:sixteen,+,0.988,348
75,1:draw,18:sixteen,+,0.945,356
76,1:draw,17:fifteen,+,0.946,357
77,1:draw,16:fourteen,+,0.326,376
78,1:draw,11:nine,+,0.284,377
79,1:draw,15:thirteen,+,0.438,388
80,1:draw,18:sixteen,+,0.543,394
81,1:draw,18:sixteen,+,0.803,395
82,1:draw,17:fifteen,+,0.842,405
83,1:draw,16:fourteen,+,0.751,425
84,1:draw,17:fifteen,+,0.622,429
85,1:draw,17:fifteen,+,0.353,434
86,1:draw,17:fifteen,+,0.249,435
87,1:draw,13:eleven,+,0.469,440
88,1:draw,15:thirteen,+,0.308,443
89,1:draw,18:sixteen,+,0.927,445
90,1:draw,14:twelve,+,0.379,448
91,1:draw,18:sixteen,+,0.941,452
92,1:draw,17:fifteen,+,0.496,454
93,1:draw,18:sixteen,+,0.976,455
94,1:draw,17:fifteen,+,0.863,461
95,1:draw,18:sixteen,+,0.97,464
96,1:draw,18:sixteen,+,0.968,465
97,1:draw,17:fifteen,+,0.972,468
98,1:draw,18:sixteen,+,0.97,472
99,1:draw,17:fifteen,+,0.966,473
100,1:draw,16:fourteen,+,0.682,479
101,1:draw,16:fourteen,+,0.367,494
102,1:draw,17:fifteen,+,0.43,497
103,1:draw,16:fourteen,+,0.427,500
104,1:draw,15:thirteen,+,0.375,506
105,1:draw,18:sixteen,+,0.948,510
106,1:draw,18:sixteen,+,0.962,511
107,1:draw,17:fifteen,+,0.72,521
108,1:draw,12:ten,+,0.489,527
109,1:draw,18:sixteen,+,0.952,528
110,1:draw,18:sixteen,+,0.944,530
111,1:draw,12:ten,+,0.369,532
112,1:draw,17:fifteen,+,0.972,533
113,1:draw,14:twelve,+,0.387,540
114,1:draw,16:fourteen,+,0.384,543
115,1:draw,16:fourteen,+,0.504,548
116,1:draw,14:twelve,+,0.373,551
117,1:draw,18:sixteen,+,0.989,566
118,1:draw,17:fifteen,+,0.924,567
119,1:draw,12:ten,+,0.562,568
120,1:draw,15:thirteen,+,0.836,578
121,1:draw,16:fourteen,+,0.335,582
122,1:draw,15:thirteen,+,0.478,588
123,1:draw,15:thirteen,+,0.438,590
124,1:draw,16:fourteen,+,0.413,594
125,1:draw,15:thirteen,+,0.62,596
126,1:draw,17:fifteen,+,0.355,600
127,1:draw,16:fourteen,+,0.348,602
128,1:draw,15:thirteen,+,0.364,605
129,1:draw,11:nine,+,0.322,611
130,1:draw,16:fourteen,+,0.414,613
131,1:draw,1:draw,,0.056,617
132,1:draw,1:draw,,0.056,620
133,1:draw,15:thirteen,+,0.533,622
134,1:draw,17:fifteen,+,0.454,625
135,1:draw,14:twelve,+,0.363,633
136,1:draw,15:thirteen,+,0.972,637
137,1:draw,17:fifteen,+,0.391,641
138,1:draw,16:fourteen,+,0.413,642
139,1:draw,15:thirteen,+,0.334,648
140,1:draw,14:twelve,+,0.304,653
141,1:draw,17:fifteen,+,0.625,659
142,1:draw,17:fifteen,+,0.454,662
143,1:draw,16:fourteen,+,0.336,676
144,1:draw,15:thirteen,+,0.812,679
145,1:draw,11:nine,+,0.218,682
146,1:draw,17:fifteen,+,0.454,700
147,1:draw,17:fifteen,+,0.294,702
148,1:draw,15:thirteen,+,0.352,703
149,1:draw,1:draw,,0.056,704
150,1:draw,1:draw,,0.056,710
151,1:draw,16:fourteen,+,0.923,716
152,1:draw,15:thirteen,+,0.812,722
153,1:draw,11:nine,+,0.57,730
154,1:draw,14:twelve,+,0.33,732
155,1:draw,17:fifteen,+,0.555,743
156,1:draw,17:fifteen,+,0.294,747
157,1:draw,17:fifteen,+,0.294,749
158,1:draw,11:nine,+,0.471,750
159,1:draw,13:eleven,+,0.449,753
160,1:draw,15:thirteen,+,0.805,754
161,1:draw,9:seven,+,0.341,757
162,1:draw,16:fourteen,+,0.354,758
163,1:draw,16:fourteen,+,0.614,759
164,1:draw,14:twelve,+,0.288,761
165,1:draw,17:fifteen,+,0.176,762
166,1:draw,15:thirteen,+,0.34,763
167,1:draw,16:fourteen,+,0.577,764
168,1:draw,18:sixteen,+,0.308,772
169,1:draw,17:fifteen,+,0.856,774
