inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.829,3
2,3:R,3:R,,0.583,5
3,3:R,3:R,,0.903,8
4,3:R,3:R,,0.891,16
5,3:R,3:R,,0.937,17
6,3:R,3:R,,0.966,19
7,1:L,1:L,,0.502,25
8,2:B,3:R,+,0.456,26
9,3:R,3:R,,0.764,36
10,3:R,3:R,,0.862,37
11,3:R,3:R,,0.769,45
12,3:R,3:R,,0.955,48
13,1:L,1:L,,0.66,50
14,3:R,3:R,,0.665,57
15,3:R,3:R,,0.84,59
16,3:R,3:R,,0.86,67
17,3:R,3:R,,0.95,74
18,3:R,3:R,,0.904,94
19,1:L,1:L,,0.442,103
20,3:R,1:L,+,0.427,111
21,3:R,3:R,,0.724,113
22,3:R,3:R,,0.864,119
23,3:R,3:R,,0.898,124
24,2:B,3:R,+,0.45,126
25,3:R,3:R,,0.932,139
26,3:R,3:R,,0.835,141
27,3:R,3:R,,0.963,149
28,1:L,1:L,,0.7,150
29,1:L,3:R,+,0.452,152
30,3:R,3:R,,0.704,154
31,3:R,3:R,,0.64,157
32,3:R,3:R,,0.772,162
33,3:R,3:R,,0.906,168
34,3:R,3:R,,0.892,172
35,3:R,3:R,,0.931,173
36,1:L,1:L,,0.816,175
37,1:L,1:L,,0.717,180
38,1:L,1:L,,0.586,185
39,1:L,1:L,,0.448,190
40,3:R,3:R,,0.851,193
41,3:R,3:R,,0.896,194
42,1:L,1:L,,0.547,207
43,3:R,3:R,,0.747,222
44,1:L,1:L,,0.897,225
45,1:L,1:L,,0.851,226
46,1:L,1:L,,0.52,229
47,1:L,1:L,,0.483,237
48,1:L,1:L,,0.548,245
49,3:R,3:R,,0.599,253
50,1:L,1:L,,0.538,255
51,3:R,3:R,,0.768,262
52,3:R,3:R,,0.851,263
53,3:R,3:R,,0.735,266
54,1:L,1:L,,0.73,280
55,3:R,3:R,,0.816,297
56,1:L,1:L,,0.627,303
57,3:R,3:R,,0.58,309
58,1:L,1:L,,0.469,316
59,3:R,3:R,,0.82,319
60,3:R,3:R,,0.711,322
61,1:L,1:L,,0.835,327
62,1:L,1:L,,0.741,328
63,1:L,1:L,,0.83,331
64,2:B,3:R,+,0.481,338
65,1:L,1:L,,0.48,346
66,3:R,3:R,,0.808,349
67,1:L,1:L,,0.874,352
68,1:L,1:L,,0.801,353
69,1:L,1:L,,0.7,354
70,1:L,1:L,,0.914,355
71,1:L,1:L,,0.87,356
72,1:L,1:L,,0.794,361
73,1:L,1:L,,0.676,362
74,1:L,1:L,,0.803,365
75,1:L,1:L,,0.718,370
76,1:L,1:L,,0.781,375
77,1:L,1:L,,0.555,377
78,3:R,3:R,,0.615,383
79,3:R,3:R,,0.832,393
80,3:R,3:R,,0.684,396
81,1:L,1:L,,0.482,404
82,3:R,3:R,,0.561,409
83,1:L,1:L,,0.608,411
84,3:R,3:R,,0.694,422
85,3:R,3:R,,0.802,423
86,1:L,1:L,,0.935,425
87,1:L,1:L,,0.906,426
88,1:L,1:L,,0.627,433
89,1:L,1:L,,0.74,462
90,1:L,1:L,,0.845,465
91,1:L,1:L,,0.616,467
92,1:L,1:L,,0.489,472
93,1:L,1:L,,0.881,478
94,1:L,1:L,,0.922,481
95,1:L,1:L,,0.878,490
96,1:L,1:L,,0.56,493
97,1:L,1:L,,0.766,505
98,3:R,1:L,+,0.532,507
99,3:R,3:R,,0.722,518
100,3:R,3:R,,0.794,519
101,3:R,3:R,,0.791,523
102,1:L,1:L,,0.917,525
103,1:L,1:L,,0.62,529
104,1:L,1:L,,0.879,530
105,1:L,1:L,,0.823,531
106,1:L,1:L,,0.728,532
107,1:L,1:L,,0.595,537
108,3:R,1:L,+,0.442,538
109,3:R,3:R,,0.555,539
110,3:R,3:R,,0.534,547
111,1:L,1:L,,0.934,551
112,3:R,3:R,,0.538,569
113,3:R,3:R,,0.646,574
114,1:L,1:L,,0.894,586
115,1:L,1:L,,0.613,589
116,1:L,1:L,,0.763,596
117,1:L,1:L,,0.638,597
118,2:B,1:L,+,0.488,598
119,1:L,1:L,,0.963,601
120,1:L,1:L,,0.947,602
121,1:L,1:L,,0.918,603
122,1:L,1:L,,0.959,605
123,1:L,1:L,,0.917,611
124,1:L,1:L,,0.797,613
125,1:L,1:L,,0.914,615

