inst#,actual,predicted,error,prediction,ID
1,2:2,1:1,+,0.964,3
2,1:1,1:1,,1,5
3,3:3,2:2,+,0.688,9
4,3:3,2:2,+,0.688,10
5,3:3,2:2,+,0.748,15
6,2:2,3:3,+,0.727,24
7,3:3,2:2,+,0.705,27
8,3:3,3:3,,0.551,28
9,2:2,1:1,+,0.998,40
10,1:1,1:1,,1,42
11,1:1,1:1,,0.974,47
12,1:1,1:1,,1,54
13,1:1,2:2,+,0.842,55
14,1:1,1:1,,0.996,60
15,2:2,2:2,,0.863,62
16,3:3,2:2,+,0.587,66
17,2:2,1:1,+,0.894,68
18,3:3,3:3,,0.758,74
19,2:2,2:2,,0.565,77
20,3:3,3:3,,0.997,81
21,3:3,2:2,+,0.613,82
22,3:3,3:3,,0.724,92
23,3:3,3:3,,0.988,94
24,1:1,1:1,,0.919,97
25,3:3,2:2,+,0.789,101
26,3:3,2:2,+,0.719,106
27,2:2,2:2,,0.717,107
28,2:2,1:1,+,0.759,110
29,2:2,1:1,+,1,112
30,2:2,1:1,+,0.997,117
31,1:1,1:1,,1,125
32,1:1,1:1,,1,126
33,3:3,3:3,,1,129
34,2:2,1:1,+,0.994,131
35,1:1,1:1,,1,136
36,2:2,1:1,+,1,137
37,2:2,1:1,+,1,138
38,2:2,1:1,+,0.788,145
39,2:2,1:1,+,1,147
40,1:1,1:1,,1,148
41,3:3,3:3,,1,164
42,3:3,3:3,,1,165
43,3:3,3:3,,1,167
44,1:1,2:2,+,0.832,171
45,3:3,3:3,,0.983,181
46,2:2,3:3,+,0.513,182
47,1:1,1:1,,1,193
48,3:3,2:2,+,0.82,201
49,1:1,1:1,,0.999,204
50,2:2,2:2,,0.859,215
51,3:3,1:1,+,0.912,223
52,2:2,1:1,+,1,224
53,3:3,3:3,,0.598,228
54,3:3,3:3,,0.958,232
55,2:2,1:1,+,1,235
56,1:1,1:1,,1,236
57,1:1,1:1,,1,242
58,1:1,1:1,,1,244
59,1:1,1:1,,1,248
60,1:1,1:1,,1,249
61,1:1,1:1,,1,250
62,3:3,3:3,,0.547,255
63,3:3,2:2,+,0.672,260
64,3:3,1:1,+,0.607,265
65,1:1,1:1,,1,267
66,3:3,3:3,,0.838,271
67,3:3,2:2,+,0.653,280
68,2:2,2:2,,0.681,285
69,3:3,3:3,,0.557,292
70,1:1,1:1,,1,302
71,3:3,3:3,,0.908,310
72,3:3,3:3,,0.833,312
73,1:1,1:1,,1,319
74,1:1,1:1,,1,320
75,1:1,1:1,,1,326
76,3:3,2:2,+,0.761,327
77,1:1,1:1,,1,329
78,1:1,1:1,,1,333
79,3:3,3:3,,1,334
80,3:3,3:3,,0.713,336
81,3:3,3:3,,0.857,338
82,3:3,3:3,,0.595,339
83,3:3,3:3,,0.967,341
84,3:3,2:2,+,0.868,345
85,3:3,3:3,,1,355
86,3:3,3:3,,0.996,359
87,3:3,3:3,,0.961,362
88,3:3,3:3,,0.553,363
89,3:3,3:3,,0.834,364
90,3:3,3:3,,0.956,373
91,3:3,3:3,,0.999,375
92,2:2,2:2,,0.833,384
93,2:2,1:1,+,0.981,385
94,3:3,2:2,+,0.673,388
95,2:2,1:1,+,0.996,389
96,2:2,1:1,+,1,390
97,3:3,2:2,+,0.825,398
98,2:2,2:2,,0.851,401
99,1:1,1:1,,1,404
100,3:3,2:2,+,0.769,405
101,3:3,2:2,+,0.839,419
102,3:3,2:2,+,0.653,428
103,3:3,2:2,+,0.537,431
104,3:3,1:1,+,1,434
105,3:3,1:1,+,1,437
106,1:1,1:1,,1,441
107,3:3,3:3,,0.547,446
108,3:3,3:3,,0.741,448
109,3:3,3:3,,0.95,451
110,3:3,3:3,,0.887,454
111,3:3,3:3,,0.94,467
112,3:3,2:2,+,0.555,473
113,3:3,2:2,+,0.796,475
114,2:2,1:1,+,0.992,476
115,3:3,3:3,,0.906,477
116,3:3,2:2,+,0.713,481
117,3:3,3:3,,0.506,484
118,1:1,1:1,,1,513
119,2:2,1:1,+,1,516
120,1:1,1:1,,1,517
121,1:1,1:1,,1,520
122,1:1,1:1,,1,523
123,1:1,1:1,,1,525
124,3:3,1:1,+,0.979,531
125,3:3,1:1,+,0.821,536
126,3:3,1:1,+,0.994,541
127,3:3,1:1,+,1,545
128,3:3,3:3,,0.938,558
129,3:3,1:1,+,0.977,566
130,2:2,2:2,,0.516,577
131,3:3,2:2,+,0.793,587
132,3:3,2:2,+,0.862,592
133,3:3,1:1,+,0.997,603
134,3:3,1:1,+,1,609
135,3:3,1:1,+,0.99,614
136,3:3,1:1,+,0.995,615
137,3:3,2:2,+,0.556,622
138,3:3,1:1,+,0.998,624
139,3:3,2:2,+,0.872,628
140,3:3,1:1,+,0.998,638
141,3:3,1:1,+,1,645
142,1:1,1:1,,1,653
143,3:3,2:2,+,0.801,661
144,3:3,1:1,+,0.974,666
145,3:3,2:2,+,0.752,671
146,3:3,1:1,+,0.552,673
147,3:3,2:2,+,0.828,688
148,3:3,2:2,+,0.634,689
149,3:3,1:1,+,0.998,692
150,1:1,1:1,,1,696
151,3:3,1:1,+,0.662,701
152,2:2,1:1,+,0.999,704
153,3:3,1:1,+,1,706
154,2:2,1:1,+,1,708
155,1:1,1:1,,1,710
156,3:3,1:1,+,1,711
157,1:1,1:1,,1,716
158,3:3,3:3,,0.625,722
159,3:3,2:2,+,0.81,723
160,3:3,1:1,+,0.997,724
161,3:3,1:1,+,0.956,725
162,2:2,1:1,+,1,726
163,3:3,2:2,+,0.882,730
164,2:2,2:2,,0.709,735
165,3:3,2:2,+,0.82,738
166,2:2,1:1,+,1,739
167,3:3,2:2,+,0.801,745
168,2:2,2:2,,0.799,747
169,3:3,3:3,,0.924,757
170,3:3,2:2,+,0.632,758
171,3:3,2:2,+,0.595,760
172,3:3,2:2,+,0.712,762
173,3:3,3:3,,0.986,763
174,3:3,2:2,+,0.764,768
175,3:3,2:2,+,0.537,770
176,1:1,1:1,,0.971,771
177,2:2,2:2,,0.73,774
178,3:3,2:2,+,0.525,777
179,3:3,2:2,+,0.668,793
180,3:3,2:2,+,0.854,796
181,3:3,1:1,+,0.999,799
182,1:1,1:1,,1,806
183,1:1,1:1,,1,813
184,1:1,1:1,,1,820
185,1:1,1:1,,1,822
