inst#,actual,predicted,error,prediction,ID
1,1:band,2:noband,+,0.59,0
2,2:noband,2:noband,,0.691,2
3,2:noband,2:noband,,0.777,6
4,2:noband,2:noband,,0.514,9
5,2:noband,2:noband,,0.521,10
6,1:band,2:noband,+,0.613,11
7,1:band,2:noband,+,0.755,15
8,2:noband,2:noband,,0.742,18
9,2:noband,2:noband,,0.708,22
10,2:noband,2:noband,,0.695,30
11,2:noband,2:noband,,0.771,33
12,2:noband,2:noband,,0.644,39
13,2:noband,2:noband,,0.822,46
14,2:noband,2:noband,,0.888,55
15,1:band,1:band,,0.554,63
16,2:noband,2:noband,,0.788,68
17,2:noband,2:noband,,0.638,70
18,2:noband,2:noband,,0.767,72
19,2:noband,2:noband,,0.666,73
20,2:noband,2:noband,,0.86,75
21,2:noband,2:noband,,0.842,76
22,1:band,2:noband,+,0.584,77
23,2:noband,2:noband,,0.833,78
24,2:noband,2:noband,,0.741,79
25,2:noband,2:noband,,0.713,82
26,2:noband,2:noband,,0.704,84
27,2:noband,2:noband,,0.684,86
28,2:noband,2:noband,,0.642,89
29,2:noband,2:noband,,0.815,90
30,1:band,2:noband,+,0.585,93
31,2:noband,2:noband,,0.776,101
32,1:band,2:noband,+,0.684,104
33,2:noband,2:noband,,0.776,117
34,2:noband,2:noband,,0.7,131
35,2:noband,2:noband,,0.685,132
36,2:noband,2:noband,,0.788,137
37,2:noband,2:noband,,0.665,140
38,1:band,2:noband,+,0.579,148
39,2:noband,2:noband,,0.798,149
40,1:band,2:noband,+,0.587,153
41,2:noband,2:noband,,0.676,158
42,1:band,2:noband,+,0.601,167
43,1:band,2:noband,+,0.55,173
44,1:band,2:noband,+,0.681,176
45,1:band,2:noband,+,0.555,177
46,2:noband,2:noband,,0.759,180
47,2:noband,2:noband,,0.882,185
48,2:noband,2:noband,,0.736,192
49,2:noband,2:noband,,0.732,195
50,2:noband,2:noband,,0.809,196
51,1:band,2:noband,+,0.59,208
52,1:band,2:noband,+,0.531,209
53,1:band,2:noband,+,0.648,229
54,1:band,1:band,,0.618,234
55,2:noband,2:noband,,0.811,235
56,2:noband,2:noband,,0.865,245
57,2:noband,2:noband,,0.885,249
58,2:noband,2:noband,,0.876,250
59,2:noband,2:noband,,0.84,268
60,2:noband,2:noband,,0.724,271
61,2:noband,2:noband,,0.792,272
62,2:noband,2:noband,,0.564,277
63,2:noband,2:noband,,0.899,280
64,2:noband,2:noband,,0.716,297
65,2:noband,2:noband,,0.732,298
66,2:noband,2:noband,,0.734,307
67,1:band,1:band,,0.517,311
68,2:noband,2:noband,,0.858,316
69,2:noband,2:noband,,0.804,321
70,1:band,2:noband,+,0.595,325
71,1:band,2:noband,+,0.556,335
72,1:band,2:noband,+,0.731,342
73,2:noband,2:noband,,0.867,349
74,1:band,1:band,,0.518,356
75,1:band,2:noband,+,0.634,357
76,1:band,2:noband,+,0.524,362
77,2:noband,2:noband,,0.647,368
78,2:noband,2:noband,,0.727,370
79,2:noband,2:noband,,0.737,371
80,2:noband,2:noband,,0.807,373
81,1:band,2:noband,+,0.565,376
82,2:noband,2:noband,,0.795,383
83,1:band,2:noband,+,0.643,396
84,1:band,1:band,,0.59,406
85,1:band,2:noband,+,0.516,410
86,2:noband,2:noband,,0.506,414
87,1:band,2:noband,+,0.651,418
88,1:band,2:noband,+,0.526,429
89,2:noband,2:noband,,0.775,446
90,2:noband,2:noband,,0.798,448
91,1:band,1:band,,0.556,457
92,1:band,2:noband,+,0.615,460
93,1:band,2:noband,+,0.551,464
94,1:band,1:band,,0.563,469
95,1:band,2:noband,+,0.567,472
96,1:band,1:band,,0.591,479
97,1:band,1:band,,0.535,486
98,1:band,2:noband,+,0.552,488
99,1:band,2:noband,+,0.661,494
100,1:band,2:noband,+,0.526,497
101,1:band,2:noband,+,0.62,498
102,1:band,1:band,,0.5,511
103,1:band,2:noband,+,0.644,521
104,1:band,1:band,,0.588,524
105,1:band,1:band,,0.624,526
106,1:band,1:band,,0.508,528
107,1:band,2:noband,+,0.547,533
108,1:band,1:band,,0.565,535

