inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.853,0
2,1:yes,1:yes,,0.977,3
3,2:no,2:no,,0.692,5
4,2:no,2:no,,0.726,9
5,1:yes,1:yes,,0.974,15
6,1:yes,1:yes,,0.784,22
7,2:no,2:no,,0.702,25
8,1:yes,1:yes,,0.875,30
9,1:yes,1:yes,,0.774,33
10,1:yes,1:yes,,0.943,39
11,2:no,2:no,,0.804,42
12,1:yes,1:yes,,0.962,45
13,1:yes,1:yes,,0.98,46
14,1:yes,1:yes,,0.955,55
15,1:yes,1:yes,,0.867,56
16,1:yes,1:yes,,0.979,57
17,2:no,1:yes,+,0.914,63
18,1:yes,1:yes,,0.988,72
19,1:yes,1:yes,,0.961,73
20,1:yes,1:yes,,0.695,76
21,2:no,2:no,,0.954,77
22,1:yes,1:yes,,0.962,78
23,1:yes,1:yes,,0.645,82
24,1:yes,2:no,+,0.892,90
25,1:yes,1:yes,,0.866,93
26,2:no,2:no,,0.777,94
27,1:yes,1:yes,,0.985,101
28,1:yes,1:yes,,0.982,108
29,1:yes,1:yes,,0.97,109
30,1:yes,1:yes,,0.969,114
31,2:no,2:no,,0.746,119
32,1:yes,2:no,+,0.818,124
33,1:yes,1:yes,,0.694,126
34,1:yes,1:yes,,0.855,137
35,1:yes,1:yes,,0.959,152
36,2:no,2:no,,0.921,153
37,2:no,2:no,,0.846,155
38,2:no,1:yes,+,0.897,165
39,1:yes,1:yes,,0.789,175
40,1:yes,1:yes,,0.962,177
41,1:yes,1:yes,,0.976,193
42,2:no,1:yes,+,0.645,196
43,1:yes,1:yes,,0.962,202
44,2:no,2:no,,0.623,203
45,1:yes,1:yes,,0.988,208
46,1:yes,1:yes,,0.971,219
47,2:no,2:no,,0.87,225
48,1:yes,1:yes,,0.552,227
49,1:yes,1:yes,,0.549,229
50,2:no,1:yes,+,0.892,231
51,1:yes,1:yes,,0.936,232
52,2:no,2:no,,0.544,237
53,1:yes,1:yes,,0.833,238
54,1:yes,1:yes,,0.97,244
55,1:yes,1:yes,,0.902,246
56,1:yes,1:yes,,0.977,250
57,1:yes,1:yes,,0.971,255
58,2:no,2:no,,0.739,258
59,1:yes,1:yes,,0.832,271
60,1:yes,1:yes,,0.901,285
61,1:yes,1:yes,,0.935,291
62,1:yes,1:yes,,0.756,296
63,2:no,1:yes,+,0.573,300
64,2:no,2:no,,0.595,304
65,1:yes,1:yes,,0.598,309
66,2:no,1:yes,+,0.986,312
67,2:no,2:no,,0.901,325
68,2:no,1:yes,+,0.942,332
69,2:no,1:yes,+,0.616,340
70,2:no,1:yes,+,0.648,341
71,1:yes,1:yes,,0.888,345
72,1:yes,1:yes,,0.937,347
73,1:yes,1:yes,,0.566,355
74,2:no,2:no,,0.859,364

