inst#,actual,predicted,error,prediction,ID
1,1:+,2:-,+,0.87,8
2,1:+,1:+,,0.919,36
3,1:+,1:+,,0.919,38
4,1:+,1:+,,0.917,53
5,1:+,1:+,,0.919,59
6,2:-,2:-,,0.87,74
7,2:-,2:-,,0.87,96
8,2:-,2:-,,0.87,97
9,2:-,1:+,+,0.919,103
10,2:-,1:+,+,0.919,111
11,2:-,2:-,,0.87,112
12,2:-,1:+,+,0.919,115
13,1:+,1:+,,0.919,119
14,1:+,1:+,,0.919,122
15,1:+,1:+,,0.919,123
16,1:+,1:+,,0.919,127
17,1:+,2:-,+,0.87,129
18,1:+,1:+,,0.919,139
19,1:+,1:+,,0.919,143
20,1:+,1:+,,0.919,146
21,1:+,1:+,,0.919,147
22,1:+,1:+,,0.919,150
23,1:+,1:+,,0.919,151
24,1:+,1:+,,0.919,152
25,1:+,1:+,,0.919,162
26,1:+,1:+,,0.919,183
27,1:+,1:+,,0.919,186
28,1:+,1:+,,0.919,193
29,1:+,1:+,,0.919,197
30,1:+,1:+,,0.919,198
31,1:+,1:+,,0.919,202
32,1:+,1:+,,0.919,207
33,1:+,1:+,,0.919,219
34,1:+,2:-,+,0.87,224
35,1:+,1:+,,0.771,226
36,1:+,1:+,,0.919,232
37,1:+,1:+,,0.917,233
38,1:+,1:+,,0.919,239
39,1:+,1:+,,0.919,246
40,1:+,1:+,,0.919,253
41,2:-,2:-,,0.87,254
42,2:-,2:-,,0.87,258
43,2:-,2:-,,0.87,262
44,2:-,2:-,,0.87,266
45,2:-,2:-,,0.87,267
46,2:-,2:-,,0.87,279
47,2:-,2:-,,0.87,282
48,2:-,2:-,,0.87,293
49,2:-,2:-,,0.87,297
50,2:-,2:-,,0.87,303
51,2:-,2:-,,0.87,307
52,2:-,2:-,,0.87,309
53,1:+,2:-,+,0.87,317
54,1:+,1:+,,0.919,323
55,2:-,2:-,,0.87,324
56,2:-,2:-,,0.87,325
57,2:-,2:-,,0.87,347
58,2:-,1:+,+,0.919,348
59,2:-,2:-,,0.87,351
60,2:-,2:-,,0.87,358
61,2:-,2:-,,0.87,359
62,2:-,2:-,,0.87,365
63,2:-,2:-,,0.87,368
64,2:-,2:-,,0.87,371
65,2:-,2:-,,0.87,373
66,2:-,2:-,,0.87,376
67,2:-,2:-,,0.87,383
68,2:-,2:-,,0.87,384
69,2:-,2:-,,0.87,386
70,2:-,2:-,,0.87,394
71,2:-,2:-,,0.87,400
72,2:-,2:-,,0.87,402
73,2:-,2:-,,0.87,403
74,2:-,2:-,,0.87,407
75,2:-,2:-,,0.87,410
76,2:-,2:-,,0.87,414
77,2:-,2:-,,0.87,415
78,2:-,2:-,,0.87,416
79,2:-,2:-,,0.87,419
80,2:-,2:-,,0.87,421
81,2:-,2:-,,0.87,423
82,2:-,2:-,,0.87,433
83,2:-,2:-,,0.87,438
84,2:-,2:-,,0.87,440
85,2:-,2:-,,0.87,441
86,2:-,2:-,,0.87,442
87,2:-,2:-,,0.87,444
88,2:-,2:-,,0.87,450
89,2:-,2:-,,0.87,451
90,2:-,2:-,,0.87,456
91,2:-,2:-,,0.87,463
92,2:-,2:-,,0.87,469
93,2:-,2:-,,0.87,470
94,2:-,2:-,,0.87,472
95,2:-,2:-,,0.87,479
96,2:-,2:-,,0.87,480
97,2:-,2:-,,0.87,481
98,2:-,2:-,,0.87,483
99,2:-,2:-,,0.87,485
100,2:-,2:-,,0.87,486
101,2:-,2:-,,0.87,488
102,1:+,1:+,,0.917,495
103,1:+,1:+,,0.917,496
104,1:+,1:+,,0.919,505
105,1:+,1:+,,0.919,509
106,1:+,1:+,,0.919,516
107,1:+,1:+,,0.919,517
108,1:+,1:+,,0.919,521
109,2:-,1:+,+,0.919,523
110,2:-,2:-,,0.87,530
111,2:-,2:-,,0.87,531
112,2:-,2:-,,0.87,535
113,2:-,2:-,,0.87,543
114,2:-,1:+,+,0.919,544
115,1:+,1:+,,0.919,551
116,1:+,1:+,,0.771,558
117,1:+,1:+,,0.919,575
118,1:+,1:+,,0.919,577
119,1:+,2:-,+,0.87,583
120,1:+,1:+,,0.919,597
121,1:+,2:-,+,0.87,598
122,2:-,2:-,,0.87,609
123,2:-,2:-,,0.87,610
124,2:-,2:-,,0.87,612
125,2:-,1:+,+,0.917,619
126,2:-,2:-,,0.87,620
127,2:-,2:-,,0.87,625
128,2:-,2:-,,0.87,628
129,2:-,2:-,,0.87,636
130,2:-,2:-,,0.87,638
131,2:-,2:-,,0.87,642
132,2:-,2:-,,0.87,649
133,2:-,2:-,,0.87,654
134,2:-,2:-,,0.87,659
135,2:-,2:-,,0.87,664
136,2:-,2:-,,0.87,667
137,2:-,2:-,,0.87,679
138,2:-,2:-,,0.87,683

