inst#,actual,predicted,error,prediction,ID
1,2:noband,2:noband,,0.848,3
2,2:noband,2:noband,,0.848,5
3,2:noband,1:band,+,0.688,7
4,2:noband,2:noband,,0.848,16
5,2:noband,2:noband,,0.848,17
6,2:noband,1:band,+,0.688,19
7,1:band,2:noband,+,0.848,23
8,1:band,2:noband,+,0.848,24
9,1:band,2:noband,+,0.848,25
10,2:noband,2:noband,,0.848,26
11,1:band,1:band,,0.688,29
12,2:noband,2:noband,,0.848,31
13,2:noband,1:band,+,0.806,37
14,2:noband,2:noband,,0.848,42
15,2:noband,2:noband,,0.848,45
16,2:noband,2:noband,,0.848,48
17,2:noband,2:noband,,0.848,56
18,2:noband,2:noband,,0.848,57
19,1:band,2:noband,+,0.848,60
20,1:band,1:band,,0.806,66
21,2:noband,2:noband,,0.848,69
22,2:noband,1:band,+,0.667,94
23,1:band,2:noband,+,0.848,108
24,1:band,2:noband,+,0.848,110
25,2:noband,2:noband,,0.848,113
26,2:noband,1:band,+,0.806,114
27,2:noband,2:noband,,0.848,116
28,1:band,2:noband,+,0.848,118
29,2:noband,1:band,+,0.806,124
30,2:noband,1:band,+,0.667,126
31,2:noband,2:noband,,0.848,154
32,2:noband,2:noband,,0.848,155
33,2:noband,1:band,+,0.688,157
34,1:band,1:band,,0.806,172
35,2:noband,2:noband,,0.848,175
36,2:noband,1:band,+,0.913,181
37,2:noband,2:noband,,0.848,182
38,2:noband,2:noband,,0.848,184
39,2:noband,2:noband,,0.848,203
40,2:noband,2:noband,,0.848,204
41,1:band,1:band,,0.806,210
42,2:noband,2:noband,,0.848,211
43,2:noband,2:noband,,0.848,218
44,2:noband,2:noband,,0.848,220
45,2:noband,2:noband,,0.848,222
46,2:noband,1:band,+,0.885,225
47,2:noband,1:band,+,0.913,228
48,1:band,2:noband,+,0.848,231
49,2:noband,2:noband,,0.848,238
50,2:noband,1:band,+,0.885,244
51,1:band,2:noband,+,0.848,247
52,2:noband,2:noband,,0.848,248
53,2:noband,2:noband,,0.848,255
54,2:noband,2:noband,,0.848,265
55,1:band,1:band,,0.913,275
56,2:noband,2:noband,,0.848,278
57,2:noband,2:noband,,0.848,286
58,2:noband,2:noband,,0.848,287
59,2:noband,2:noband,,0.848,289
60,2:noband,1:band,+,0.688,291
61,1:band,1:band,,0.806,299
62,2:noband,2:noband,,0.848,304
63,2:noband,2:noband,,0.848,305
64,2:noband,2:noband,,0.848,318
65,1:band,2:noband,+,0.848,322
66,2:noband,2:noband,,0.848,332
67,2:noband,2:noband,,0.848,333
68,2:noband,2:noband,,0.848,346
69,1:band,2:noband,+,0.848,352
70,1:band,2:noband,+,0.848,353
71,2:noband,1:band,+,0.688,355
72,1:band,1:band,,0.913,361
73,1:band,1:band,,0.667,367
74,2:noband,2:noband,,0.848,369
75,2:noband,1:band,+,0.688,380
76,2:noband,1:band,+,0.913,381
77,2:noband,1:band,+,0.913,382
78,1:band,2:noband,+,0.848,384
79,2:noband,2:noband,,0.848,390
80,1:band,1:band,,0.806,395
81,2:noband,2:noband,,0.848,397
82,2:noband,1:band,+,0.806,400
83,2:noband,1:band,+,0.806,412
84,2:noband,2:noband,,0.848,426
85,2:noband,2:noband,,0.848,432
86,2:noband,2:noband,,0.848,438
87,2:noband,2:noband,,0.848,439
88,2:noband,1:band,+,0.688,442
89,2:noband,2:noband,,0.848,450
90,2:noband,2:noband,,0.848,452
91,2:noband,2:noband,,0.848,453
92,1:band,2:noband,+,0.848,456
93,1:band,2:noband,+,0.848,473
94,1:band,1:band,,0.688,477
95,1:band,2:noband,+,0.848,482
96,1:band,1:band,,0.667,483
97,1:band,2:noband,+,0.848,489
98,1:band,2:noband,+,0.848,500
99,1:band,2:noband,+,0.848,502
100,1:band,2:noband,+,0.848,508
101,1:band,2:noband,+,0.848,513
102,1:band,1:band,,0.688,514
103,1:band,1:band,,0.688,518
104,1:band,2:noband,+,0.848,519
105,1:band,2:noband,+,0.848,529
106,1:band,2:noband,+,0.848,532
107,1:band,1:band,,0.667,536
108,1:band,2:noband,+,0.848,539

