inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.911,3
2,3:R,3:R,,0.482,5
3,3:R,3:R,,0.963,8
4,3:R,3:R,,0.95,16
5,3:R,3:R,,0.987,17
6,3:R,3:R,,0.997,19
7,1:L,1:L,,0.392,25
8,2:B,1:L,+,0.478,26
9,3:R,3:R,,0.777,36
10,3:R,3:R,,0.928,37
11,3:R,3:R,,0.829,45
12,3:R,3:R,,0.995,48
13,1:L,1:L,,0.744,50
14,3:R,3:R,,0.535,57
15,3:R,3:R,,0.888,59
16,3:R,3:R,,0.935,67
17,3:R,3:R,,0.991,74
18,3:R,3:R,,0.962,94
19,1:L,1:L,,0.405,103
20,3:R,1:L,+,0.541,111
21,3:R,3:R,,0.862,113
22,3:R,3:R,,0.934,119
23,3:R,3:R,,0.954,124
24,2:B,3:R,+,0.497,126
25,3:R,3:R,,0.987,139
26,3:R,3:R,,0.899,141
27,3:R,3:R,,0.997,149
28,1:L,1:L,,0.732,150
29,1:L,3:R,+,0.446,152
30,3:R,3:R,,0.847,154
31,3:R,3:R,,0.565,157
32,3:R,3:R,,0.855,162
33,3:R,3:R,,0.987,168
34,3:R,3:R,,0.965,172
35,3:R,3:R,,0.99,173
36,1:L,1:L,,0.88,175
37,1:L,1:L,,0.778,180
38,1:L,1:L,,0.505,185
39,1:L,3:R,+,0.458,190
40,3:R,3:R,,0.963,193
41,3:R,3:R,,0.974,194
42,1:L,1:L,,0.534,207
43,3:R,3:R,,0.858,222
44,1:L,1:L,,0.972,225
45,1:L,1:L,,0.95,226
46,1:L,1:L,,0.526,229
47,1:L,3:R,+,0.594,237
48,1:L,1:L,,0.55,245
49,3:R,3:R,,0.548,253
50,1:L,1:L,,0.49,255
51,3:R,3:R,,0.816,262
52,3:R,3:R,,0.933,263
53,3:R,3:R,,0.805,266
54,1:L,1:L,,0.78,280
55,3:R,3:R,,0.894,297
56,1:L,1:L,,0.758,303
57,3:R,1:L,+,0.537,309
58,1:L,1:L,,0.527,316
59,3:R,3:R,,0.925,319
60,3:R,3:R,,0.739,322
61,1:L,1:L,,0.921,327
62,1:L,1:L,,0.85,328
63,1:L,1:L,,0.946,331
64,2:B,3:R,+,0.486,338
65,1:L,1:L,,0.644,346
66,3:R,3:R,,0.904,349
67,1:L,1:L,,0.943,352
68,1:L,1:L,,0.876,353
69,1:L,1:L,,0.812,354
70,1:L,1:L,,0.982,355
71,1:L,1:L,,0.96,356
72,1:L,1:L,,0.912,361
73,1:L,1:L,,0.739,362
74,1:L,1:L,,0.891,365
75,1:L,1:L,,0.817,370
76,1:L,1:L,,0.896,375
77,1:L,1:L,,0.561,377
78,3:R,3:R,,0.593,383
79,3:R,3:R,,0.938,393
80,3:R,3:R,,0.683,396
81,1:L,1:L,,0.558,404
82,3:R,3:R,,0.477,409
83,1:L,1:L,,0.551,411
84,3:R,3:R,,0.757,422
85,3:R,3:R,,0.932,423
86,1:L,1:L,,0.988,425
87,1:L,1:L,,0.978,426
88,1:L,1:L,,0.717,433
89,1:L,1:L,,0.854,462
90,1:L,1:L,,0.933,465
91,1:L,1:L,,0.562,467
92,1:L,1:L,,0.518,472
93,1:L,1:L,,0.959,478
94,1:L,1:L,,0.991,481
95,1:L,1:L,,0.952,490
96,1:L,1:L,,0.429,493
97,1:L,1:L,,0.87,505
98,3:R,3:R,,0.492,507
99,3:R,3:R,,0.909,518
100,3:R,3:R,,0.929,519
101,3:R,3:R,,0.94,523
102,1:L,1:L,,0.975,525
103,1:L,1:L,,0.583,529
104,1:L,1:L,,0.941,530
105,1:L,1:L,,0.903,531
106,1:L,1:L,,0.74,532
107,1:L,3:R,+,0.541,537
108,3:R,3:R,,0.63,538
109,3:R,3:R,,0.679,539
110,3:R,3:R,,0.64,547
111,1:L,1:L,,0.987,551
112,3:R,3:R,,0.63,569
113,3:R,3:R,,0.776,574
114,1:L,1:L,,0.973,586
115,1:L,1:L,,0.684,589
116,1:L,1:L,,0.907,596
117,1:L,1:L,,0.669,597
118,2:B,3:R,+,0.495,598
119,1:L,1:L,,0.997,601
120,1:L,1:L,,0.99,602
121,1:L,1:L,,0.975,603
122,1:L,1:L,,0.997,605
123,1:L,1:L,,0.983,611
124,1:L,1:L,,0.896,613
125,1:L,1:L,,0.974,615

