inst#,actual,predicted,error,prediction,ID
1,1:b,2:g,+,0.652,3
2,1:b,1:b,,0.888,5
3,1:b,1:b,,0.895,9
4,2:g,2:g,,0.968,22
5,1:b,2:g,+,0.899,25
6,2:g,2:g,,0.944,30
7,1:b,2:g,+,0.589,33
8,1:b,2:g,+,0.958,39
9,2:g,2:g,,0.944,42
10,1:b,1:b,,0.995,45
11,2:g,2:g,,0.964,46
12,1:b,1:b,,0.931,55
13,2:g,2:g,,0.967,56
14,1:b,1:b,,0.99,57
15,1:b,2:g,+,0.978,63
16,2:g,2:g,,0.97,72
17,1:b,2:g,+,0.55,73
18,1:b,1:b,,0.886,75
19,2:g,2:g,,0.969,76
20,1:b,1:b,,0.533,77
21,2:g,2:g,,0.955,82
22,2:g,2:g,,0.86,84
23,1:b,1:b,,0.915,93
24,2:g,2:g,,0.572,94
25,1:b,1:b,,0.892,108
26,2:g,2:g,,0.868,109
27,2:g,2:g,,0.975,113
28,1:b,2:g,+,0.635,114
29,1:b,1:b,,0.958,118
30,2:g,2:g,,0.938,119
31,1:b,1:b,,0.527,124
32,1:b,2:g,+,0.964,126
33,1:b,1:b,,0.855,152
34,2:g,2:g,,0.89,155
35,2:g,2:g,,0.645,157
36,1:b,1:b,,0.999,168
37,2:g,2:g,,0.983,173
38,1:b,1:b,,0.978,176
39,2:g,2:g,,0.96,177
40,2:g,2:g,,0.967,179
41,2:g,2:g,,0.961,181
42,1:b,1:b,,0.999,182
43,2:g,2:g,,0.936,185
44,2:g,2:g,,0.884,195
45,2:g,2:g,,0.954,199
46,2:g,2:g,,0.954,203
47,1:b,1:b,,0.92,208
48,2:g,2:g,,0.946,227
49,1:b,2:g,+,0.551,228
50,2:g,2:g,,0.802,233
51,1:b,2:g,+,0.955,234
52,1:b,1:b,,0.883,238
53,1:b,1:b,,0.953,240
54,2:g,2:g,,0.974,249
55,2:g,2:g,,0.913,272
56,2:g,2:g,,0.846,274
57,2:g,2:g,,0.96,278
58,2:g,2:g,,0.932,283
59,2:g,2:g,,0.869,286
60,2:g,2:g,,0.933,289
61,2:g,2:g,,0.743,295
62,2:g,2:g,,0.933,298
63,2:g,2:g,,0.657,305
64,2:g,2:g,,0.958,310
65,2:g,2:g,,0.95,316
66,2:g,2:g,,0.95,324
67,2:g,2:g,,0.966,327
68,2:g,2:g,,0.929,331
69,2:g,2:g,,0.684,338
70,2:g,2:g,,0.896,339
71,2:g,2:g,,0.914,342

