inst#,actual,predicted,error,prediction,ID
1,3:'vehic wind float',2:build wind non-float,+,0.46,1
2,3:'vehic wind float',2:build wind non-float,+,0.69,14
3,1:'build wind float',2:build wind non-float,+,0.481,20
4,2:'build wind non-float',2:build wind non-float,,0.842,21
5,2:'build wind non-float',2:build wind non-float,,0.61,37
6,1:'build wind float',2:build wind non-float,+,0.457,48
7,1:'build wind float',2:build wind non-float,+,0.481,50
8,1:'build wind float',1:build wind float,,0.416,52
9,7:headlamps,7:headlamps,,0.576,54
10,1:'build wind float',2:build wind non-float,+,0.456,57
11,3:'vehic wind float',1:build wind float,+,0.411,58
12,1:'build wind float',1:build wind float,,0.5,63
13,2:'build wind non-float',2:build wind non-float,,0.52,71
14,1:'build wind float',1:build wind float,,0.445,74
15,1:'build wind float',2:build wind non-float,+,0.617,87
16,1:'build wind float',2:build wind non-float,+,0.432,88
17,1:'build wind float',2:build wind non-float,+,0.49,92
18,2:'build wind non-float',1:build wind float,+,0.427,99
19,7:headlamps,7:headlamps,,0.426,102
20,7:headlamps,7:headlamps,,0.666,103
21,2:'build wind non-float',2:build wind non-float,,0.572,106
22,7:headlamps,7:headlamps,,0.594,107
23,2:'build wind non-float',2:build wind non-float,,0.763,116
24,1:'build wind float',2:build wind non-float,+,0.624,121
25,1:'build wind float',2:build wind non-float,+,0.427,129
26,2:'build wind non-float',2:build wind non-float,,0.492,130
27,2:'build wind non-float',1:build wind float,+,0.423,149
28,1:'build wind float',1:build wind float,,0.441,151
29,5:containers,2:build wind non-float,+,0.692,157
30,2:'build wind non-float',2:build wind non-float,,0.685,160
31,7:headlamps,7:headlamps,,0.601,169
32,1:'build wind float',2:build wind non-float,+,0.517,174
33,1:'build wind float',2:build wind non-float,+,0.452,177
34,6:tableware,2:build wind non-float,+,0.565,179
35,1:'build wind float',2:build wind non-float,+,0.512,187
36,3:'vehic wind float',2:build wind non-float,+,0.546,188
37,2:'build wind non-float',2:build wind non-float,,0.482,196
38,1:'build wind float',2:build wind non-float,+,0.558,201
39,3:'vehic wind float',2:build wind non-float,+,0.568,202
40,7:headlamps,7:headlamps,,0.553,206
41,2:'build wind non-float',2:build wind non-float,,0.625,210
42,6:tableware,2:build wind non-float,+,0.614,213

