inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.816,3
2,3:R,3:R,,0.816,5
3,3:R,3:R,,0.816,8
4,3:R,3:R,,0.816,16
5,3:R,3:R,,0.816,17
6,3:R,3:R,,0.816,19
7,1:L,3:R,+,0.816,25
8,2:B,3:R,+,0.816,26
9,3:R,3:R,,0.816,36
10,3:R,3:R,,0.816,37
11,3:R,3:R,,0.816,45
12,3:R,3:R,,0.816,48
13,1:L,1:L,,0.923,50
14,3:R,3:R,,0.816,57
15,3:R,3:R,,0.816,59
16,3:R,3:R,,0.816,67
17,3:R,3:R,,0.816,74
18,3:R,3:R,,0.816,94
19,1:L,3:R,+,0.816,103
20,3:R,1:L,+,1,111
21,3:R,3:R,,0.816,113
22,3:R,3:R,,0.816,119
23,3:R,3:R,,0.816,124
24,2:B,3:R,+,0.816,126
25,3:R,3:R,,0.816,139
26,3:R,3:R,,0.816,141
27,3:R,3:R,,0.816,149
28,1:L,1:L,,1,150
29,1:L,1:L,,1,152
30,3:R,1:L,+,1,154
31,3:R,3:R,,0.816,157
32,3:R,3:R,,0.816,162
33,3:R,3:R,,0.816,168
34,3:R,3:R,,0.816,172
35,3:R,3:R,,0.816,173
36,1:L,1:L,,1,175
37,1:L,1:L,,0.905,180
38,1:L,1:L,,0.905,185
39,1:L,1:L,,0.905,190
40,3:R,3:R,,0.816,193
41,3:R,3:R,,0.816,194
42,1:L,3:R,+,0.816,207
43,3:R,3:R,,0.816,222
44,1:L,1:L,,1,225
45,1:L,1:L,,1,226
46,1:L,1:L,,1,229
47,1:L,3:R,+,0.816,237
48,1:L,1:L,,0.905,245
49,3:R,3:R,,0.816,253
50,1:L,1:L,,0.9,255
51,3:R,3:R,,0.816,262
52,3:R,3:R,,0.816,263
53,3:R,3:R,,0.816,266
54,1:L,1:L,,0.905,280
55,3:R,3:R,,0.816,297
56,1:L,1:L,,1,303
57,3:R,1:L,+,1,309
58,1:L,1:L,,1,316
59,3:R,3:R,,0.816,319
60,3:R,3:R,,0.816,322
61,1:L,1:L,,1,327
62,1:L,1:L,,1,328
63,1:L,1:L,,1,331
64,2:B,3:R,+,0.816,338
65,1:L,1:L,,1,346
66,3:R,3:R,,0.816,349
67,1:L,1:L,,1,352
68,1:L,1:L,,1,353
69,1:L,1:L,,1,354
70,1:L,1:L,,1,355
71,1:L,1:L,,1,356
72,1:L,1:L,,1,361
73,1:L,3:R,+,0.816,362
74,1:L,1:L,,1,365
75,1:L,1:L,,1,370
76,1:L,1:L,,0.9,375
77,1:L,3:R,+,0.816,377
78,3:R,3:R,,0.816,383
79,3:R,3:R,,0.816,393
80,3:R,3:R,,0.816,396
81,1:L,1:L,,1,404
82,3:R,3:R,,0.816,409
83,1:L,3:R,+,0.816,411
84,3:R,3:R,,0.816,422
85,3:R,3:R,,0.816,423
86,1:L,1:L,,1,425
87,1:L,1:L,,1,426
88,1:L,1:L,,1,433
89,1:L,1:L,,0.813,462
90,1:L,1:L,,1,465
91,1:L,1:L,,0.813,467
92,1:L,1:L,,0.813,472
93,1:L,1:L,,1,478
94,1:L,1:L,,1,481
95,1:L,1:L,,1,490
96,1:L,1:L,,0.813,493
97,1:L,1:L,,0.9,505
98,3:R,1:L,+,0.667,507
99,3:R,3:R,,0.816,518
100,3:R,3:R,,0.816,519
101,3:R,3:R,,0.816,523
102,1:L,1:L,,1,525
103,1:L,1:L,,1,529
104,1:L,1:L,,0.905,530
105,1:L,1:L,,0.9,531
106,1:L,1:L,,0.667,532
107,1:L,1:L,,0.667,537
108,3:R,1:L,+,0.667,538
109,3:R,3:R,,0.816,539
110,3:R,3:R,,0.816,547
111,1:L,1:L,,1,551
112,3:R,3:R,,0.816,569
113,3:R,3:R,,0.816,574
114,1:L,1:L,,1,586
115,1:L,1:L,,1,589
116,1:L,1:L,,1,596
117,1:L,1:L,,0.813,597
118,2:B,1:L,+,0.813,598
119,1:L,1:L,,1,601
120,1:L,1:L,,1,602
121,1:L,1:L,,1,603
122,1:L,1:L,,1,605
123,1:L,1:L,,1,611
124,1:L,1:L,,0.813,613
125,1:L,1:L,,1,615

