inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.979,0
2,3:3,6:U,+,0.969,3
3,3:3,5:5,+,0.823,9
4,3:3,2:2,+,0.515,11
5,3:3,3:3,,0.984,15
6,3:3,6:U,+,0.981,19
7,6:U,6:U,,0.997,22
8,3:3,1:1,+,0.642,38
9,3:3,6:U,+,0.75,42
10,3:3,2:2,+,0.607,43
11,3:3,2:2,+,0.794,46
12,3:3,3:3,,0.934,50
13,3:3,2:2,+,0.998,57
14,3:3,3:3,,0.574,59
15,3:3,3:3,,0.92,68
16,3:3,3:3,,1,74
17,3:3,2:2,+,0.719,75
18,2:2,2:2,,0.999,88
19,5:5,5:5,,0.983,89
20,3:3,3:3,,0.799,92
21,3:3,3:3,,0.77,93
22,3:3,3:3,,1,94
23,2:2,2:2,,0.709,100
24,3:3,3:3,,1,104
25,5:5,5:5,,0.747,107
26,3:3,2:2,+,0.787,113
27,3:3,2:2,+,1,114
28,6:U,6:U,,0.999,116
29,3:3,3:3,,0.992,117
30,3:3,6:U,+,0.751,124
31,5:5,5:5,,0.932,125
32,3:3,2:2,+,0.986,126
33,3:3,5:5,+,0.989,142
34,3:3,3:3,,0.54,144
35,3:3,3:3,,0.721,149
36,3:3,2:2,+,0.688,153
37,3:3,3:3,,0.726,154
38,3:3,5:5,+,0.985,167
39,5:5,5:5,,0.986,169
40,3:3,3:3,,0.458,175
41,3:3,3:3,,0.604,177
42,3:3,3:3,,0.674,178
43,2:2,2:2,,0.906,179
44,3:3,3:3,,0.76,184
45,1:1,2:2,+,0.569,188
46,3:3,3:3,,0.937,195
47,3:3,3:3,,0.957,203
48,3:3,3:3,,0.982,221
49,2:2,2:2,,0.925,222
50,3:3,3:3,,0.892,228
51,3:3,3:3,,1,236
52,3:3,3:3,,0.541,237
53,5:5,5:5,,0.962,238
54,3:3,3:3,,0.673,245
55,3:3,1:1,+,0.584,249
56,3:3,3:3,,0.996,256
57,5:5,5:5,,0.983,257
58,2:2,2:2,,0.957,261
59,3:3,5:5,+,0.984,263
60,3:3,3:3,,0.995,268
61,3:3,5:5,+,0.916,271
62,3:3,3:3,,0.849,274
63,2:2,2:2,,0.847,277
64,1:1,1:1,,0.999,278
65,3:3,3:3,,0.957,284
66,3:3,3:3,,0.998,287
67,3:3,3:3,,0.991,289
68,3:3,3:3,,0.966,304
69,3:3,2:2,+,0.616,307
70,3:3,3:3,,1,310
71,2:2,2:2,,0.955,318
72,3:3,3:3,,0.956,320
73,3:3,3:3,,0.998,324
74,3:3,2:2,+,0.843,329
75,6:U,6:U,,0.928,335
76,5:5,5:5,,0.896,336
77,3:3,3:3,,0.636,340
78,1:1,1:1,,0.999,341
79,3:3,2:2,+,0.58,349
80,5:5,5:5,,0.999,353
81,3:3,3:3,,0.979,354
82,3:3,6:U,+,0.996,356
83,5:5,5:5,,0.98,369
84,6:U,6:U,,0.988,371
85,3:3,3:3,,0.993,383
86,3:3,3:3,,1,393
87,2:2,1:1,+,0.808,395
88,2:2,2:2,,0.731,399
89,2:2,2:2,,1,407
90,6:U,6:U,,0.996,412
91,3:3,3:3,,0.713,423
92,3:3,1:1,+,0.855,432
93,3:3,2:2,+,0.989,434
94,2:2,2:2,,0.922,439
95,3:3,3:3,,0.996,442
96,5:5,5:5,,0.978,443
97,6:U,6:U,,0.995,453
98,3:3,6:U,+,0.967,470
99,3:3,6:U,+,0.991,479
100,3:3,3:3,,0.511,481
101,3:3,3:3,,1,486
102,3:3,1:1,+,0.756,490
103,5:5,5:5,,0.999,499
104,3:3,2:2,+,0.744,501
105,3:3,5:5,+,0.659,512
106,3:3,5:5,+,0.94,518
107,3:3,3:3,,0.946,521
108,3:3,5:5,+,0.847,522
109,5:5,5:5,,0.985,530
110,3:3,2:2,+,0.594,532
111,3:3,3:3,,0.462,533
112,3:3,3:3,,0.986,536
113,3:3,3:3,,0.994,539
114,3:3,3:3,,1,542
115,3:3,3:3,,0.855,545
116,3:3,3:3,,0.992,552
117,3:3,5:5,+,0.956,557
118,3:3,2:2,+,0.996,559
119,3:3,6:U,+,0.746,570
120,3:3,1:1,+,0.705,578
121,3:3,2:2,+,0.845,583
122,3:3,3:3,,0.992,585
123,3:3,2:2,+,0.887,595
124,3:3,3:3,,0.935,603
125,3:3,3:3,,0.935,604
126,5:5,5:5,,0.988,605
127,3:3,3:3,,0.818,617
128,6:U,6:U,,1,625
129,3:3,3:3,,0.99,626
130,2:2,5:5,+,0.575,628
131,3:3,1:1,+,0.988,634
132,3:3,6:U,+,0.965,643
133,3:3,2:2,+,0.694,651
134,3:3,3:3,,0.998,658
135,3:3,3:3,,0.812,659
136,3:3,3:3,,0.966,660
137,3:3,3:3,,0.993,665
138,3:3,3:3,,0.837,677
139,3:3,3:3,,0.954,679
140,2:2,2:2,,0.904,689
141,3:3,3:3,,0.845,694
142,5:5,5:5,,0.928,706
143,3:3,3:3,,0.763,710
144,3:3,6:U,+,0.949,713
145,3:3,3:3,,0.624,717
146,3:3,3:3,,0.993,722
147,3:3,3:3,,0.993,735
148,2:2,3:3,+,0.565,741
149,3:3,3:3,,0.621,744
150,3:3,5:5,+,0.68,757
151,3:3,3:3,,0.99,761
152,3:3,3:3,,0.692,768
153,3:3,2:2,+,0.876,770
154,3:3,3:3,,0.646,779
155,3:3,2:2,+,0.549,780
156,3:3,3:3,,0.993,783
157,3:3,3:3,,0.992,787
158,2:2,2:2,,0.941,788
159,3:3,3:3,,0.78,795
160,3:3,6:U,+,0.596,801
161,2:2,2:2,,1,804
162,3:3,6:U,+,0.758,814
163,5:5,5:5,,0.966,819
164,3:3,3:3,,0.874,822
165,3:3,3:3,,0.951,824
166,3:3,6:U,+,0.612,826
167,3:3,5:5,+,0.877,828
168,3:3,2:2,+,0.977,830
169,3:3,3:3,,0.574,833
170,3:3,5:5,+,0.416,849
171,3:3,2:2,+,0.75,855
172,3:3,2:2,+,0.803,862
173,3:3,3:3,,1,865
174,3:3,3:3,,0.684,873
175,3:3,3:3,,1,877
176,3:3,3:3,,0.692,881
177,3:3,2:2,+,0.565,886
178,3:3,3:3,,1,888
179,2:2,2:2,,0.925,895
180,6:U,6:U,,1,897

