inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.95,1
2,2:no,2:no,,0.956,13
3,1:yes,1:yes,,1,20
4,2:no,2:no,,0.999,21
5,1:yes,1:yes,,1,34
6,1:yes,1:yes,,1,43
7,1:yes,1:yes,,0.999,48
8,2:no,1:yes,+,0.977,49
9,2:no,2:no,,0.997,50
10,2:no,2:no,,0.997,52
11,2:no,2:no,,1,53
12,1:yes,1:yes,,0.903,54
13,1:yes,1:yes,,1,58
14,2:no,2:no,,0.995,71
15,1:yes,1:yes,,1,80
16,1:yes,1:yes,,0.863,87
17,2:no,2:no,,0.97,88
18,1:yes,1:yes,,0.975,91
19,2:no,1:yes,+,0.997,99
20,2:no,2:no,,0.624,102
21,1:yes,1:yes,,0.987,105
22,1:yes,1:yes,,0.874,106
23,1:yes,1:yes,,0.997,121
24,1:yes,1:yes,,0.996,130
25,1:yes,1:yes,,1,134
26,2:no,2:no,,0.971,149
27,1:yes,1:yes,,1,151
28,1:yes,1:yes,,0.994,160
29,1:yes,1:yes,,0.998,161
30,2:no,2:no,,0.994,166
31,1:yes,1:yes,,0.959,169
32,1:yes,1:yes,,0.992,174
33,1:yes,1:yes,,0.996,187
34,1:yes,2:no,+,0.587,188
35,1:yes,2:no,+,0.594,189
36,1:yes,2:no,+,0.859,190
37,2:no,2:no,,0.995,191
38,1:yes,1:yes,,0.998,201
39,2:no,1:yes,+,0.994,205
40,1:yes,1:yes,,1,207
41,2:no,1:yes,+,0.997,212
42,2:no,2:no,,0.999,214
43,1:yes,2:no,+,0.834,217
44,1:yes,1:yes,,0.975,235
45,2:no,2:no,,0.974,241
46,1:yes,1:yes,,0.78,243
47,1:yes,2:no,+,0.843,251
48,1:yes,1:yes,,0.999,252
49,1:yes,1:yes,,1,257
50,1:yes,1:yes,,0.996,259
51,1:yes,1:yes,,1,263
52,1:yes,1:yes,,0.788,264
53,1:yes,1:yes,,0.954,269
54,1:yes,1:yes,,0.999,270
55,1:yes,1:yes,,1,273
56,2:no,1:yes,+,0.778,276
57,2:no,1:yes,+,0.995,293
58,2:no,1:yes,+,1,295
59,2:no,2:no,,0.891,306
60,1:yes,2:no,+,0.582,308
61,1:yes,1:yes,,1,313
62,2:no,2:no,,0.9,315
63,1:yes,1:yes,,1,319
64,1:yes,1:yes,,0.987,330
65,1:yes,1:yes,,0.995,335
66,1:yes,1:yes,,0.997,336
67,1:yes,1:yes,,0.804,343
68,1:yes,2:no,+,0.974,348
69,1:yes,2:no,+,0.733,353
70,1:yes,2:no,+,0.742,358
71,2:no,2:no,,1,361
72,1:yes,1:yes,,0.523,365
73,1:yes,1:yes,,0.62,367

