inst#,actual,predicted,error,prediction,ID
1,1:draw,1:draw,,0.769,3
2,1:draw,1:draw,,0.835,6
3,1:draw,1:draw,,0.794,17
4,1:draw,1:draw,,0.641,29
5,1:draw,1:draw,,0.575,30
6,1:draw,1:draw,,0.962,34
7,1:draw,1:draw,,0.812,35
8,1:draw,15:thirteen,+,0.706,44
9,1:draw,1:draw,,0.738,46
10,1:draw,1:draw,,0.961,52
11,1:draw,1:draw,,0.632,54
12,1:draw,1:draw,,0.835,57
13,1:draw,1:draw,,0.516,69
14,1:draw,1:draw,,0.966,75
15,1:draw,1:draw,,0.738,88
16,1:draw,1:draw,,0.521,91
17,1:draw,1:draw,,0.682,96
18,1:draw,1:draw,,0.573,99
19,1:draw,1:draw,,0.872,103
20,1:draw,1:draw,,0.929,115
21,1:draw,1:draw,,0.945,119
22,1:draw,1:draw,,0.975,121
23,1:draw,1:draw,,0.964,127
24,1:draw,1:draw,,0.932,134
25,1:draw,1:draw,,0.704,139
26,1:draw,1:draw,,0.921,144
27,1:draw,1:draw,,0.881,146
28,1:draw,1:draw,,0.969,147
29,1:draw,1:draw,,0.936,150
30,1:draw,1:draw,,0.706,167
31,1:draw,1:draw,,0.756,168
32,1:draw,1:draw,,0.66,180
33,1:draw,1:draw,,0.941,188
34,1:draw,1:draw,,0.85,194
35,1:draw,1:draw,,0.736,196
36,1:draw,1:draw,,0.789,199
37,1:draw,1:draw,,0.853,200
38,1:draw,1:draw,,0.939,208
39,1:draw,1:draw,,0.739,210
40,1:draw,1:draw,,0.514,217
41,1:draw,1:draw,,0.699,221
42,1:draw,1:draw,,0.937,227
43,1:draw,1:draw,,0.636,230
44,1:draw,1:draw,,0.918,231
45,1:draw,1:draw,,0.911,243
46,1:draw,1:draw,,0.959,247
47,1:draw,1:draw,,0.766,250
48,1:draw,1:draw,,0.917,259
49,1:draw,1:draw,,0.944,261
50,1:draw,1:draw,,0.406,273
51,1:draw,1:draw,,0.622,274
52,1:draw,1:draw,,0.96,278
53,1:draw,1:draw,,0.747,280
54,1:draw,1:draw,,0.757,283
55,1:draw,1:draw,,0.888,291
56,1:draw,1:draw,,0.946,311
57,1:draw,1:draw,,0.9,312
58,1:draw,1:draw,,0.782,313
59,1:draw,1:draw,,0.829,315
60,1:draw,1:draw,,0.646,316
61,1:draw,1:draw,,0.981,321
62,1:draw,1:draw,,0.915,322
63,1:draw,1:draw,,0.703,323
64,1:draw,1:draw,,0.897,326
65,1:draw,1:draw,,0.873,330
66,1:draw,1:draw,,0.821,341
67,1:draw,1:draw,,0.936,345
68,1:draw,1:draw,,0.615,346
69,1:draw,1:draw,,0.757,349
70,1:draw,1:draw,,0.914,351
71,1:draw,1:draw,,0.826,367
72,1:draw,1:draw,,0.969,369
73,1:draw,1:draw,,0.893,373
74,1:draw,1:draw,,0.962,380
75,1:draw,1:draw,,0.942,382
76,1:draw,1:draw,,0.968,383
77,1:draw,1:draw,,0.968,385
78,1:draw,1:draw,,0.663,396
79,1:draw,1:draw,,0.653,397
80,1:draw,1:draw,,0.632,401
81,1:draw,1:draw,,0.644,409
82,1:draw,1:draw,,0.826,423
83,1:draw,1:draw,,0.843,428
84,1:draw,1:draw,,0.839,430
85,1:draw,1:draw,,0.818,431
86,1:draw,1:draw,,0.733,438
87,1:draw,1:draw,,0.956,447
88,1:draw,1:draw,,0.961,450
89,1:draw,1:draw,,0.71,451
90,1:draw,1:draw,,0.528,459
91,1:draw,1:draw,,0.519,462
92,1:draw,1:draw,,0.711,466
93,1:draw,1:draw,,0.979,469
94,1:draw,1:draw,,0.978,474
95,1:draw,1:draw,,0.896,476
96,1:draw,1:draw,,0.809,478
97,1:draw,1:draw,,0.974,480
98,1:draw,1:draw,,0.71,482
99,1:draw,1:draw,,0.97,485
100,1:draw,1:draw,,0.916,487
101,1:draw,1:draw,,0.929,491
102,1:draw,1:draw,,0.98,501
103,1:draw,1:draw,,0.921,503
104,1:draw,1:draw,,0.948,505
105,1:draw,1:draw,,0.809,512
106,1:draw,1:draw,,0.978,516
107,1:draw,1:draw,,0.69,520
108,1:draw,1:draw,,0.911,536
109,1:draw,1:draw,,0.969,538
110,1:draw,1:draw,,0.664,547
111,1:draw,1:draw,,0.937,550
112,1:draw,1:draw,,0.666,563
113,1:draw,1:draw,,0.867,573
114,1:draw,1:draw,,0.956,579
115,1:draw,1:draw,,0.878,585
116,1:draw,1:draw,,0.84,601
117,1:draw,1:draw,,0.758,606
118,1:draw,1:draw,,0.786,607
119,1:draw,1:draw,,0.899,624
120,1:draw,1:draw,,0.575,626
121,1:draw,1:draw,,0.915,635
122,1:draw,1:draw,,0.834,640
123,1:draw,1:draw,,0.624,644
124,1:draw,1:draw,,0.873,647
125,1:draw,1:draw,,0.887,649
126,1:draw,1:draw,,0.684,655
127,1:draw,1:draw,,0.547,657
128,1:draw,1:draw,,0.805,664
129,1:draw,1:draw,,0.969,674
130,1:draw,1:draw,,0.973,681
131,1:draw,1:draw,,0.668,683
132,1:draw,1:draw,,0.926,688
