inst#,actual,predicted,error,prediction,ID
1,1:band,2:noband,+,0.594,36
2,2:noband,2:noband,,0.512,38
3,1:band,2:noband,+,0.548,59
4,2:noband,2:noband,,0.58,67
5,2:noband,2:noband,,0.543,74
6,2:noband,2:noband,,0.544,81
7,2:noband,2:noband,,0.587,83
8,1:band,2:noband,+,0.519,92
9,2:noband,2:noband,,0.63,96
10,2:noband,2:noband,,0.626,97
11,2:noband,2:noband,,0.604,103
12,1:band,2:noband,+,0.533,109
13,1:band,2:noband,+,0.517,111
14,1:band,2:noband,+,0.589,119
15,1:band,2:noband,+,0.508,122
16,1:band,1:band,,0.6,123
17,2:noband,2:noband,,0.537,125
18,2:noband,2:noband,,0.618,129
19,2:noband,2:noband,,0.601,139
20,2:noband,2:noband,,0.59,141
21,2:noband,2:noband,,0.616,143
22,2:noband,2:noband,,0.629,144
23,2:noband,2:noband,,0.622,145
24,2:noband,2:noband,,0.6,146
25,2:noband,2:noband,,0.6,147
26,2:noband,2:noband,,0.597,150
27,1:band,2:noband,+,0.537,152
28,1:band,2:noband,+,0.506,163
29,1:band,2:noband,+,0.621,165
30,1:band,2:noband,+,0.553,168
31,2:noband,2:noband,,0.52,183
32,1:band,2:noband,+,0.528,188
33,2:noband,2:noband,,0.591,193
34,2:noband,2:noband,,0.634,194
35,2:noband,2:noband,,0.549,198
36,2:noband,2:noband,,0.61,199
37,1:band,2:noband,+,0.53,202
38,2:noband,2:noband,,0.551,219
39,2:noband,2:noband,,0.563,223
40,2:noband,2:noband,,0.585,227
41,2:noband,2:noband,,0.611,237
42,1:band,2:noband,+,0.528,239
43,2:noband,2:noband,,0.536,246
44,2:noband,2:noband,,0.533,253
45,2:noband,2:noband,,0.61,257
46,2:noband,2:noband,,0.64,261
47,2:noband,2:noband,,0.639,262
48,1:band,2:noband,+,0.592,266
49,2:noband,2:noband,,0.619,274
50,2:noband,2:noband,,0.544,281
51,2:noband,2:noband,,0.547,284
52,2:noband,2:noband,,0.629,290
53,2:noband,2:noband,,0.562,293
54,2:noband,2:noband,,0.541,294
55,2:noband,2:noband,,0.562,296
56,2:noband,2:noband,,0.509,301
57,2:noband,2:noband,,0.606,302
58,1:band,2:noband,+,0.6,310
59,2:noband,2:noband,,0.52,312
60,2:noband,2:noband,,0.519,320
61,1:band,2:noband,+,0.537,323
62,1:band,2:noband,+,0.547,324
63,2:noband,2:noband,,0.595,329
64,2:noband,2:noband,,0.597,331
65,2:noband,2:noband,,0.531,334
66,2:noband,2:noband,,0.526,336
67,1:band,2:noband,+,0.537,338
68,2:noband,2:noband,,0.521,341
69,2:noband,2:noband,,0.604,347
70,2:noband,2:noband,,0.603,348
71,2:noband,2:noband,,0.519,354
72,2:noband,2:noband,,0.55,364
73,1:band,2:noband,+,0.523,375
74,2:noband,2:noband,,0.509,388
75,2:noband,2:noband,,0.605,392
76,2:noband,2:noband,,0.527,393
77,2:noband,1:band,+,0.534,394
78,1:band,2:noband,+,0.599,399
79,2:noband,2:noband,,0.574,403
80,2:noband,2:noband,,0.575,404
81,1:band,2:noband,+,0.526,405
82,1:band,2:noband,+,0.507,407
83,1:band,1:band,,0.808,408
84,2:noband,2:noband,,0.525,415
85,2:noband,2:noband,,0.527,416
86,1:band,2:noband,+,0.514,417
87,2:noband,2:noband,,0.599,420
88,2:noband,2:noband,,0.598,421
89,2:noband,2:noband,,0.602,422
90,2:noband,2:noband,,0.626,423
91,2:noband,2:noband,,0.587,433
92,2:noband,2:noband,,0.576,434
93,2:noband,2:noband,,0.582,436
94,2:noband,2:noband,,0.596,437
95,2:noband,2:noband,,0.545,441
96,2:noband,2:noband,,0.539,447
97,2:noband,2:noband,,0.612,449
98,1:band,2:noband,+,0.584,461
99,1:band,2:noband,+,0.592,462
100,1:band,2:noband,+,0.578,485
101,1:band,2:noband,+,0.6,490
102,1:band,2:noband,+,0.544,496
103,1:band,2:noband,+,0.594,499
104,1:band,2:noband,+,0.557,506
105,1:band,2:noband,+,0.561,515
106,1:band,2:noband,+,0.607,516
107,1:band,2:noband,+,0.592,517
108,1:band,2:noband,+,0.592,522

