inst#,actual,predicted,error,prediction,ID
1,6:2,7:3,+,0.571,5
2,4:0,7:3,+,0.571,12
3,5:1,5:1,,0.931,19
4,5:1,5:1,,0.931,24
5,5:1,5:1,,0.931,26
6,7:3,7:3,,0.909,29
7,6:2,6:2,,1,31
8,4:0,5:1,+,0.931,35
9,4:0,4:0,,0.785,38
10,4:0,4:0,,0.785,41
11,5:1,4:0,+,0.785,42
12,5:1,5:1,,0.931,51
13,7:3,7:3,,0.909,56
14,4:0,4:0,,0.785,66
15,5:1,7:3,+,0.571,75
16,6:2,4:0,+,0.785,76
17,6:2,4:0,+,0.785,78
18,5:1,5:1,,0.931,90
19,5:1,5:1,,0.931,93
20,5:1,5:1,,0.931,96
21,7:3,7:3,,0.909,104
22,4:0,4:0,,0.785,111
23,4:0,4:0,,0.785,112
24,4:0,4:0,,0.785,113
25,5:1,5:1,,0.931,119
26,7:3,7:3,,0.909,124
27,7:3,7:3,,0.909,125
28,7:3,7:3,,0.571,128
29,7:3,7:3,,0.571,136
30,6:2,6:2,,1,137
31,6:2,4:0,+,0.785,139
32,6:2,4:0,+,0.785,140
33,4:0,4:0,,0.785,144
34,4:0,4:0,,0.785,153
35,4:0,4:0,,0.785,156
36,5:1,7:3,+,0.571,166
37,6:2,6:2,,1,167
38,3:-1,3:-1,,1,173
39,3:-1,3:-1,,1,174
40,3:-1,3:-1,,1,177
41,7:3,7:3,,0.571,178

