inst#,actual,predicted,error,prediction,ID
1,3:'vehic wind float',1:build wind float,+,0.553,1
2,3:'vehic wind float',2:build wind non-float,+,0.868,14
3,1:'build wind float',1:build wind float,,0.714,20
4,2:'build wind non-float',5:containers,+,0.896,21
5,2:'build wind non-float',2:build wind non-float,,0.724,37
6,1:'build wind float',1:build wind float,,0.549,48
7,1:'build wind float',1:build wind float,,0.51,50
8,1:'build wind float',1:build wind float,,0.68,52
9,7:headlamps,7:headlamps,,0.603,54
10,1:'build wind float',1:build wind float,,0.528,57
11,3:'vehic wind float',1:build wind float,+,0.61,58
12,1:'build wind float',1:build wind float,,0.74,63
13,2:'build wind non-float',1:build wind float,+,0.485,71
14,1:'build wind float',1:build wind float,,0.776,74
15,1:'build wind float',2:build wind non-float,+,0.726,87
16,1:'build wind float',1:build wind float,,0.644,88
17,1:'build wind float',1:build wind float,,0.677,92
18,2:'build wind non-float',1:build wind float,+,0.69,99
19,7:headlamps,2:build wind non-float,+,0.426,102
20,7:headlamps,7:headlamps,,0.996,103
21,2:'build wind non-float',2:build wind non-float,,0.762,106
22,7:headlamps,7:headlamps,,0.912,107
23,2:'build wind non-float',2:build wind non-float,,0.899,116
24,1:'build wind float',2:build wind non-float,+,0.664,121
25,1:'build wind float',1:build wind float,,0.642,129
26,2:'build wind non-float',2:build wind non-float,,0.547,130
27,2:'build wind non-float',1:build wind float,+,0.663,149
28,1:'build wind float',1:build wind float,,0.581,151
29,5:containers,5:containers,,0.492,157
30,2:'build wind non-float',2:build wind non-float,,0.587,160
31,7:headlamps,7:headlamps,,0.935,169
32,1:'build wind float',2:build wind non-float,+,0.499,174
33,1:'build wind float',1:build wind float,,0.571,177
34,6:tableware,6:tableware,,0.405,179
35,1:'build wind float',2:build wind non-float,+,0.453,187
36,3:'vehic wind float',2:build wind non-float,+,0.55,188
37,2:'build wind non-float',2:build wind non-float,,0.515,196
38,1:'build wind float',2:build wind non-float,+,0.488,201
39,3:'vehic wind float',2:build wind non-float,+,0.67,202
40,7:headlamps,7:headlamps,,0.579,206
41,2:'build wind non-float',2:build wind non-float,,0.709,210
42,6:tableware,6:tableware,,0.906,213

