inst#,actual,predicted,error,prediction,ID
1,3:3,2:2,+,1,0
2,3:3,2:2,+,1,7
3,3:3,3:3,,1,22
4,3:3,3:3,,0.876,25
5,3:3,2:2,+,1,31
6,1:1,1:1,,0.993,48
7,1:1,2:2,+,1,59
8,2:2,2:2,,1,61
9,1:1,1:1,,0.906,65
10,3:3,3:3,,0.912,67
11,3:3,3:3,,0.799,78
12,3:3,3:3,,0.967,86
13,2:2,3:3,+,0.845,87
14,2:2,3:3,+,1,88
15,1:1,1:1,,0.993,100
16,3:3,3:3,,0.886,104
17,2:2,2:2,,0.755,111
18,2:2,2:2,,1,118
19,1:1,1:1,,0.993,121
20,1:1,1:1,,1,123
21,1:1,2:2,+,0.8,135
22,2:2,2:2,,1,141
23,2:2,3:3,+,1,155
24,3:3,3:3,,1,162
25,3:3,3:3,,0.983,168
26,1:1,3:3,+,1,173
27,1:1,1:1,,0.993,176
28,1:1,1:1,,0.993,178
29,2:2,3:3,+,1,187
30,3:3,3:3,,0.908,191
31,3:3,1:1,+,1,195
32,3:3,3:3,,0.753,198
33,2:2,2:2,,0.827,199
34,3:3,2:2,+,1,208
35,1:1,1:1,,0.993,209
36,2:2,1:1,+,0.667,210
37,3:3,2:2,+,0.799,212
38,2:2,3:3,+,0.746,218
39,1:1,2:2,+,1,219
40,3:3,3:3,,1,221
41,1:1,2:2,+,1,226
42,3:3,2:2,+,1,230
43,3:3,3:3,,0.976,231
44,1:1,1:1,,0.993,233
45,3:3,1:1,+,0.993,246
46,2:2,1:1,+,0.993,247
47,3:3,3:3,,0.888,254
48,3:3,3:3,,1,258
49,3:3,3:3,,1,259
50,3:3,3:3,,0.88,272
51,3:3,3:3,,0.967,274
52,3:3,3:3,,0.928,276
53,3:3,2:2,+,1,278
54,2:2,3:3,+,1,282
55,3:3,3:3,,0.951,283
56,2:2,1:1,+,1,288
57,3:3,3:3,,0.907,313
58,1:1,1:1,,1,324
59,1:1,2:2,+,1,328
60,1:1,2:2,+,0.798,331
61,3:3,2:2,+,1,343
62,2:2,3:3,+,0.96,346
63,1:1,3:3,+,0.915,350
64,3:3,3:3,,0.934,361
65,3:3,3:3,,0.905,365
66,2:2,3:3,+,0.806,367
67,3:3,3:3,,1,370
68,3:3,2:2,+,1,378
