inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.999,4
2,1:0,1:0,,0.999,9
3,2:1,1:0,+,0.517,11
4,1:0,1:0,,0.999,16
5,2:1,1:0,+,0.533,17
6,1:0,1:0,,0.999,19
7,1:0,1:0,,0.999,22
8,1:0,1:0,,0.999,28
9,2:1,1:0,+,0.523,35
10,1:0,1:0,,0.999,36
11,2:1,1:0,+,0.52,38
12,1:0,1:0,,0.999,46
13,2:1,2:1,,0.532,50
14,1:0,1:0,,0.999,57
15,1:0,1:0,,0.999,61
16,2:1,1:0,+,0.504,62
17,1:0,1:0,,0.999,75
18,1:0,1:0,,0.999,79
19,2:1,1:0,+,0.527,89
20,1:0,1:0,,0.999,90
21,1:0,1:0,,0.999,93
22,2:1,2:1,,0.528,104
23,1:0,1:0,,0.999,108
24,1:0,1:0,,0.999,114
25,2:1,2:1,,0.521,116
26,2:1,2:1,,0.525,119
27,1:0,1:0,,0.999,127
28,1:0,1:0,,0.999,133
29,1:0,1:0,,0.999,145
30,2:1,2:1,,0.542,149
31,1:0,1:0,,0.999,153
32,1:0,1:0,,0.999,154
33,1:0,1:0,,0.998,157
34,1:0,1:0,,0.999,159
35,1:0,1:0,,0.999,169
36,1:0,1:0,,0.999,172
37,2:1,2:1,,0.56,176
38,1:0,1:0,,0.999,180
39,1:0,1:0,,0.999,190
40,2:1,2:1,,0.53,191
41,1:0,1:0,,0.999,217
42,1:0,1:0,,0.999,223
43,1:0,1:0,,0.999,234
44,2:1,2:1,,0.517,245
45,1:0,1:0,,0.999,255
46,2:1,2:1,,0.81,257
47,2:1,2:1,,0.817,263
48,1:0,1:0,,0.999,264
49,1:0,1:0,,0.995,268
50,2:1,2:1,,0.52,278
51,2:1,2:1,,0.821,284
52,1:0,1:0,,0.999,301
53,1:0,1:0,,0.999,304
54,1:0,1:0,,0.996,313
55,2:1,2:1,,0.826,320
56,2:1,2:1,,0.81,335
57,2:1,2:1,,0.822,338
58,1:0,1:0,,0.996,340
59,2:1,2:1,,0.84,347
60,2:1,2:1,,0.554,356
61,1:0,1:0,,0.999,357
62,1:0,1:0,,0.999,369
63,1:0,1:0,,0.999,372
64,1:0,1:0,,0.994,373
65,2:1,2:1,,0.537,386
66,2:1,2:1,,0.82,389
67,2:1,2:1,,0.81,395
68,1:0,1:0,,0.999,396
69,1:0,1:0,,0.998,399
70,2:1,2:1,,0.53,407
71,1:0,1:0,,0.999,412
72,1:0,1:0,,0.999,417
73,2:1,2:1,,0.816,431
74,2:1,2:1,,0.503,443
75,1:0,1:0,,0.999,444
76,2:1,1:0,+,0.513,449
77,1:0,1:0,,0.999,454
78,1:0,1:0,,0.999,456
79,1:0,1:0,,0.999,460
80,2:1,2:1,,0.5,470
81,2:1,2:1,,0.52,473
82,1:0,1:0,,0.999,475
83,2:1,1:0,+,0.516,476
84,1:0,1:0,,0.999,487
85,1:0,1:0,,0.999,489
86,2:1,2:1,,0.551,491
87,1:0,1:0,,0.999,496
88,1:0,1:0,,0.999,498
89,1:0,1:0,,0.999,499
90,1:0,1:0,,0.999,501
91,1:0,1:0,,0.999,504
92,1:0,1:0,,0.999,511
93,2:1,2:1,,0.535,512
94,2:1,2:1,,0.508,515
95,1:0,1:0,,0.999,517
96,2:1,1:0,+,0.507,521
97,1:0,1:0,,0.999,537
98,2:1,2:1,,0.512,539
99,1:0,1:0,,0.999,546
100,1:0,1:0,,0.998,559
101,1:0,1:0,,0.999,568
102,2:1,2:1,,0.554,569
103,1:0,1:0,,0.999,574
104,1:0,1:0,,0.999,580
105,2:1,2:1,,0.839,587
106,1:0,1:0,,0.999,595
107,1:0,1:0,,0.999,604
108,1:0,1:0,,0.999,606
109,1:0,1:0,,0.993,616
110,1:0,1:0,,0.999,625
111,1:0,1:0,,0.999,633
112,2:1,2:1,,0.829,635
113,1:0,1:0,,0.999,652
114,2:1,2:1,,0.559,653
115,1:0,1:0,,0.999,655
116,2:1,2:1,,0.524,656
117,1:0,1:0,,0.999,657
118,1:0,1:0,,0.999,658
119,2:1,2:1,,0.823,662
120,1:0,1:0,,0.999,667
121,2:1,2:1,,0.841,671
122,1:0,1:0,,0.999,675
123,1:0,1:0,,0.999,684
124,1:0,1:0,,0.999,685
125,1:0,1:0,,0.999,688
126,2:1,2:1,,0.822,689
127,1:0,1:0,,0.999,690
128,1:0,1:0,,0.999,696
129,1:0,1:0,,0.994,697
130,1:0,1:0,,0.999,703
131,1:0,1:0,,0.999,708
132,2:1,2:1,,0.821,713
133,1:0,1:0,,0.999,717
134,1:0,1:0,,0.999,726
135,2:1,2:1,,0.831,728
136,2:1,2:1,,0.532,731
137,1:0,1:0,,0.999,732
138,2:1,2:1,,0.552,734
139,1:0,1:0,,0.999,735
140,1:0,1:0,,0.999,738
141,1:0,1:0,,0.999,739
142,2:1,2:1,,0.807,740
143,1:0,1:0,,0.999,750
144,1:0,1:0,,0.999,753
145,2:1,2:1,,0.557,758
146,1:0,1:0,,0.998,760
147,2:1,2:1,,0.576,761
148,1:0,1:0,,0.999,768
149,2:1,2:1,,0.813,773
150,1:0,1:0,,0.999,783
151,1:0,1:0,,0.999,784
152,1:0,1:0,,0.999,789
153,1:0,1:0,,0.999,790
154,1:0,1:0,,0.999,801
155,1:0,1:0,,0.998,814
156,1:0,1:0,,0.999,822
157,1:0,1:0,,0.994,823
158,1:0,1:0,,0.999,825
159,1:0,1:0,,0.995,826
160,2:1,2:1,,0.822,827
161,1:0,1:0,,0.998,828
162,2:1,2:1,,0.849,830
163,2:1,2:1,,0.858,833
164,1:0,1:0,,0.999,837
165,2:1,2:1,,0.818,848
166,1:0,1:0,,0.995,850
167,2:1,2:1,,0.829,851
168,1:0,1:0,,0.999,852
169,1:0,1:0,,0.995,853
170,2:1,2:1,,0.506,866
171,1:0,1:0,,0.999,868
172,2:1,1:0,+,0.509,872
173,2:1,2:1,,0.791,875
174,1:0,1:0,,0.999,876
175,1:0,1:0,,0.999,882
176,2:1,2:1,,0.526,884
177,1:0,1:0,,0.999,885
178,2:1,2:1,,0.801,890
179,1:0,1:0,,0.999,894
180,1:0,1:0,,0.999,895
181,2:1,2:1,,0.789,902
182,2:1,2:1,,0.778,908
183,2:1,2:1,,0.809,911
184,1:0,1:0,,0.999,912
185,1:0,1:0,,0.999,919
186,2:1,2:1,,0.522,920
187,1:0,1:0,,0.999,924
188,1:0,1:0,,0.999,927
189,1:0,1:0,,0.999,933
190,1:0,1:0,,0.996,934
191,2:1,2:1,,0.791,935
192,1:0,1:0,,0.999,945
193,2:1,1:0,+,0.501,947
194,2:1,1:0,+,0.516,953
195,1:0,1:0,,0.996,958
196,2:1,2:1,,0.799,959
197,1:0,1:0,,0.996,961
198,1:0,1:0,,0.995,967
199,1:0,1:0,,0.999,969
200,1:0,1:0,,0.996,970
201,2:1,2:1,,0.797,971
202,2:1,2:1,,0.567,977
203,2:1,2:1,,0.532,980
204,1:0,1:0,,0.999,991
205,2:1,2:1,,0.567,992
206,1:0,1:0,,0.999,996
207,1:0,1:0,,0.999,1002
208,1:0,1:0,,0.999,1003
209,1:0,1:0,,0.999,1008
210,1:0,1:0,,0.999,1011
211,1:0,1:0,,0.995,1015
212,2:1,2:1,,0.834,1019
213,1:0,1:0,,0.995,1024
214,2:1,2:1,,0.583,1031
215,1:0,1:0,,0.999,1032
216,1:0,1:0,,0.999,1035
217,1:0,1:0,,0.994,1039
218,1:0,1:0,,0.995,1042
219,1:0,1:0,,0.993,1048
220,1:0,1:0,,0.999,1062
221,1:0,1:0,,0.999,1065
222,1:0,1:0,,0.995,1066
223,1:0,1:0,,0.995,1069
224,2:1,2:1,,0.803,1070
225,1:0,1:0,,0.999,1072
226,1:0,1:0,,0.999,1077
227,1:0,1:0,,0.999,1081
228,1:0,1:0,,0.999,1092
229,1:0,1:0,,0.995,1093
230,2:1,2:1,,0.997,1097
231,1:0,1:0,,0.999,1098
232,1:0,1:0,,0.999,1099
233,1:0,1:0,,0.999,1101
234,1:0,1:0,,0.994,1102
235,2:1,2:1,,0.512,1115
236,1:0,1:0,,0.999,1119
237,2:1,2:1,,0.997,1124
238,2:1,2:1,,0.824,1127
239,2:1,2:1,,0.566,1139
240,1:0,1:0,,0.999,1141
241,2:1,2:1,,0.531,1142
242,2:1,2:1,,0.998,1148
243,1:0,1:0,,0.995,1150
244,2:1,2:1,,0.524,1163
245,1:0,1:0,,0.999,1164
246,1:0,1:0,,0.999,1165
247,2:1,2:1,,0.543,1166
248,1:0,1:0,,0.995,1174
249,2:1,2:1,,0.821,1181
250,1:0,1:0,,0.999,1189
251,1:0,1:0,,0.999,1191
252,1:0,1:0,,0.999,1195
253,2:1,2:1,,0.736,1199
254,1:0,1:0,,0.999,1200
255,1:0,1:0,,0.999,1203
256,1:0,1:0,,0.997,1204
257,1:0,1:0,,0.999,1212
258,1:0,1:0,,0.997,1213
259,1:0,1:0,,0.999,1219
260,1:0,1:0,,0.999,1227
261,1:0,1:0,,0.999,1243
262,1:0,1:0,,0.998,1245
263,2:1,2:1,,0.583,1247
264,1:0,1:0,,0.998,1260
265,2:1,2:1,,0.998,1268
266,1:0,1:0,,0.999,1269
267,1:0,1:0,,0.995,1279
268,2:1,2:1,,0.998,1283
269,2:1,2:1,,0.997,1286
270,1:0,1:0,,0.999,1287
271,1:0,1:0,,0.999,1290
272,1:0,1:0,,0.999,1311
273,1:0,1:0,,0.999,1314
274,2:1,2:1,,0.512,1316
275,1:0,1:0,,0.999,1318
276,2:1,2:1,,0.815,1319
277,2:1,1:0,+,0.51,1325
278,2:1,2:1,,0.779,1334
279,1:0,1:0,,0.999,1342
280,2:1,2:1,,0.813,1346
281,1:0,1:0,,0.999,1350
282,1:0,1:0,,0.999,1351
283,2:1,1:0,+,0.507,1358
284,1:0,1:0,,0.999,1360
285,2:1,2:1,,0.805,1364
286,1:0,1:0,,0.995,1375
287,1:0,1:0,,0.999,1381
288,2:1,1:0,+,0.53,1385
289,2:1,2:1,,0.534,1406
290,2:1,2:1,,0.519,1412
291,2:1,2:1,,0.82,1418
292,2:1,2:1,,0.531,1433
293,2:1,2:1,,0.807,1442
294,2:1,2:1,,0.997,1448
295,2:1,2:1,,0.998,1457
296,1:0,1:0,,0.999,1458
297,2:1,2:1,,0.534,1466
298,1:0,1:0,,0.995,1468
299,1:0,1:0,,0.999,1473
300,1:0,1:0,,0.999,1476
301,1:0,1:0,,0.994,1480
302,1:0,1:0,,0.999,1486
303,1:0,1:0,,0.999,1489
304,2:1,2:1,,0.547,1490
305,1:0,1:0,,0.999,1492
306,2:1,2:1,,0.997,1502
307,1:0,1:0,,0.995,1510
308,1:0,1:0,,0.999,1531
309,1:0,1:0,,0.999,1533
310,1:0,1:0,,0.999,1543
311,1:0,1:0,,0.999,1545
312,2:1,1:0,+,0.502,1547
313,1:0,1:0,,0.999,1548
314,2:1,2:1,,0.709,1550
315,1:0,1:0,,0.995,1558
316,2:1,2:1,,0.735,1559
317,1:0,1:0,,0.999,1569
318,1:0,1:0,,0.999,1575
319,2:1,2:1,,0.724,1577
320,1:0,1:0,,0.999,1578
321,1:0,1:0,,0.999,1594
322,1:0,1:0,,0.999,1597
323,1:0,1:0,,0.996,1603
324,2:1,2:1,,0.998,1616
325,2:1,2:1,,0.997,1619
326,1:0,1:0,,0.999,1620
327,1:0,1:0,,0.999,1627
328,1:0,1:0,,0.999,1629
329,1:0,1:0,,0.999,1641
330,1:0,1:0,,0.994,1642
331,1:0,1:0,,0.999,1644
332,2:1,2:1,,0.998,1646
333,1:0,1:0,,0.999,1650
334,1:0,1:0,,0.999,1651
335,1:0,1:0,,0.999,1653
336,1:0,1:0,,0.996,1669
337,1:0,1:0,,0.999,1680
338,1:0,1:0,,0.994,1693
339,2:1,2:1,,0.998,1697
340,2:1,2:1,,0.998,1700
341,1:0,1:0,,0.999,1708
342,1:0,1:0,,0.999,1710
343,2:1,2:1,,0.719,1712
344,1:0,1:0,,0.999,1725
345,2:1,2:1,,0.997,1727

