inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.982,5
2,3:3,3:3,,0.982,10
3,3:3,3:3,,0.982,23
4,3:3,3:3,,0.982,25
5,5:5,5:5,,0.75,30
6,3:3,5:5,+,0.727,31
7,6:U,6:U,,1,33
8,3:3,3:3,,0.982,39
9,5:5,3:3,+,0.982,44
10,3:3,3:3,,0.982,49
11,3:3,3:3,,0.982,54
12,6:U,6:U,,1,63
13,3:3,3:3,,0.982,65
14,5:5,5:5,,0.727,66
15,2:2,2:2,,0.875,67
16,3:3,3:3,,0.982,70
17,3:3,3:3,,0.982,72
18,2:2,3:3,+,0.982,76
19,3:3,3:3,,0.982,77
20,3:3,2:2,+,0.833,78
21,2:2,2:2,,1,82
22,3:3,2:2,+,0.909,84
23,2:2,2:2,,0.875,86
24,2:2,2:2,,0.875,96
25,5:5,5:5,,0.727,97
26,3:3,3:3,,0.982,109
27,3:3,3:3,,0.982,110
28,3:3,3:3,,0.982,120
29,3:3,3:3,,0.982,136
30,3:3,3:3,,0.982,137
31,3:3,3:3,,0.982,139
32,3:3,3:3,,0.982,141
33,3:3,3:3,,0.982,165
34,3:3,3:3,,0.982,168
35,2:2,3:3,+,0.982,174
36,3:3,3:3,,0.982,192
37,3:3,3:3,,0.982,196
38,3:3,3:3,,0.982,198
39,3:3,3:3,,0.982,204
40,3:3,3:3,,0.982,208
41,3:3,3:3,,0.982,209
42,3:3,2:2,+,0.833,210
43,3:3,3:3,,0.982,211
44,3:3,3:3,,0.982,213
45,3:3,3:3,,0.982,215
46,2:2,2:2,,0.875,218
47,2:2,2:2,,0.909,227
48,3:3,3:3,,0.982,235
49,3:3,3:3,,0.982,239
50,3:3,3:3,,0.982,244
51,3:3,3:3,,0.982,247
52,3:3,3:3,,0.982,254
53,3:3,3:3,,0.982,259
54,5:5,5:5,,0.929,265
55,5:5,5:5,,0.929,275
56,3:3,3:3,,0.982,280
57,2:2,2:2,,0.875,281
58,3:3,3:3,,0.982,286
59,2:2,2:2,,0.875,291
60,3:3,3:3,,0.982,292
61,2:2,2:2,,0.909,296
62,3:3,3:3,,0.982,298
63,3:3,3:3,,0.982,300
64,2:2,3:3,+,0.982,302
65,3:3,3:3,,0.982,305
66,3:3,3:3,,0.982,312
67,3:3,3:3,,0.982,316
68,3:3,3:3,,0.982,319
69,3:3,3:3,,0.982,321
70,3:3,3:3,,0.982,326
71,3:3,3:3,,0.982,327
72,3:3,3:3,,0.982,331
73,3:3,3:3,,0.982,332
74,3:3,3:3,,0.982,334
75,3:3,3:3,,0.982,342
76,3:3,3:3,,0.982,344
77,3:3,3:3,,0.982,350
78,3:3,3:3,,0.982,351
79,6:U,6:U,,1,360
80,3:3,3:3,,0.982,361
