inst#,actual,predicted,error,prediction,ID
1,2:+,2:+,,0.935,1
2,1:-,1:-,,0.999,3
3,1:-,1:-,,0.999,13
4,2:+,2:+,,0.997,27
5,1:-,1:-,,0.991,29
6,1:-,1:-,,0.985,30
7,1:-,1:-,,0.991,36
8,2:+,2:+,,0.997,42
9,2:+,2:+,,0.998,52
10,1:-,1:-,,0.985,66
11,1:-,1:-,,0.999,70
12,1:-,1:-,,0.999,75
13,2:+,2:+,,0.998,86
14,2:+,2:+,,0.997,90
15,2:+,2:+,,0.997,96
16,1:-,1:-,,0.999,97
17,1:-,1:-,,0.991,99
18,2:+,2:+,,0.997,101
19,2:+,2:+,,0.998,108
20,2:+,2:+,,0.997,116
21,2:+,2:+,,0.998,121
22,2:+,2:+,,0.997,128
23,2:+,2:+,,0.998,133
24,2:+,2:+,,0.998,137
25,2:+,2:+,,0.997,141
26,2:+,2:+,,0.997,142
27,2:+,2:+,,0.998,143
28,2:+,2:+,,0.998,144
29,2:+,2:+,,0.998,145
30,2:+,2:+,,0.997,149
31,2:+,2:+,,0.997,160
32,2:+,2:+,,0.998,168
33,2:+,2:+,,0.997,178
34,2:+,2:+,,0.997,179
35,2:+,2:+,,0.998,180
36,2:+,2:+,,0.998,185
37,2:+,2:+,,0.997,187
38,1:-,1:-,,0.999,197
39,2:+,2:+,,0.997,201
40,2:+,2:+,,0.997,205
41,1:-,1:-,,0.991,209
42,2:+,2:+,,0.998,228
43,2:+,2:+,,0.998,230
44,2:+,2:+,,0.997,232
45,2:+,2:+,,0.998,234
46,1:-,1:-,,0.985,237
47,2:+,2:+,,0.997,239
48,1:-,1:-,,0.985,241
49,1:-,1:-,,0.991,247
50,1:-,1:-,,0.985,250
51,1:-,1:-,,0.991,251
52,1:-,1:-,,0.991,254
53,1:-,1:-,,0.985,255
54,2:+,2:+,,0.998,261
55,1:-,1:-,,0.985,264
56,1:-,1:-,,0.991,267
57,2:+,2:+,,0.997,280
58,2:+,2:+,,0.997,288
59,2:+,2:+,,0.997,290

