inst#,actual,predicted,error,prediction,ID
1,7:3,7:3,,0.998,0
2,5:1,7:3,+,1,2
3,6:2,4:0,+,0.687,4
4,5:1,4:0,+,0.844,6
5,6:2,6:2,,0.39,10
6,4:0,4:0,,0.947,11
7,5:1,5:1,,0.979,22
8,5:1,5:1,,0.997,27
9,5:1,5:1,,0.504,32
10,5:1,5:1,,0.666,33
11,4:0,5:1,+,0.665,36
12,6:2,6:2,,0.67,46
13,5:1,5:1,,0.962,61
14,4:0,5:1,+,0.766,62
15,4:0,5:1,+,0.927,64
16,3:-1,4:0,+,0.504,70
17,6:2,5:1,+,0.84,77
18,5:1,5:1,,0.697,85
19,4:0,4:0,,0.87,109
20,4:0,3:-1,+,0.639,114
21,4:0,4:0,,0.998,115
22,4:0,4:0,,0.996,117
23,5:1,5:1,,0.951,118
24,5:1,5:1,,0.967,122
25,7:3,7:3,,1,126
26,7:3,7:3,,1,127
27,6:2,3:-1,+,0.842,135
28,6:2,6:2,,0.997,138
29,4:0,6:2,+,0.894,141
30,4:0,4:0,,0.884,148
31,5:1,5:1,,0.779,150
32,5:1,5:1,,0.638,163
33,6:2,6:2,,0.991,170
34,6:2,6:2,,0.939,183
35,6:2,4:0,+,1,184
36,6:2,4:0,+,1,187
37,4:0,4:0,,0.982,192
38,2:-2,2:-2,,1,196
39,3:-1,3:-1,,0.999,199
40,3:-1,3:-1,,1,200
41,3:-1,3:-1,,1,203

