inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.968,0
2,3:3,3:3,,0.968,3
3,3:3,3:3,,0.968,9
4,3:3,3:3,,0.968,11
5,3:3,3:3,,0.968,15
6,3:3,3:3,,0.968,19
7,6:U,6:U,,0.967,22
8,3:3,3:3,,0.968,38
9,3:3,3:3,,0.968,42
10,3:3,3:3,,0.968,43
11,3:3,3:3,,0.968,46
12,3:3,3:3,,0.968,50
13,3:3,3:3,,0.968,57
14,3:3,3:3,,0.968,59
15,3:3,3:3,,0.968,68
16,3:3,3:3,,0.968,74
17,3:3,3:3,,0.968,75
18,2:2,3:3,+,0.968,88
19,5:5,5:5,,1,89
20,3:3,3:3,,0.968,92
21,3:3,3:3,,0.968,93
22,3:3,3:3,,0.968,94
23,2:2,3:3,+,0.968,100
24,3:3,3:3,,0.968,104
25,5:5,5:5,,0.698,107
26,3:3,3:3,,0.968,113
27,3:3,3:3,,0.968,114
28,6:U,6:U,,0.967,116
29,3:3,3:3,,0.968,117
30,3:3,3:3,,0.968,124
31,5:5,5:5,,0.698,125
32,3:3,3:3,,0.968,126
33,3:3,3:3,,0.968,142
34,3:3,3:3,,0.968,144
35,3:3,3:3,,0.968,149
36,3:3,3:3,,0.968,153
37,3:3,3:3,,0.968,154
38,3:3,5:5,+,0.698,167
39,5:5,5:5,,0.698,169
40,3:3,3:3,,0.968,175
41,3:3,3:3,,0.968,177
42,3:3,3:3,,0.968,178
43,2:2,2:2,,0.9,179
44,3:3,3:3,,0.968,184
45,1:1,3:3,+,0.968,188
46,3:3,3:3,,0.968,195
47,3:3,3:3,,0.968,203
48,3:3,3:3,,0.968,221
49,2:2,3:3,+,0.968,222
50,3:3,3:3,,0.968,228
51,3:3,3:3,,0.968,236
52,3:3,3:3,,0.968,237
53,5:5,5:5,,0.698,238
54,3:3,3:3,,0.968,245
55,3:3,3:3,,0.968,249
56,3:3,3:3,,0.968,256
57,5:5,5:5,,1,257
58,2:2,2:2,,0.75,261
59,3:3,5:5,+,0.698,263
60,3:3,3:3,,0.968,268
61,3:3,5:5,+,0.698,271
62,3:3,3:3,,0.968,274
63,2:2,2:2,,0.9,277
64,1:1,1:1,,1,278
65,3:3,3:3,,0.968,284
66,3:3,3:3,,0.968,287
67,3:3,3:3,,0.968,289
68,3:3,3:3,,0.968,304
69,3:3,3:3,,0.968,307
70,3:3,3:3,,0.968,310
71,2:2,3:3,+,0.968,318
72,3:3,3:3,,0.968,320
73,3:3,3:3,,0.968,324
74,3:3,3:3,,0.968,329
75,6:U,6:U,,0.967,335
76,5:5,5:5,,0.698,336
77,3:3,3:3,,0.968,340
78,1:1,1:1,,1,341
79,3:3,3:3,,0.968,349
80,5:5,5:5,,1,353
81,3:3,3:3,,0.968,354
82,3:3,6:U,+,0.967,356
83,5:5,5:5,,0.698,369
84,6:U,6:U,,0.967,371
85,3:3,3:3,,0.968,383
86,3:3,3:3,,0.968,393
87,2:2,3:3,+,0.968,395
88,2:2,3:3,+,0.968,399
89,2:2,2:2,,0.9,407
90,6:U,6:U,,0.967,412
91,3:3,3:3,,0.968,423
92,3:3,3:3,,0.968,432
93,3:3,2:2,+,0.9,434
94,2:2,2:2,,0.889,439
95,3:3,3:3,,0.968,442
96,5:5,5:5,,0.698,443
97,6:U,6:U,,0.967,453
98,3:3,3:3,,0.968,470
99,3:3,3:3,,0.968,479
100,3:3,3:3,,0.968,481
101,3:3,3:3,,0.968,486
102,3:3,3:3,,0.968,490
103,5:5,5:5,,0.698,499
104,3:3,3:3,,0.968,501
105,3:3,3:3,,0.968,512
106,3:3,5:5,+,0.698,518
107,3:3,3:3,,0.968,521
108,3:3,3:3,,0.968,522
109,5:5,5:5,,0.698,530
110,3:3,3:3,,0.968,532
111,3:3,3:3,,0.968,533
112,3:3,3:3,,0.968,536
113,3:3,3:3,,0.968,539
114,3:3,3:3,,0.968,542
115,3:3,3:3,,0.968,545
116,3:3,3:3,,0.968,552
117,3:3,5:5,+,0.698,557
118,3:3,3:3,,0.968,559
119,3:3,3:3,,0.968,570
120,3:3,3:3,,0.968,578
121,3:3,3:3,,0.968,583
122,3:3,3:3,,0.968,585
123,3:3,3:3,,0.968,595
124,3:3,3:3,,0.968,603
125,3:3,3:3,,0.968,604
126,5:5,5:5,,1,605
127,3:3,3:3,,0.968,617
128,6:U,6:U,,0.967,625
129,3:3,2:2,+,0.889,626
130,2:2,2:2,,0.889,628
131,3:3,3:3,,0.968,634
132,3:3,3:3,,0.968,643
133,3:3,3:3,,0.968,651
134,3:3,3:3,,0.968,658
135,3:3,3:3,,0.968,659
136,3:3,3:3,,0.968,660
137,3:3,3:3,,0.968,665
138,3:3,3:3,,0.968,677
139,3:3,3:3,,0.968,679
140,2:2,2:2,,0.889,689
141,3:3,3:3,,0.968,694
142,5:5,5:5,,0.698,706
143,3:3,3:3,,0.968,710
144,3:3,3:3,,0.968,713
145,3:3,3:3,,0.968,717
146,3:3,3:3,,0.968,722
147,3:3,3:3,,0.968,735
148,2:2,3:3,+,0.968,741
149,3:3,3:3,,0.968,744
150,3:3,3:3,,0.968,757
151,3:3,3:3,,0.968,761
152,3:3,3:3,,0.968,768
153,3:3,3:3,,0.968,770
154,3:3,3:3,,0.968,779
155,3:3,3:3,,0.968,780
156,3:3,3:3,,0.968,783
157,3:3,3:3,,0.968,787
158,2:2,2:2,,0.9,788
159,3:3,3:3,,0.968,795
160,3:3,3:3,,0.968,801
161,2:2,2:2,,1,804
162,3:3,3:3,,0.968,814
163,5:5,5:5,,0.698,819
164,3:3,3:3,,0.968,822
165,3:3,3:3,,0.968,824
166,3:3,3:3,,0.968,826
167,3:3,3:3,,0.968,828
168,3:3,3:3,,0.968,830
169,3:3,3:3,,0.968,833
170,3:3,3:3,,0.968,849
171,3:3,3:3,,0.968,855
172,3:3,3:3,,0.968,862
173,3:3,3:3,,0.968,865
174,3:3,3:3,,0.968,873
175,3:3,3:3,,0.968,877
176,3:3,3:3,,0.968,881
177,3:3,3:3,,0.968,886
178,3:3,3:3,,0.968,888
179,2:2,3:3,+,0.968,895
180,6:U,6:U,,0.967,897

