inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.995,4
2,1:0,1:0,,0.995,9
3,2:1,2:1,,0.994,11
4,1:0,1:0,,0.998,16
5,2:1,2:1,,0.992,17
6,1:0,1:0,,0.997,19
7,1:0,1:0,,0.997,22
8,1:0,1:0,,0.995,28
9,2:1,2:1,,0.995,35
10,1:0,1:0,,0.996,36
11,2:1,2:1,,0.994,38
12,1:0,1:0,,0.997,46
13,2:1,2:1,,0.993,50
14,1:0,1:0,,0.994,57
15,1:0,1:0,,0.996,61
16,2:1,2:1,,0.995,62
17,1:0,1:0,,0.996,75
18,1:0,1:0,,0.998,79
19,2:1,2:1,,0.995,89
20,1:0,1:0,,0.996,90
21,1:0,1:0,,0.996,93
22,2:1,2:1,,0.993,104
23,1:0,1:0,,0.992,108
24,1:0,1:0,,0.994,114
25,2:1,2:1,,0.995,116
26,2:1,2:1,,0.993,119
27,1:0,1:0,,0.997,127
28,1:0,1:0,,0.998,133
29,1:0,1:0,,0.997,145
30,2:1,2:1,,0.992,149
31,1:0,1:0,,0.996,153
32,1:0,1:0,,0.997,154
33,1:0,1:0,,0.998,157
34,1:0,1:0,,0.997,159
35,1:0,1:0,,0.996,169
36,1:0,1:0,,0.998,172
37,2:1,2:1,,0.991,176
38,1:0,1:0,,0.996,180
39,1:0,1:0,,0.995,190
40,2:1,2:1,,0.996,191
41,1:0,1:0,,0.996,217
42,1:0,1:0,,0.997,223
43,1:0,1:0,,0.996,234
44,2:1,2:1,,0.995,245
45,1:0,1:0,,0.997,255
46,2:1,2:1,,0.996,257
47,2:1,2:1,,0.997,263
48,1:0,1:0,,0.997,264
49,1:0,1:0,,0.995,268
50,2:1,2:1,,0.994,278
51,2:1,2:1,,0.996,284
52,1:0,1:0,,0.997,301
53,1:0,1:0,,0.997,304
54,1:0,1:0,,0.995,313
55,2:1,2:1,,0.996,320
56,2:1,2:1,,0.997,335
57,2:1,2:1,,0.996,338
58,1:0,1:0,,0.995,340
59,2:1,2:1,,0.996,347
60,2:1,2:1,,0.994,356
61,1:0,1:0,,0.995,357
62,1:0,1:0,,0.996,369
63,1:0,1:0,,0.997,372
64,1:0,1:0,,0.994,373
65,2:1,2:1,,0.994,386
66,2:1,2:1,,0.996,389
67,2:1,2:1,,0.995,395
68,1:0,1:0,,0.997,396
69,1:0,1:0,,0.997,399
70,2:1,2:1,,0.995,407
71,1:0,1:0,,0.997,412
72,1:0,1:0,,0.997,417
73,2:1,2:1,,0.996,431
74,2:1,2:1,,0.993,443
75,1:0,1:0,,0.997,444
76,2:1,2:1,,0.992,449
77,1:0,1:0,,0.997,454
78,1:0,1:0,,0.996,456
79,1:0,1:0,,0.995,460
80,2:1,2:1,,0.993,470
81,2:1,2:1,,0.992,473
82,1:0,1:0,,0.998,475
83,2:1,2:1,,0.991,476
84,1:0,1:0,,0.996,487
85,1:0,1:0,,0.994,489
86,2:1,2:1,,0.995,491
87,1:0,1:0,,0.998,496
88,1:0,1:0,,0.997,498
89,1:0,1:0,,0.998,499
90,1:0,1:0,,0.997,501
91,1:0,1:0,,0.996,504
92,1:0,1:0,,0.998,511
93,2:1,2:1,,0.992,512
94,2:1,2:1,,0.996,515
95,1:0,1:0,,0.996,517
96,2:1,2:1,,0.995,521
97,1:0,1:0,,0.997,537
98,2:1,2:1,,0.992,539
99,1:0,1:0,,0.994,546
100,1:0,1:0,,0.997,559
101,1:0,1:0,,0.996,568
102,2:1,2:1,,0.995,569
103,1:0,1:0,,0.997,574
104,1:0,1:0,,0.998,580
105,2:1,2:1,,0.997,587
106,1:0,1:0,,0.996,595
107,1:0,1:0,,0.998,604
108,1:0,1:0,,0.997,606
109,1:0,1:0,,0.994,616
110,1:0,1:0,,0.996,625
111,1:0,1:0,,0.997,633
112,2:1,2:1,,0.996,635
113,1:0,1:0,,0.997,652
114,2:1,2:1,,0.994,653
115,1:0,1:0,,0.997,655
116,2:1,2:1,,0.994,656
117,1:0,1:0,,0.997,657
118,1:0,1:0,,0.998,658
119,2:1,2:1,,0.996,662
120,1:0,1:0,,0.998,667
121,2:1,2:1,,0.996,671
122,1:0,1:0,,0.995,675
123,1:0,1:0,,0.997,684
124,1:0,1:0,,0.998,685
125,1:0,1:0,,0.998,688
126,2:1,2:1,,0.995,689
127,1:0,1:0,,0.998,690
128,1:0,1:0,,0.997,696
129,1:0,1:0,,0.995,697
130,1:0,1:0,,0.997,703
131,1:0,1:0,,0.996,708
132,2:1,2:1,,0.996,713
133,1:0,1:0,,0.998,717
134,1:0,1:0,,0.998,726
135,2:1,2:1,,0.995,728
136,2:1,2:1,,0.994,731
137,1:0,1:0,,0.996,732
138,2:1,2:1,,0.993,734
139,1:0,1:0,,0.996,735
140,1:0,1:0,,0.997,738
141,1:0,1:0,,0.998,739
142,2:1,2:1,,0.996,740
143,1:0,1:0,,0.997,750
144,1:0,1:0,,0.998,753
145,2:1,2:1,,0.995,758
146,1:0,1:0,,0.997,760
147,2:1,2:1,,0.994,761
148,1:0,1:0,,0.997,768
149,2:1,2:1,,0.996,773
150,1:0,1:0,,0.995,783
151,1:0,1:0,,0.996,784
152,1:0,1:0,,0.996,789
153,1:0,1:0,,0.997,790
154,1:0,1:0,,0.997,801
155,1:0,1:0,,0.997,814
156,1:0,1:0,,0.998,822
157,1:0,1:0,,0.996,823
158,1:0,1:0,,0.998,825
159,1:0,1:0,,0.996,826
160,2:1,2:1,,0.995,827
161,1:0,1:0,,0.997,828
162,2:1,2:1,,0.996,830
163,2:1,2:1,,0.996,833
164,1:0,1:0,,0.995,837
165,2:1,2:1,,0.996,848
166,1:0,1:0,,0.996,850
167,2:1,2:1,,0.995,851
168,1:0,1:0,,0.998,852
169,1:0,1:0,,0.996,853
170,2:1,2:1,,0.995,866
171,1:0,1:0,,0.997,868
172,2:1,2:1,,0.994,872
173,2:1,2:1,,0.996,875
174,1:0,1:0,,0.997,876
175,1:0,1:0,,0.996,882
176,2:1,2:1,,0.992,884
177,1:0,1:0,,0.997,885
178,2:1,2:1,,0.996,890
179,1:0,1:0,,0.995,894
180,1:0,1:0,,0.997,895
181,2:1,2:1,,0.996,902
182,2:1,2:1,,0.996,908
183,2:1,2:1,,0.997,911
184,1:0,1:0,,0.997,912
185,1:0,1:0,,0.996,919
186,2:1,2:1,,0.995,920
187,1:0,1:0,,0.996,924
188,1:0,1:0,,0.997,927
189,1:0,1:0,,0.998,933
190,1:0,1:0,,0.996,934
191,2:1,2:1,,0.995,935
192,1:0,1:0,,0.994,945
193,2:1,2:1,,0.995,947
194,2:1,2:1,,0.994,953
195,1:0,1:0,,0.995,958
196,2:1,2:1,,0.996,959
197,1:0,1:0,,0.996,961
198,1:0,1:0,,0.995,967
199,1:0,1:0,,0.997,969
200,1:0,1:0,,0.995,970
201,2:1,2:1,,0.996,971
202,2:1,2:1,,0.994,977
203,2:1,2:1,,0.993,980
204,1:0,1:0,,0.998,991
205,2:1,2:1,,0.992,992
206,1:0,1:0,,0.997,996
207,1:0,1:0,,0.996,1002
208,1:0,1:0,,0.997,1003
209,1:0,1:0,,0.997,1008
210,1:0,1:0,,0.998,1011
211,1:0,1:0,,0.996,1015
212,2:1,2:1,,0.996,1019
213,1:0,1:0,,0.995,1024
214,2:1,2:1,,0.993,1031
215,1:0,1:0,,0.996,1032
216,1:0,1:0,,0.997,1035
217,1:0,1:0,,0.996,1039
218,1:0,1:0,,0.996,1042
219,1:0,1:0,,0.995,1048
220,1:0,1:0,,0.997,1062
221,1:0,1:0,,0.998,1065
222,1:0,1:0,,0.996,1066
223,1:0,1:0,,0.996,1069
224,2:1,2:1,,0.995,1070
225,1:0,1:0,,0.998,1072
226,1:0,1:0,,0.998,1077
227,1:0,1:0,,0.997,1081
228,1:0,1:0,,0.998,1092
229,1:0,1:0,,0.996,1093
230,2:1,2:1,,0.999,1097
231,1:0,1:0,,0.997,1098
232,1:0,1:0,,0.998,1099
233,1:0,1:0,,0.998,1101
234,1:0,1:0,,0.996,1102
235,2:1,2:1,,0.992,1115
236,1:0,1:0,,0.998,1119
237,2:1,2:1,,0.999,1124
238,2:1,2:1,,0.996,1127
239,2:1,2:1,,0.992,1139
240,1:0,1:0,,0.998,1141
241,2:1,2:1,,0.991,1142
242,2:1,2:1,,0.999,1148
243,1:0,1:0,,0.997,1150
244,2:1,2:1,,0.993,1163
245,1:0,1:0,,0.997,1164
246,1:0,1:0,,0.998,1165
247,2:1,2:1,,0.992,1166
248,1:0,1:0,,0.997,1174
249,2:1,2:1,,0.995,1181
250,1:0,1:0,,0.997,1189
251,1:0,1:0,,0.996,1191
252,1:0,1:0,,0.998,1195
253,2:1,2:1,,0.997,1199
254,1:0,1:0,,0.998,1200
255,1:0,1:0,,0.998,1203
256,1:0,1:0,,0.992,1204
257,1:0,1:0,,0.998,1212
258,1:0,1:0,,0.992,1213
259,1:0,1:0,,0.998,1219
260,1:0,1:0,,0.998,1227
261,1:0,1:0,,0.997,1243
262,1:0,1:0,,0.997,1245
263,2:1,2:1,,0.992,1247
264,1:0,1:0,,0.998,1260
265,2:1,2:1,,0.999,1268
266,1:0,1:0,,0.996,1269
267,1:0,1:0,,0.996,1279
268,2:1,2:1,,0.999,1283
269,2:1,2:1,,0.999,1286
270,1:0,1:0,,0.998,1287
271,1:0,1:0,,0.998,1290
272,1:0,1:0,,0.998,1311
273,1:0,1:0,,0.997,1314
274,2:1,2:1,,0.992,1316
275,1:0,1:0,,0.998,1318
276,2:1,2:1,,0.996,1319
277,2:1,2:1,,0.995,1325
278,2:1,2:1,,0.996,1334
279,1:0,1:0,,0.998,1342
280,2:1,2:1,,0.996,1346
281,1:0,1:0,,0.995,1350
282,1:0,1:0,,0.997,1351
283,2:1,2:1,,0.993,1358
284,1:0,1:0,,0.998,1360
285,2:1,2:1,,0.995,1364
286,1:0,1:0,,0.995,1375
287,1:0,1:0,,0.997,1381
288,2:1,2:1,,0.993,1385
289,2:1,2:1,,0.994,1406
290,2:1,2:1,,0.993,1412
291,2:1,2:1,,0.995,1418
292,2:1,2:1,,0.994,1433
293,2:1,2:1,,0.996,1442
294,2:1,2:1,,0.999,1448
295,2:1,2:1,,0.999,1457
296,1:0,1:0,,0.996,1458
297,2:1,2:1,,0.992,1466
298,1:0,1:0,,0.996,1468
299,1:0,1:0,,0.998,1473
300,1:0,1:0,,0.997,1476
301,1:0,1:0,,0.996,1480
302,1:0,1:0,,0.997,1486
303,1:0,1:0,,0.997,1489
304,2:1,2:1,,0.993,1490
305,1:0,1:0,,0.998,1492
306,2:1,2:1,,0.999,1502
307,1:0,1:0,,0.996,1510
308,1:0,1:0,,0.998,1531
309,1:0,1:0,,0.998,1533
310,1:0,1:0,,0.998,1543
311,1:0,1:0,,0.997,1545
312,2:1,2:1,,0.991,1547
313,1:0,1:0,,0.998,1548
314,2:1,2:1,,0.997,1550
315,1:0,1:0,,0.996,1558
316,2:1,2:1,,0.997,1559
317,1:0,1:0,,0.997,1569
