inst#,actual,predicted,error,prediction,ID
1,2:noband,2:noband,,0.596,4
2,1:band,2:noband,+,0.577,8
3,1:band,2:noband,+,0.58,12
4,2:noband,2:noband,,0.643,14
5,2:noband,2:noband,,0.657,27
6,1:band,1:band,,0.539,28
7,2:noband,2:noband,,0.574,32
8,2:noband,2:noband,,0.69,35
9,2:noband,2:noband,,0.785,40
10,2:noband,2:noband,,0.7,41
11,2:noband,2:noband,,0.763,44
12,2:noband,2:noband,,0.698,47
13,1:band,1:band,,0.527,51
14,2:noband,2:noband,,0.559,61
15,2:noband,1:band,+,0.511,62
16,1:band,2:noband,+,0.539,64
17,1:band,1:band,,0.774,65
18,1:band,1:band,,0.528,85
19,2:noband,2:noband,,0.72,95
20,2:noband,2:noband,,0.716,98
21,2:noband,2:noband,,0.795,100
22,1:band,1:band,,0.656,107
23,2:noband,2:noband,,0.783,112
24,2:noband,2:noband,,0.709,115
25,1:band,1:band,,0.539,120
26,2:noband,2:noband,,0.824,127
27,2:noband,2:noband,,0.869,128
28,2:noband,2:noband,,0.639,133
29,1:band,2:noband,+,0.517,135
30,1:band,2:noband,+,0.711,136
31,2:noband,2:noband,,0.653,138
32,2:noband,2:noband,,0.693,142
33,2:noband,2:noband,,0.804,151
34,2:noband,2:noband,,0.806,156
35,2:noband,2:noband,,0.851,159
36,1:band,2:noband,+,0.78,162
37,1:band,1:band,,0.526,164
38,1:band,2:noband,+,0.556,170
39,1:band,2:noband,+,0.521,171
40,1:band,2:noband,+,0.808,178
41,1:band,2:noband,+,0.541,179
42,2:noband,2:noband,,0.54,186
43,1:band,2:noband,+,0.631,197
44,2:noband,2:noband,,0.746,200
45,2:noband,2:noband,,0.764,206
46,2:noband,2:noband,,0.795,213
47,2:noband,2:noband,,0.833,215
48,2:noband,2:noband,,0.673,221
49,1:band,2:noband,+,0.561,224
50,2:noband,2:noband,,0.509,226
51,1:band,2:noband,+,0.532,230
52,1:band,1:band,,0.611,232
53,2:noband,2:noband,,0.829,233
54,1:band,2:noband,+,0.547,240
55,2:noband,2:noband,,0.741,242
56,2:noband,2:noband,,0.621,254
57,2:noband,2:noband,,0.711,256
58,2:noband,2:noband,,0.74,258
59,2:noband,2:noband,,0.797,260
60,2:noband,2:noband,,0.812,267
61,2:noband,2:noband,,0.581,282
62,2:noband,2:noband,,0.568,283
63,2:noband,2:noband,,0.815,285
64,2:noband,2:noband,,0.748,288
65,2:noband,2:noband,,0.847,292
66,2:noband,2:noband,,0.618,300
67,2:noband,2:noband,,0.764,314
68,2:noband,2:noband,,0.84,317
69,1:band,1:band,,0.638,326
70,2:noband,2:noband,,0.804,327
71,1:band,2:noband,+,0.528,340
72,2:noband,2:noband,,0.745,344
73,1:band,2:noband,+,0.512,351
74,1:band,1:band,,0.546,358
75,1:band,2:noband,+,0.596,360
76,2:noband,2:noband,,0.688,365
77,1:band,1:band,,0.609,374
78,1:band,1:band,,0.654,377
79,1:band,1:band,,0.665,378
80,2:noband,2:noband,,0.779,379
81,1:band,2:noband,+,0.711,386
82,2:noband,2:noband,,0.753,391
83,1:band,1:band,,0.641,398
84,2:noband,2:noband,,0.639,402
85,1:band,1:band,,0.56,411
86,2:noband,2:noband,,0.751,424
87,2:noband,2:noband,,0.843,425
88,2:noband,2:noband,,0.512,428
89,1:band,2:noband,+,0.718,431
90,2:noband,2:noband,,0.858,440
91,2:noband,2:noband,,0.682,444
92,1:band,2:noband,+,0.517,455
93,1:band,2:noband,+,0.511,465
94,1:band,1:band,,0.563,467
95,1:band,1:band,,0.618,468
96,1:band,1:band,,0.508,470
97,1:band,2:noband,+,0.65,471
98,1:band,2:noband,+,0.561,478
99,1:band,1:band,,0.565,481
100,1:band,2:noband,+,0.662,492
101,1:band,2:noband,+,0.594,493
102,1:band,2:noband,+,0.658,495
103,1:band,2:noband,+,0.597,509
104,1:band,1:band,,0.593,512
105,1:band,1:band,,0.538,523
106,1:band,1:band,,0.623,527
107,1:band,2:noband,+,0.525,530
108,1:band,1:band,,0.574,538

