inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.97,2
2,1:b,1:b,,0.62,11
3,1:b,1:b,,0.99,23
4,1:b,1:b,,0.88,29
5,1:b,1:b,,0.86,37
6,2:g,2:g,,1,38
7,2:g,2:g,,0.99,44
8,1:b,2:g,+,0.73,65
9,1:b,1:b,,0.89,67
10,2:g,2:g,,0.75,68
11,1:b,1:b,,0.64,69
12,2:g,2:g,,1,74
13,1:b,2:g,+,0.58,83
14,2:g,2:g,,1,86
15,2:g,2:g,,0.96,96
16,2:g,2:g,,0.96,97
17,2:g,2:g,,0.99,107
18,1:b,1:b,,0.92,112
19,2:g,2:g,,0.73,115
20,2:g,2:g,,0.95,117
21,1:b,2:g,+,0.76,120
22,1:b,1:b,,0.63,122
23,2:g,2:g,,0.92,125
24,2:g,2:g,,1,127
25,2:g,2:g,,0.99,129
26,2:g,2:g,,0.79,133
27,2:g,1:b,+,0.65,143
28,1:b,2:g,+,0.99,144
29,1:b,1:b,,0.89,146
30,1:b,1:b,,0.98,154
31,1:b,1:b,,0.65,164
32,2:g,2:g,,0.66,165
33,2:g,1:b,+,0.65,167
34,2:g,2:g,,0.86,183
35,1:b,1:b,,0.87,184
36,2:g,2:g,,0.93,193
37,1:b,1:b,,0.85,194
38,1:b,1:b,,0.8,198
39,2:g,2:g,,0.88,209
40,2:g,2:g,,0.93,211
41,1:b,1:b,,0.96,224
42,2:g,2:g,,0.95,225
43,2:g,2:g,,0.88,229
44,2:g,2:g,,0.99,237
45,1:b,1:b,,0.93,242
46,1:b,1:b,,0.78,244
47,2:g,2:g,,1,245
48,2:g,2:g,,1,247
49,2:g,2:g,,0.96,255
50,2:g,2:g,,0.98,256
51,2:g,2:g,,0.82,266
52,2:g,2:g,,0.91,267
53,2:g,2:g,,0.95,280
54,2:g,2:g,,0.96,281
55,2:g,2:g,,0.96,282
56,2:g,2:g,,0.6,284
57,2:g,2:g,,1,287
58,2:g,2:g,,0.68,290
59,2:g,2:g,,0.99,291
60,2:g,2:g,,0.96,296
61,2:g,2:g,,0.95,297
62,2:g,2:g,,1,302
63,2:g,2:g,,1,303
64,2:g,2:g,,0.95,317
65,2:g,2:g,,1,322
66,2:g,2:g,,0.92,323
67,2:g,2:g,,1,325
68,2:g,2:g,,0.94,326
69,2:g,2:g,,0.94,337
70,2:g,2:g,,0.87,345

