inst#,actual,predicted,error,prediction,ID
1,1:false,1:false,,0.998,0
2,1:false,1:false,,0.996,4
3,1:false,1:false,,0.999,10
4,1:false,1:false,,0.995,11
5,2:true,1:false,+,0.999,18
6,1:false,1:false,,0.998,26
7,1:false,1:false,,0.93,31
8,1:false,1:false,,0.998,36
9,1:false,1:false,,0.935,40
10,2:true,1:false,+,0.977,42
11,1:false,1:false,,1,44
12,1:false,1:false,,1,45
13,1:false,2:true,+,0.992,47
14,1:false,1:false,,0.976,55
15,1:false,1:false,,0.999,62
16,1:false,1:false,,0.999,64
17,1:false,1:false,,0.999,65
18,1:false,1:false,,0.757,70
19,1:false,1:false,,0.99,73
20,1:false,1:false,,0.99,89
21,1:false,1:false,,0.971,90
22,1:false,1:false,,0.689,104
23,1:false,1:false,,0.995,108
24,1:false,1:false,,0.995,110
25,1:false,1:false,,0.99,118

