inst#,actual,predicted,error,prediction,ID
1,1:won,1:won,,0.772,7
2,1:won,1:won,,0.9,12
3,1:won,1:won,,0.856,18
4,1:won,1:won,,0.689,49
5,1:won,1:won,,0.594,57
6,1:won,1:won,,0.874,59
7,1:won,1:won,,0.984,84
8,1:won,1:won,,0.981,85
9,1:won,1:won,,0.868,96
10,1:won,2:nowin,+,0.722,100
11,1:won,2:nowin,+,0.717,104
12,1:won,2:nowin,+,0.617,109
13,1:won,2:nowin,+,0.517,113
14,1:won,1:won,,0.837,118
15,1:won,1:won,,0.708,123
16,1:won,1:won,,0.886,128
17,1:won,1:won,,0.767,140
18,1:won,1:won,,0.833,150
19,1:won,1:won,,0.593,155
20,1:won,1:won,,0.767,157
21,1:won,1:won,,0.982,163
22,1:won,1:won,,0.918,168
23,1:won,1:won,,0.969,179
24,1:won,1:won,,0.65,195
25,1:won,1:won,,0.706,199
26,1:won,1:won,,0.832,210
27,1:won,1:won,,0.932,212
28,1:won,1:won,,0.97,219
29,1:won,1:won,,0.871,220
30,1:won,1:won,,0.977,221
31,1:won,1:won,,0.944,226
32,1:won,1:won,,0.8,227
33,1:won,1:won,,0.839,231
34,1:won,1:won,,0.964,237
35,1:won,1:won,,0.993,238
36,1:won,1:won,,0.938,243
37,1:won,2:nowin,+,0.648,247
38,1:won,2:nowin,+,0.576,252
39,1:won,1:won,,0.525,259
40,1:won,2:nowin,+,0.513,261
41,1:won,1:won,,0.637,272
42,1:won,1:won,,0.704,275
43,1:won,1:won,,0.873,276
44,1:won,1:won,,0.855,278
45,1:won,1:won,,0.62,281
46,1:won,1:won,,0.889,283
47,1:won,1:won,,0.943,288
48,1:won,1:won,,0.806,290
49,1:won,1:won,,0.593,297
50,1:won,1:won,,0.855,303
51,1:won,1:won,,0.814,304
52,1:won,1:won,,0.736,307
53,1:won,1:won,,0.736,315
54,1:won,2:nowin,+,0.652,340
55,1:won,2:nowin,+,0.628,342
56,1:won,1:won,,0.658,344
57,1:won,1:won,,0.69,347
58,1:won,1:won,,0.712,349
59,1:won,1:won,,0.679,350
60,1:won,1:won,,0.798,351
61,1:won,1:won,,0.742,353
62,1:won,1:won,,0.656,358
63,1:won,1:won,,0.513,360
64,1:won,1:won,,0.843,365
65,1:won,1:won,,0.796,367
66,1:won,2:nowin,+,0.84,381
67,1:won,2:nowin,+,0.833,383
68,1:won,1:won,,0.632,406
69,1:won,1:won,,0.813,407
70,1:won,1:won,,0.821,415
71,1:won,1:won,,0.717,422
72,1:won,1:won,,0.856,424
73,1:won,1:won,,0.706,426
74,1:won,1:won,,0.753,435
