inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.934,3
2,3:R,3:R,,0.921,5
3,3:R,3:R,,0.934,8
4,3:R,3:R,,0.931,16
5,3:R,3:R,,0.933,17
6,3:R,3:R,,0.934,19
7,1:L,1:L,,0.897,25
8,2:B,3:R,+,0.657,26
9,3:R,3:R,,0.929,36
10,3:R,3:R,,0.931,37
11,3:R,3:R,,0.928,45
12,3:R,3:R,,0.932,48
13,1:L,1:L,,0.924,50
14,3:R,3:R,,0.92,57
15,3:R,3:R,,0.932,59
16,3:R,3:R,,0.929,67
17,3:R,3:R,,0.932,74
18,3:R,3:R,,0.93,94
19,1:L,1:L,,0.9,103
20,3:R,1:L,+,0.904,111
21,3:R,3:R,,0.915,113
22,3:R,3:R,,0.928,119
23,3:R,3:R,,0.929,124
24,2:B,3:R,+,0.647,126
25,3:R,3:R,,0.934,139
26,3:R,3:R,,0.93,141
27,3:R,3:R,,0.934,149
28,1:L,1:L,,0.925,150
29,1:L,3:R,+,0.635,152
30,3:R,3:R,,0.932,154
31,3:R,3:R,,0.921,157
32,3:R,3:R,,0.929,162
33,3:R,3:R,,0.931,168
34,3:R,3:R,,0.93,172
35,3:R,3:R,,0.932,173
36,1:L,1:L,,0.924,175
37,1:L,1:L,,0.923,180
38,1:L,1:L,,0.906,185
39,1:L,3:R,+,0.45,190
40,3:R,3:R,,0.929,193
41,3:R,3:R,,0.931,194
42,1:L,1:L,,0.904,207
43,3:R,3:R,,0.925,222
44,1:L,1:L,,0.923,225
45,1:L,1:L,,0.923,226
46,1:L,1:L,,0.903,229
47,1:L,1:L,,0.906,237
48,1:L,1:L,,0.908,245
49,3:R,3:R,,0.924,253
50,1:L,1:L,,0.905,255
51,3:R,3:R,,0.93,262
52,3:R,3:R,,0.932,263
53,3:R,3:R,,0.928,266
54,1:L,1:L,,0.924,280
55,3:R,3:R,,0.929,297
56,1:L,1:L,,0.904,303
57,3:R,3:R,,0.92,309
58,1:L,1:L,,0.429,316
59,3:R,3:R,,0.93,319
60,3:R,3:R,,0.926,322
61,1:L,1:L,,0.924,327
62,1:L,1:L,,0.925,328
63,1:L,1:L,,0.923,331
64,2:B,3:R,+,0.465,338
65,1:L,1:L,,0.499,346
66,3:R,3:R,,0.928,349
67,1:L,1:L,,0.923,352
68,1:L,1:L,,0.924,353
69,1:L,1:L,,0.924,354
70,1:L,1:L,,0.922,355
71,1:L,1:L,,0.922,356
72,1:L,1:L,,0.921,361
73,1:L,1:L,,0.922,362
74,1:L,1:L,,0.92,365
75,1:L,1:L,,0.919,370
76,1:L,1:L,,0.926,375
77,1:L,1:L,,0.905,377
78,3:R,3:R,,0.921,383
79,3:R,3:R,,0.931,393
80,3:R,3:R,,0.927,396
81,1:L,3:R,+,0.587,404
82,3:R,3:R,,0.92,409
83,1:L,1:L,,0.909,411
84,3:R,3:R,,0.927,422
85,3:R,3:R,,0.929,423
86,1:L,1:L,,0.924,425
87,1:L,1:L,,0.925,426
88,1:L,1:L,,0.908,433
89,1:L,1:L,,0.923,462
90,1:L,1:L,,0.921,465
91,1:L,1:L,,0.91,467
92,1:L,1:L,,0.524,472
93,1:L,1:L,,0.924,478
94,1:L,1:L,,0.922,481
95,1:L,1:L,,0.92,490
96,1:L,1:L,,0.91,493
97,1:L,1:L,,0.925,505
98,3:R,1:L,+,0.91,507
99,3:R,3:R,,0.929,518
100,3:R,3:R,,0.931,519
101,3:R,3:R,,0.93,523
102,1:L,1:L,,0.925,525
103,1:L,1:L,,0.908,529
104,1:L,1:L,,0.924,530
105,1:L,1:L,,0.925,531
106,1:L,1:L,,0.925,532
107,1:L,1:L,,0.911,537
108,3:R,3:R,,0.441,538
109,3:R,3:R,,0.916,539
110,3:R,3:R,,0.907,547
111,1:L,1:L,,0.924,551
112,3:R,3:R,,0.91,569
113,3:R,3:R,,0.927,574
114,1:L,1:L,,0.922,586
115,1:L,1:L,,0.911,589
116,1:L,1:L,,0.92,596
117,1:L,1:L,,0.912,597
118,2:B,1:L,+,0.55,598
119,1:L,1:L,,0.923,601
120,1:L,1:L,,0.923,602
121,1:L,1:L,,0.924,603
122,1:L,1:L,,0.923,605
123,1:L,1:L,,0.921,611
124,1:L,1:L,,0.922,613
125,1:L,1:L,,0.92,615

