inst#,actual,predicted,error,prediction,ID
1,1:yes,1:yes,,0.927,6
2,1:yes,1:yes,,0.927,7
3,1:yes,1:yes,,0.927,10
4,2:no,1:yes,+,0.927,16
5,2:no,2:no,,0.901,17
6,1:yes,1:yes,,0.927,18
7,2:no,2:no,,0.901,19
8,1:yes,1:yes,,0.927,24
9,1:yes,1:yes,,0.927,31
10,2:no,1:yes,+,0.927,36
11,1:yes,1:yes,,0.927,59
12,2:no,2:no,,0.901,60
13,1:yes,2:no,+,0.901,66
14,1:yes,1:yes,,0.927,75
15,1:yes,1:yes,,0.927,79
16,1:yes,1:yes,,0.927,81
17,1:yes,1:yes,,0.927,84
18,1:yes,1:yes,,0.927,103
19,1:yes,1:yes,,0.927,104
20,1:yes,1:yes,,0.927,110
21,1:yes,1:yes,,0.927,111
22,1:yes,2:no,+,0.714,113
23,1:yes,1:yes,,0.927,116
24,1:yes,1:yes,,0.927,118
25,1:yes,1:yes,,0.927,132
26,2:no,2:no,,0.901,139
27,2:no,1:yes,+,0.927,140
28,1:yes,2:no,+,0.901,145
29,1:yes,1:yes,,0.927,147
30,1:yes,1:yes,,0.927,148
31,1:yes,1:yes,,0.927,157
32,2:no,2:no,,0.901,158
33,1:yes,1:yes,,0.927,163
34,2:no,2:no,,0.901,167
35,1:yes,1:yes,,0.927,168
36,1:yes,1:yes,,0.927,173
37,2:no,2:no,,0.901,181
38,1:yes,1:yes,,0.927,182
39,2:no,2:no,,0.901,183
40,1:yes,1:yes,,0.927,192
41,2:no,2:no,,0.901,198
42,2:no,2:no,,0.901,199
43,2:no,2:no,,0.901,209
44,1:yes,1:yes,,0.927,210
45,1:yes,1:yes,,0.927,218
46,1:yes,1:yes,,0.927,222
47,1:yes,1:yes,,0.927,223
48,1:yes,1:yes,,0.927,233
49,2:no,2:no,,0.901,234
50,1:yes,1:yes,,0.927,248
51,2:no,2:no,,0.901,249
52,2:no,2:no,,0.901,262
53,2:no,2:no,,0.901,266
54,1:yes,1:yes,,0.927,275
55,2:no,2:no,,0.901,278
56,1:yes,1:yes,,0.927,282
57,2:no,2:no,,0.901,284
58,2:no,2:no,,0.901,287
59,1:yes,1:yes,,0.927,289
60,2:no,2:no,,0.901,301
61,1:yes,1:yes,,0.927,302
62,2:no,2:no,,0.901,307
63,1:yes,1:yes,,0.927,316
64,1:yes,1:yes,,0.927,321
65,1:yes,1:yes,,0.927,323
66,1:yes,1:yes,,0.927,324
67,2:no,2:no,,0.901,326
68,2:no,1:yes,+,0.927,334
69,1:yes,1:yes,,0.927,349
70,2:no,1:yes,+,0.927,352
71,1:yes,2:no,+,0.901,356
72,1:yes,1:yes,,0.927,357
73,1:yes,1:yes,,0.927,359
74,1:yes,2:no,+,0.901,363

