inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.835,2
2,3:3,3:3,,0.846,6
3,3:3,3:3,,1,7
4,3:3,3:3,,0.849,12
5,3:3,3:3,,0.999,18
6,1:1,3:3,+,1,24
7,3:3,3:3,,1,28
8,3:3,1:1,+,1,29
9,3:3,3:3,,0.821,41
10,3:3,3:3,,0.931,51
11,3:3,3:3,,0.854,55
12,3:3,3:3,,0.847,56
13,3:3,3:3,,1,60
14,3:3,3:3,,0.965,61
15,5:5,5:5,,0.916,69
16,3:3,3:3,,0.962,73
17,3:3,3:3,,0.751,79
18,3:3,3:3,,0.985,81
19,3:3,3:3,,1,83
20,6:U,3:3,+,1,90
21,3:3,2:2,+,0.953,101
22,3:3,3:3,,0.822,108
23,3:3,1:1,+,1,118
24,3:3,3:3,,1,131
25,2:2,2:2,,0.817,132
26,2:2,2:2,,0.883,133
27,2:2,2:2,,0.915,135
28,3:3,3:3,,1,140
29,3:3,3:3,,1,145
30,2:2,3:3,+,0.705,148
31,3:3,3:3,,0.986,155
32,5:5,3:3,+,0.866,158
33,3:3,6:U,+,1,163
34,3:3,3:3,,0.984,164
35,5:5,3:3,+,0.492,172
36,3:3,3:3,,0.981,173
37,3:3,3:3,,1,176
38,5:5,5:5,,0.929,181
39,3:3,3:3,,0.999,182
40,3:3,3:3,,0.886,185
41,3:3,3:3,,1,193
42,3:3,3:3,,1,199
43,3:3,5:5,+,0.993,212
44,3:3,3:3,,1,220
45,3:3,3:3,,0.983,223
46,3:3,3:3,,1,231
47,5:5,5:5,,1,234
48,3:3,3:3,,0.986,248
49,3:3,3:3,,0.833,250
50,3:3,3:3,,1,260
51,3:3,3:3,,0.997,264
52,3:3,3:3,,0.98,266
53,3:3,3:3,,0.968,272
54,3:3,3:3,,0.733,285
55,3:3,3:3,,1,290
56,3:3,3:3,,0.999,294
57,3:3,3:3,,0.838,299
58,3:3,5:5,+,0.556,306
59,2:2,2:2,,0.816,309
60,3:3,3:3,,0.962,311
61,3:3,2:2,+,0.609,314
62,5:5,5:5,,0.714,323
63,3:3,3:3,,1,328
64,3:3,3:3,,0.866,333
65,3:3,3:3,,1,338
66,3:3,3:3,,0.999,346
67,2:2,3:3,+,0.705,352
68,3:3,3:3,,0.961,355
69,3:3,3:3,,0.945,357
70,3:3,3:3,,1,359
71,3:3,3:3,,1,365
72,3:3,3:3,,0.999,377
73,3:3,3:3,,0.999,381
74,3:3,3:3,,1,382
75,3:3,3:3,,1,388
76,3:3,3:3,,1,390
77,2:2,2:2,,1,394
78,3:3,3:3,,1,396
79,3:3,3:3,,0.867,398
