inst#,actual,predicted,error,prediction,ID
1,2:2,1:1,+,0.952,3
2,1:1,1:1,,1,5
3,3:3,2:2,+,0.689,9
4,3:3,2:2,+,0.636,10
5,3:3,2:2,+,0.759,15
6,2:2,3:3,+,0.523,24
7,3:3,2:2,+,0.76,27
8,3:3,2:2,+,0.522,28
9,2:2,1:1,+,0.985,40
10,1:1,1:1,,1,42
11,1:1,1:1,,0.936,47
12,1:1,1:1,,0.999,54
13,1:1,2:2,+,0.671,55
14,1:1,1:1,,0.952,60
15,2:2,2:2,,0.671,62
16,3:3,2:2,+,0.615,66
17,2:2,1:1,+,0.859,68
18,3:3,3:3,,0.523,74
19,2:2,2:2,,0.719,77
20,3:3,3:3,,0.951,81
21,3:3,3:3,,0.564,82
22,3:3,3:3,,0.613,92
23,3:3,3:3,,0.993,94
24,1:1,1:1,,0.855,97
25,3:3,2:2,+,0.733,101
26,3:3,2:2,+,0.507,106
27,2:2,2:2,,0.706,107
28,2:2,1:1,+,0.784,110
29,2:2,1:1,+,1,112
30,2:2,1:1,+,0.996,117
31,1:1,1:1,,1,125
32,1:1,1:1,,1,126
33,3:3,3:3,,0.998,129
34,2:2,1:1,+,0.982,131
35,1:1,1:1,,1,136
36,2:2,1:1,+,1,137
37,2:2,1:1,+,0.995,138
38,2:2,1:1,+,0.866,145
39,2:2,1:1,+,1,147
40,1:1,1:1,,1,148
41,3:3,3:3,,0.996,164
42,3:3,3:3,,0.999,165
43,3:3,3:3,,0.999,167
44,1:1,2:2,+,0.646,171
45,3:3,3:3,,0.899,181
46,2:2,2:2,,0.571,182
47,1:1,1:1,,1,193
48,3:3,2:2,+,0.547,201
49,1:1,1:1,,0.989,204
50,2:2,2:2,,0.757,215
51,3:3,1:1,+,0.813,223
52,2:2,1:1,+,1,224
53,3:3,3:3,,0.609,228
54,3:3,3:3,,0.958,232
55,2:2,1:1,+,1,235
56,1:1,1:1,,1,236
57,1:1,1:1,,1,242
58,1:1,1:1,,1,244
59,1:1,1:1,,1,248
60,1:1,1:1,,1,249
61,1:1,1:1,,1,250
62,3:3,3:3,,0.557,255
63,3:3,2:2,+,0.648,260
64,3:3,2:2,+,0.702,265
65,1:1,1:1,,1,267
66,3:3,3:3,,0.872,271
67,3:3,3:3,,0.54,280
68,2:2,3:3,+,0.54,285
69,3:3,3:3,,0.502,292
70,1:1,1:1,,1,302
71,3:3,3:3,,0.8,310
72,3:3,3:3,,0.589,312
73,1:1,1:1,,1,319
74,1:1,1:1,,1,320
75,1:1,1:1,,1,326
76,3:3,2:2,+,0.714,327
77,1:1,1:1,,1,329
78,1:1,1:1,,1,333
79,3:3,3:3,,0.998,334
80,3:3,3:3,,0.613,336
81,3:3,3:3,,0.709,338
82,3:3,3:3,,0.539,339
83,3:3,3:3,,0.966,341
84,3:3,2:2,+,0.747,345
85,3:3,3:3,,1,355
86,3:3,3:3,,0.999,359
87,3:3,3:3,,0.933,362
88,3:3,2:2,+,0.649,363
89,3:3,3:3,,0.755,364
90,3:3,3:3,,0.986,373
91,3:3,3:3,,0.999,375
92,2:2,2:2,,0.755,384
93,2:2,1:1,+,0.936,385
94,3:3,2:2,+,0.584,388
95,2:2,1:1,+,0.993,389
96,2:2,1:1,+,1,390
97,3:3,2:2,+,0.692,398
98,2:2,2:2,,0.746,401
99,1:1,1:1,,0.999,404
100,3:3,2:2,+,0.671,405
101,3:3,2:2,+,0.773,419
102,3:3,2:2,+,0.704,428
103,3:3,2:2,+,0.638,431
104,3:3,1:1,+,1,434
105,3:3,1:1,+,1,437
106,1:1,1:1,,1,441
107,3:3,3:3,,0.592,446
108,3:3,3:3,,0.665,448
109,3:3,3:3,,0.953,451
110,3:3,3:3,,0.935,454
111,3:3,3:3,,0.804,467
112,3:3,2:2,+,0.582,473
113,3:3,2:2,+,0.513,475
114,2:2,1:1,+,0.971,476
115,3:3,3:3,,0.902,477
116,3:3,2:2,+,0.611,481
117,3:3,2:2,+,0.682,484
118,1:1,1:1,,1,513
119,2:2,1:1,+,1,516
120,1:1,1:1,,1,517
121,1:1,1:1,,1,520
122,1:1,1:1,,1,523
123,1:1,1:1,,1,525
124,3:3,1:1,+,0.813,531
125,3:3,1:1,+,0.724,536
126,3:3,1:1,+,0.971,541
127,3:3,1:1,+,1,545
128,3:3,3:3,,0.917,558
129,3:3,1:1,+,0.978,566
130,2:2,3:3,+,0.574,577
131,3:3,2:2,+,0.714,587
132,3:3,2:2,+,0.668,592
133,3:3,1:1,+,0.993,603
134,3:3,1:1,+,1,609
135,3:3,1:1,+,0.99,614
136,3:3,1:1,+,0.983,615
137,3:3,2:2,+,0.676,622
138,3:3,1:1,+,0.993,624
139,3:3,2:2,+,0.776,628
140,3:3,1:1,+,0.993,638
141,3:3,1:1,+,1,645
142,1:1,1:1,,1,653
143,3:3,2:2,+,0.678,661
144,3:3,1:1,+,0.864,666
145,3:3,2:2,+,0.645,671
146,3:3,1:1,+,0.517,673
147,3:3,2:2,+,0.544,688
148,3:3,2:2,+,0.665,689
149,3:3,1:1,+,0.99,692
150,1:1,1:1,,1,696
151,3:3,1:1,+,0.578,701
152,2:2,1:1,+,0.997,704
153,3:3,1:1,+,1,706
154,2:2,1:1,+,1,708
155,1:1,1:1,,1,710
156,3:3,1:1,+,1,711
157,1:1,1:1,,1,716
158,3:3,3:3,,0.648,722
159,3:3,2:2,+,0.621,723
160,3:3,1:1,+,0.986,724
161,3:3,1:1,+,0.665,725
162,2:2,1:1,+,1,726
163,3:3,2:2,+,0.717,730
164,2:2,2:2,,0.707,735
165,3:3,2:2,+,0.692,738
166,2:2,1:1,+,0.994,739
167,3:3,2:2,+,0.625,745
168,2:2,2:2,,0.672,747
169,3:3,3:3,,0.8,757
170,3:3,2:2,+,0.72,758
171,3:3,2:2,+,0.622,760
172,3:3,2:2,+,0.698,762
173,3:3,3:3,,0.983,763
174,3:3,2:2,+,0.644,768
175,3:3,3:3,,0.585,770
176,1:1,1:1,,0.978,771
177,2:2,2:2,,0.672,774
178,3:3,2:2,+,0.721,777
179,3:3,2:2,+,0.595,793
180,3:3,2:2,+,0.647,796
181,3:3,1:1,+,0.99,799
182,1:1,1:1,,1,806
183,1:1,1:1,,1,813
184,1:1,1:1,,1,820
185,1:1,1:1,,1,822
186,1:1,1:1,,1,826
187,1:1,1:1,,1,827
188,2:2,1:1,+,0.997,832
189,3:3,2:2,+,0.714,846
190,1:1,2:2,+,0.708,848
191,2:2,2:2,,0.702,852
192,3:3,3:3,,0.764,875
193,3:3,3:3,,0.999,882
194,1:1,1:1,,1,899
195,1:1,1:1,,1,901
196,1:1,1:1,,1,904
197,1:1,1:1,,1,909
198,1:1,1:1,,1,914
199,1:1,1:1,,1,918
200,1:1,1:1,,1,919
201,1:1,1:1,,1,922
202,1:1,1:1,,1,924
203,1:1,1:1,,0.997,934
204,1:1,1:1,,0.997,935
205,1:1,1:1,,0.99,936
206,1:1,1:1,,0.993,938
207,1:1,1:1,,0.997,943
208,1:1,1:1,,0.931,946
209,1:1,2:2,+,0.697,950
210,1:1,1:1,,0.994,951
211,2:2,2:2,,0.61,963
212,1:1,1:1,,0.996,966
213,2:2,2:2,,0.65,984
214,1:1,2:2,+,0.824,987
215,2:2,2:2,,0.702,989
216,2:2,2:2,,0.791,1002
217,2:2,3:3,+,0.648,1013
218,3:3,3:3,,0.804,1019
219,1:1,3:3,+,0.979,1026
220,2:2,3:3,+,0.596,1030
221,1:1,3:3,+,0.751,1039
222,3:3,3:3,,0.983,1040
223,2:2,3:3,+,0.997,1046
224,2:2,3:3,+,0.997,1049
225,1:1,1:1,,1,1063
226,1:1,1:1,,1,1079
227,1:1,1:1,,0.995,1085
228,1:1,1:1,,1,1086
229,1:1,1:1,,0.985,1101
230,1:1,1:1,,0.985,1107
231,1:1,1:1,,0.964,1111
232,1:1,2:2,+,0.733,1112
233,2:2,1:1,+,0.782,1118
234,1:1,2:2,+,0.795,1120
235,2:2,2:2,,0.856,1121
