inst#,actual,predicted,error,prediction,ID
1,1:-,1:-,,0.999,6
2,1:-,1:-,,0.999,10
3,2:+,2:+,,0.998,18
4,1:-,1:-,,0.986,23
5,1:-,1:-,,0.986,25
6,1:-,1:-,,0.986,26
7,1:-,1:-,,0.986,31
8,1:-,1:-,,0.986,34
9,2:+,2:+,,0.998,43
10,2:+,2:+,,0.998,46
11,2:+,2:+,,0.998,47
12,2:+,2:+,,0.998,57
13,2:+,2:+,,0.998,60
14,2:+,2:+,,0.998,61
15,2:+,2:+,,0.998,64
16,2:+,2:+,,0.998,76
17,2:+,2:+,,0.998,77
18,2:+,2:+,,0.998,80
19,2:+,2:+,,0.998,83
20,2:+,2:+,,0.998,85
21,2:+,2:+,,0.998,91
22,2:+,2:+,,0.998,94
23,2:+,2:+,,0.998,109
24,2:+,2:+,,0.998,110
25,2:+,2:+,,0.998,114
26,2:+,2:+,,0.998,117
27,2:+,2:+,,0.998,120
28,2:+,2:+,,0.998,125
29,2:+,2:+,,0.998,126
30,2:+,2:+,,0.998,127
31,1:-,1:-,,0.99,140
32,2:+,2:+,,0.998,147
33,2:+,2:+,,0.998,148
34,2:+,2:+,,0.998,155
35,2:+,2:+,,0.998,165
36,2:+,2:+,,0.998,174
37,2:+,2:+,,0.998,181
38,1:-,1:-,,0.99,186
39,2:+,2:+,,0.998,196
40,2:+,2:+,,0.998,204
41,2:+,2:+,,0.998,207
42,1:-,1:-,,0.986,211
43,2:+,2:+,,0.998,219
44,2:+,2:+,,0.998,220
45,2:+,2:+,,0.998,226
46,2:+,2:+,,0.998,231
47,1:-,1:-,,0.986,243
48,1:-,1:-,,0.99,249
49,1:-,1:-,,0.986,262
50,1:-,1:-,,0.99,265
51,2:+,2:+,,0.998,273
52,1:-,1:-,,0.999,274
53,2:+,2:+,,0.998,276
54,2:+,2:+,,0.998,278
55,2:+,2:+,,0.998,279
56,2:+,2:+,,0.998,283
57,1:-,1:-,,0.986,287
58,2:+,2:+,,0.998,292
59,2:+,2:+,,0.998,293

