inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.743,0
2,1:1,2:2,+,0.532,2
3,1:1,3:3,+,0.534,6
4,1:1,3:3,+,0.803,7
5,1:1,1:1,,0.996,9
6,1:1,1:1,,0.45,25
7,1:1,1:1,,0.831,27
8,1:1,3:3,+,0.612,33
9,1:1,1:1,,0.623,42
10,1:1,1:1,,0.716,45
11,1:1,1:1,,0.802,47
12,1:1,1:1,,0.412,52
13,1:1,3:3,+,0.936,55
14,1:1,2:2,+,0.549,57
15,1:1,1:1,,0.646,60
16,1:1,1:1,,0.794,62
17,1:1,1:1,,0.705,66
18,1:1,2:2,+,0.517,71
19,1:1,1:1,,0.915,72
20,1:1,2:2,+,0.525,77
21,1:1,1:1,,0.696,79
22,1:1,3:3,+,0.413,80
23,1:1,2:2,+,0.507,82
24,1:1,3:3,+,0.452,84
25,1:1,2:2,+,0.414,85
26,1:1,3:3,+,0.526,90
27,1:1,1:1,,0.656,92
28,1:1,1:1,,0.709,94
29,1:1,3:3,+,0.49,97
30,1:1,3:3,+,0.779,102
31,1:1,3:3,+,0.605,104
32,1:1,3:3,+,0.421,105
33,1:1,1:1,,0.585,106
34,1:1,1:1,,0.583,110
35,1:1,1:1,,0.824,117
36,1:1,1:1,,0.599,118
37,1:1,1:1,,0.984,120
38,1:1,1:1,,0.716,125
39,1:1,1:1,,0.647,133
40,1:1,1:1,,0.558,137
41,1:1,1:1,,0.788,142
42,1:1,3:3,+,0.396,144
43,1:1,3:3,+,0.509,145
44,1:1,1:1,,0.618,148
45,1:1,1:1,,0.495,165
46,1:1,3:3,+,0.487,172
47,1:1,3:3,+,0.739,177
48,1:1,1:1,,0.575,181
49,1:1,1:1,,0.751,182
50,1:1,1:1,,0.901,183
51,1:1,1:1,,0.966,194
52,1:1,1:1,,0.457,204
53,1:1,1:1,,0.947,211
54,1:1,3:3,+,0.854,212
55,1:1,1:1,,0.814,213
56,1:1,3:3,+,0.717,215
57,1:1,3:3,+,0.568,223
58,1:1,2:2,+,0.379,226
59,1:1,1:1,,0.997,227
60,1:1,1:1,,0.831,228
61,1:1,1:1,,0.474,235
62,1:1,1:1,,0.378,238
63,1:1,1:1,,0.35,248
64,1:1,1:1,,0.689,249
65,1:1,1:1,,0.398,250
66,1:1,3:3,+,0.438,255
67,1:1,1:1,,0.447,256
68,1:1,1:1,,0.996,258
69,1:1,2:2,+,0.484,267
70,1:1,2:2,+,0.756,273
71,1:1,3:3,+,0.636,280
72,1:1,1:1,,0.649,281
73,1:1,1:1,,0.602,302
74,1:1,3:3,+,0.673,305
75,1:1,2:2,+,0.509,307
76,1:1,1:1,,0.588,311
77,1:1,1:1,,0.713,329
78,1:1,1:1,,0.356,334
79,1:1,1:1,,0.855,336
80,1:1,3:3,+,0.528,347
81,1:1,3:3,+,0.598,349
82,1:1,1:1,,0.529,357
83,1:1,3:3,+,0.603,359
84,1:1,1:1,,0.599,360
85,1:1,1:1,,0.797,362
86,1:1,3:3,+,0.634,372
87,1:1,2:2,+,0.459,373
88,1:1,2:2,+,0.713,386
89,1:1,2:2,+,0.509,388
90,1:1,1:1,,0.766,389
91,1:1,3:3,+,0.911,404
92,1:1,3:3,+,0.455,408
93,2:2,2:2,,0.511,424
94,2:2,1:1,+,0.578,434
95,2:2,3:3,+,0.421,436
96,2:2,2:2,,0.527,440
97,2:2,1:1,+,0.453,445
98,2:2,2:2,,0.556,446
99,2:2,3:3,+,0.371,448
100,2:2,1:1,+,0.502,449
101,2:2,1:1,+,0.346,450
102,2:2,2:2,,0.491,457
103,2:2,2:2,,0.674,460
104,2:2,1:1,+,0.455,465
105,2:2,3:3,+,0.46,475
106,2:2,3:3,+,0.689,480
107,2:2,2:2,,0.722,501
108,2:2,2:2,,0.62,504
109,2:2,2:2,,0.642,507
110,2:2,1:1,+,0.658,519
111,2:2,3:3,+,0.572,523
112,2:2,3:3,+,0.443,525
113,2:2,3:3,+,0.479,530
114,2:2,1:1,+,0.564,531
115,2:2,1:1,+,0.745,533
116,2:2,2:2,,0.545,536
117,2:2,1:1,+,0.428,539
118,2:2,1:1,+,0.571,541
119,2:2,2:2,,0.46,545
120,2:2,2:2,,0.58,553
121,2:2,3:3,+,0.622,555
122,2:2,1:1,+,0.515,557
123,2:2,2:2,,0.493,572
124,2:2,3:3,+,0.497,579
125,2:2,2:2,,0.459,593
126,2:2,2:2,,0.596,594
127,2:2,2:2,,0.444,603
128,2:2,1:1,+,0.509,609
129,2:2,2:2,,0.497,622
130,2:2,2:2,,0.744,624
131,2:2,1:1,+,0.551,636
132,2:2,3:3,+,0.844,637
133,2:2,1:1,+,0.939,638
134,3:3,2:2,+,0.64,644
135,3:3,3:3,,0.744,651
136,3:3,3:3,,0.451,666
137,3:3,3:3,,0.485,667
138,3:3,3:3,,0.507,671
139,3:3,1:1,+,0.718,673
140,3:3,2:2,+,0.566,676
141,3:3,3:3,,0.82,679
142,3:3,2:2,+,0.676,693
143,3:3,3:3,,0.493,695
144,3:3,3:3,,0.613,697
145,3:3,3:3,,0.426,708
146,3:3,3:3,,0.96,712
147,3:3,3:3,,0.835,713
148,3:3,2:2,+,0.425,716
149,3:3,3:3,,0.625,718
150,3:3,3:3,,0.546,723
151,3:3,1:1,+,0.412,730
152,3:3,3:3,,0.695,731
153,3:3,1:1,+,0.428,739
154,3:3,3:3,,0.921,746
155,3:3,1:1,+,0.61,759
156,3:3,3:3,,0.861,762
157,3:3,2:2,+,0.565,777
158,3:3,3:3,,0.644,781
159,3:3,2:2,+,0.687,783
160,3:3,3:3,,0.577,785
161,3:3,2:2,+,0.371,793
162,3:3,3:3,,0.454,796
163,3:3,3:3,,0.53,798
164,3:3,3:3,,0.956,811
165,3:3,2:2,+,0.828,813
166,3:3,1:1,+,0.592,814
167,3:3,3:3,,0.765,820
168,3:3,3:3,,0.549,823
169,3:3,3:3,,0.505,826
170,3:3,2:2,+,0.511,828
171,3:3,3:3,,0.749,839
172,3:3,3:3,,0.442,841
173,3:3,3:3,,0.521,849
174,3:3,1:1,+,0.356,857
175,3:3,3:3,,0.509,858
176,3:3,1:1,+,0.621,862
177,3:3,3:3,,0.513,864
178,3:3,3:3,,0.497,881
179,3:3,3:3,,0.574,885
180,3:3,2:2,+,0.453,887
181,3:3,3:3,,0.609,888
182,3:3,1:1,+,0.529,894
183,3:3,3:3,,0.561,900
184,3:3,1:1,+,0.55,901
185,3:3,3:3,,0.601,903
186,3:3,3:3,,0.644,905
187,3:3,3:3,,0.844,910
188,3:3,2:2,+,0.454,915
189,3:3,3:3,,0.729,932
190,3:3,3:3,,0.718,940
191,3:3,1:1,+,0.44,941
192,3:3,3:3,,0.728,945
193,3:3,3:3,,0.61,950
194,3:3,3:3,,0.688,952
195,3:3,1:1,+,0.861,953
196,3:3,2:2,+,0.506,958
197,3:3,3:3,,0.53,963
198,3:3,3:3,,0.778,968
199,3:3,2:2,+,0.661,982
200,3:3,2:2,+,0.824,985
201,3:3,3:3,,0.712,988
202,3:3,3:3,,0.693,990
203,3:3,1:1,+,0.621,993
204,3:3,1:1,+,0.378,994
205,1:1,1:1,,0.915,1001
206,1:1,3:3,+,0.533,1004
207,1:1,1:1,,0.99,1005
208,1:1,1:1,,0.622,1006
209,1:1,3:3,+,0.533,1007
210,1:1,1:1,,0.583,1009
211,1:1,1:1,,0.75,1029
212,1:1,1:1,,0.613,1033
213,1:1,2:2,+,0.647,1035
214,1:1,3:3,+,0.42,1041
215,1:1,3:3,+,0.597,1057
216,1:1,1:1,,0.738,1067
217,1:1,1:1,,0.68,1073
218,1:1,3:3,+,0.57,1078
219,1:1,2:2,+,0.438,1079
220,1:1,3:3,+,0.47,1080
221,1:1,2:2,+,0.594,1083
222,1:1,1:1,,0.551,1087
223,1:1,1:1,,0.479,1088
224,1:1,1:1,,0.948,1089
225,1:1,3:3,+,0.606,1091
226,1:1,1:1,,0.801,1094
227,1:1,1:1,,0.837,1097
228,1:1,1:1,,0.381,1101
229,1:1,2:2,+,0.719,1103
230,1:1,3:3,+,0.591,1105
231,1:1,1:1,,0.98,1106
232,1:1,1:1,,0.938,1107
233,1:1,3:3,+,0.529,1113
234,1:1,1:1,,0.499,1117
235,1:1,1:1,,0.815,1125
236,1:1,1:1,,0.812,1134
237,1:1,3:3,+,0.706,1137
238,1:1,1:1,,0.775,1145
239,1:1,1:1,,0.773,1160
240,1:1,3:3,+,0.443,1161
241,1:1,2:2,+,0.44,1164
242,1:1,3:3,+,0.476,1172
243,1:1,1:1,,0.7,1173
244,1:1,1:1,,0.838,1177
245,1:1,3:3,+,0.662,1178
246,1:1,1:1,,0.727,1179
247,1:1,1:1,,0.759,1189
248,1:1,1:1,,0.57,1190
249,1:1,1:1,,0.803,1193
250,1:1,3:3,+,0.714,1195
251,1:1,2:2,+,0.414,1198
252,1:1,3:3,+,0.655,1201
253,1:1,1:1,,0.572,1205
254,1:1,1:1,,0.622,1211
255,2:2,2:2,,0.397,1221
256,2:2,2:2,,0.475,1222
257,2:2,3:3,+,0.718,1225
258,2:2,3:3,+,0.506,1239
259,2:2,2:2,,0.416,1240
260,2:2,1:1,+,0.534,1246
261,2:2,3:3,+,0.652,1265
262,2:2,1:1,+,0.494,1274
263,2:2,2:2,,0.663,1280
264,2:2,1:1,+,0.418,1283
265,2:2,2:2,,0.666,1303
266,2:2,2:2,,0.75,1309
267,2:2,2:2,,0.483,1310
268,2:2,1:1,+,0.68,1316
269,3:3,2:2,+,0.64,1321
270,3:3,2:2,+,0.587,1325
271,3:3,3:3,,0.907,1326
272,3:3,2:2,+,0.705,1330
273,3:3,2:2,+,0.525,1333
274,3:3,2:2,+,0.58,1335
275,3:3,3:3,,0.712,1338
276,3:3,3:3,,0.405,1343
277,3:3,3:3,,0.787,1347
278,3:3,3:3,,0.708,1357
279,3:3,3:3,,0.483,1360
280,3:3,3:3,,0.75,1374
281,3:3,1:1,+,0.54,1375
282,3:3,2:2,+,0.597,1391
283,3:3,1:1,+,0.688,1392
284,3:3,3:3,,0.798,1395
285,3:3,3:3,,0.764,1399
286,3:3,2:2,+,0.454,1418
287,3:3,2:2,+,0.541,1420
288,3:3,1:1,+,0.696,1421
289,3:3,1:1,+,0.692,1423
290,3:3,1:1,+,0.592,1424
291,3:3,1:1,+,0.511,1425
292,3:3,2:2,+,0.558,1447
293,3:3,1:1,+,0.434,1451
294,3:3,3:3,,0.472,1465
295,3:3,1:1,+,0.686,1472

