inst#,actual,predicted,error,prediction,ID
1,3:R,2:B,+,1,1
2,3:R,3:R,,0.923,4
3,3:R,3:R,,0.987,13
4,3:R,3:R,,0.987,14
5,3:R,3:R,,0.923,20
6,3:R,3:R,,0.974,21
7,3:R,3:R,,0.667,27
8,3:R,3:R,,0.974,32
9,3:R,3:R,,0.974,34
10,3:R,2:B,+,0.571,40
11,3:R,3:R,,0.974,41
12,3:R,3:R,,0.987,47
13,1:L,1:L,,1,51
14,2:B,3:R,+,0.667,52
15,3:R,3:R,,0.974,58
16,3:R,3:R,,0.974,62
17,3:R,3:R,,0.974,64
18,3:R,3:R,,0.974,71
19,1:L,1:L,,0.963,80
20,3:R,3:R,,0.974,87
21,3:R,3:R,,0.974,91
22,3:R,3:R,,0.75,95
23,3:R,3:R,,1,98
24,3:R,3:R,,1,99
25,1:L,1:L,,0.963,102
26,1:L,1:L,,0.963,105
27,1:L,3:R,+,0.974,106
28,3:R,3:R,,0.974,121
29,3:R,3:R,,0.923,128
30,2:B,1:L,+,1,130
31,3:R,3:R,,0.923,134
32,3:R,3:R,,0.987,138
33,2:B,3:R,+,0.75,156
34,1:L,3:R,+,0.75,160
35,3:R,3:R,,0.75,161
36,3:R,3:R,,0.75,166
37,1:L,1:L,,0.833,178
38,3:R,3:R,,0.75,187
39,3:R,3:R,,0.75,189
40,3:R,1:L,+,0.8,191
41,1:L,1:L,,0.963,200
42,1:L,1:L,,0.963,201
43,1:L,1:L,,0.963,205
44,1:L,1:L,,0.963,206
45,3:R,3:R,,0.75,214
46,2:B,1:L,+,0.8,216
47,3:R,3:R,,0.75,217
48,1:L,1:L,,0.963,230
49,1:L,1:L,,1,240
50,1:L,1:L,,0.8,241
51,3:R,3:R,,1,243
52,1:L,2:B,+,1,251
53,2:B,1:L,+,0.833,252
54,3:R,3:R,,0.987,269
55,3:R,3:R,,0.923,270
56,3:R,3:R,,0.987,273
57,1:L,1:L,,1,276
58,3:R,3:R,,0.987,288
59,1:L,1:L,,1,295
60,1:L,1:L,,1,308
61,3:R,3:R,,0.875,313
62,1:L,1:L,,1,315
63,1:L,1:L,,1,330
64,1:L,1:L,,0.963,337
65,3:R,2:B,+,0.727,339
66,3:R,3:R,,1,343
67,1:L,1:L,,1,345
68,1:L,1:L,,1,351
69,1:L,1:L,,1,366
70,2:B,1:L,+,1,372
71,2:B,1:L,+,0.833,378
72,3:R,3:R,,0.75,379
73,1:L,1:L,,0.833,385
74,3:R,3:R,,0.987,387
75,3:R,3:R,,0.987,389
76,3:R,3:R,,0.889,391
77,3:R,3:R,,0.987,392
78,3:R,3:R,,0.987,397
79,1:L,1:L,,1,401
80,1:L,1:L,,0.833,406
81,3:R,3:R,,0.987,413
82,3:R,3:R,,0.987,418
83,1:L,1:L,,1,427
84,1:L,1:L,,1,435
85,1:L,1:L,,1,454
86,1:L,1:L,,1,455
87,1:L,1:L,,0.833,458
88,1:L,1:L,,1,459
89,1:L,1:L,,1,460
90,1:L,1:L,,1,461
91,1:L,1:L,,1,466
92,1:L,1:L,,1,471
93,3:R,3:R,,1,474
94,1:L,1:L,,1,475
95,1:L,1:L,,1,476
96,1:L,1:L,,0.778,484
97,1:L,2:B,+,0.727,489
98,1:L,1:L,,1,491
99,1:L,1:L,,1,492
100,2:B,1:L,+,1,498
101,1:L,1:L,,1,502
102,2:B,1:L,+,0.833,504
103,3:R,3:R,,0.889,508
104,1:L,1:L,,1,510
105,2:B,3:R,+,1,520
106,3:R,3:R,,0.889,521
107,1:L,1:L,,1,528
108,1:L,1:L,,1,536
109,3:R,3:R,,0.987,542
110,3:R,3:R,,0.987,544
111,2:B,3:R,+,1,546
112,1:L,1:L,,1,553
113,1:L,1:L,,1,555
114,1:L,1:L,,1,560
115,1:L,1:L,,1,561
116,1:L,1:L,,1,562
117,2:B,3:R,+,0.875,564
118,1:L,1:L,,0.8,566
119,1:L,1:L,,1,577
120,1:L,1:L,,1,581
121,1:L,1:L,,1,607
122,1:L,1:L,,0.778,609
123,1:L,1:L,,0.8,614
124,1:L,1:L,,0.8,619
125,1:L,1:L,,1,622

