inst#,actual,predicted,error,prediction,ID
1,1:cp,1:cp,,0.978,6
2,1:cp,1:cp,,0.978,10
3,1:cp,1:cp,,0.981,15
4,1:cp,1:cp,,0.975,17
5,1:cp,1:cp,,0.982,18
6,1:cp,1:cp,,0.982,19
7,1:cp,1:cp,,0.973,22
8,1:cp,1:cp,,0.977,24
9,1:cp,1:cp,,0.976,30
10,1:cp,1:cp,,0.982,31
11,1:cp,1:cp,,0.976,39
12,1:cp,1:cp,,0.975,56
13,1:cp,1:cp,,0.976,59
14,1:cp,1:cp,,0.971,60
15,1:cp,1:cp,,0.982,66
16,1:cp,1:cp,,0.973,69
17,1:cp,1:cp,,0.981,79
18,1:cp,1:cp,,0.975,81
19,1:cp,1:cp,,0.976,92
20,1:cp,1:cp,,0.982,93
21,1:cp,1:cp,,0.981,96
22,1:cp,3:pp,+,0.991,97
23,1:cp,1:cp,,0.982,104
24,1:cp,1:cp,,0.978,109
25,1:cp,1:cp,,0.974,111
26,1:cp,1:cp,,0.976,114
27,1:cp,1:cp,,0.975,119
28,1:cp,1:cp,,1,124
29,1:cp,1:cp,,0.977,126
30,1:cp,1:cp,,0.982,137
31,2:im,2:im,,0.957,143
32,2:im,4:imU,+,1,145
33,2:im,2:im,,0.967,147
34,2:im,2:im,,0.966,155
35,2:im,2:im,,1,157
36,2:im,2:im,,0.966,163
37,2:im,2:im,,0.935,168
38,2:im,2:im,,0.953,172
39,2:im,2:im,,0.965,173
40,2:im,2:im,,1,177
41,2:im,2:im,,0.967,179
42,2:im,4:imU,+,1,195
43,2:im,2:im,,0.948,198
44,2:im,2:im,,0.967,203
45,2:im,2:im,,0.968,208
46,2:im,2:im,,1,210
47,2:im,4:imU,+,1,211
48,8:imS,4:imU,+,1,221
49,4:imU,4:imU,,1,227
50,4:imU,4:imU,,1,228
51,4:imU,2:im,+,0.947,231
52,4:imU,4:imU,,1,232
53,4:imU,4:imU,,1,237
54,4:imU,2:im,+,1,238
55,4:imU,3:pp,+,0.681,246
56,4:imU,2:im,+,0.934,247
57,4:imU,4:imU,,1,253
58,4:imU,4:imU,,1,256
59,5:om,3:pp,+,1,260
60,5:om,1:cp,+,1,271
61,3:pp,3:pp,,1,286
62,3:pp,3:pp,,1,290
63,3:pp,3:pp,,1,294
64,3:pp,3:pp,,0.986,296
65,3:pp,3:pp,,1,316
66,3:pp,3:pp,,1,318
67,3:pp,3:pp,,0.985,322

