inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.923,0
2,2:g,2:g,,0.945,4
3,2:g,2:g,,0.966,8
4,2:g,2:g,,0.96,12
5,2:g,2:g,,0.913,14
6,2:g,2:g,,0.876,26
7,1:b,1:b,,1,27
8,2:g,2:g,,0.924,28
9,2:g,2:g,,0.941,32
10,1:b,2:g,+,0.566,35
11,2:g,2:g,,0.951,36
12,2:g,2:g,,0.957,40
13,1:b,1:b,,0.769,41
14,1:b,1:b,,0.972,47
15,1:b,1:b,,0.999,51
16,1:b,1:b,,0.84,61
17,2:g,2:g,,0.952,62
18,2:g,2:g,,0.929,64
19,2:g,2:g,,0.948,70
20,1:b,2:g,+,0.948,85
21,1:b,2:g,+,0.522,89
22,1:b,2:g,+,0.81,95
23,1:b,1:b,,0.624,98
24,1:b,1:b,,0.67,100
25,2:g,2:g,,0.92,103
26,2:g,2:g,,0.549,123
27,1:b,1:b,,0.978,128
28,2:g,2:g,,0.647,131
29,2:g,2:g,,0.98,135
30,1:b,1:b,,0.986,136
31,1:b,1:b,,0.945,138
32,2:g,2:g,,0.936,141
33,1:b,2:g,+,0.898,142
34,1:b,1:b,,0.67,150
35,1:b,1:b,,0.833,156
36,2:g,2:g,,0.929,159
37,1:b,1:b,,0.673,162
38,1:b,1:b,,1,170
39,2:g,2:g,,0.924,171
40,1:b,1:b,,0.825,178
41,1:b,1:b,,0.886,186
42,1:b,1:b,,0.887,192
43,1:b,1:b,,1,200
44,1:b,1:b,,0.997,204
45,1:b,1:b,,0.852,206
46,2:g,2:g,,0.967,213
47,2:g,2:g,,0.933,215
48,1:b,1:b,,0.956,216
49,1:b,1:b,,0.997,218
50,2:g,2:g,,0.9,221
51,1:b,1:b,,0.995,226
52,1:b,1:b,,1,230
53,1:b,1:b,,0.927,246
54,2:g,2:g,,0.644,260
55,2:g,2:g,,0.908,261
56,2:g,2:g,,0.909,268
57,2:g,2:g,,0.832,275
58,2:g,2:g,,0.97,279
59,2:g,2:g,,0.839,285
60,2:g,2:g,,0.911,292
61,2:g,2:g,,0.954,299
62,2:g,2:g,,0.975,300
63,2:g,2:g,,0.934,301
64,2:g,2:g,,0.917,304
65,2:g,2:g,,0.961,309
66,2:g,2:g,,0.954,312
67,2:g,2:g,,0.935,314
68,2:g,2:g,,0.892,318
69,2:g,2:g,,0.916,321
70,2:g,2:g,,0.735,343

