inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.929,0
2,1:+,1:+,,0.815,7
3,1:+,1:+,,0.815,9
4,1:+,1:+,,0.815,11
5,1:+,1:+,,0.929,15
6,1:+,1:+,,0.769,18
7,1:+,1:+,,0.929,22
8,1:+,1:+,,0.929,23
9,1:+,1:+,,0.929,28
10,1:+,1:+,,0.929,29
11,1:+,1:+,,0.815,33
12,1:+,1:+,,0.929,42
13,1:+,1:+,,0.929,43
14,1:+,2:-,+,0.886,51
15,1:+,1:+,,0.929,61
16,1:+,1:+,,0.929,66
17,1:+,1:+,,0.929,68
18,2:-,2:-,,0.886,73
19,2:-,1:+,+,0.929,75
20,2:-,2:-,,0.886,79
21,2:-,2:-,,0.886,82
22,2:-,2:-,,0.886,83
23,2:-,2:-,,0.886,84
24,2:-,2:-,,0.886,88
25,2:-,1:+,+,0.769,89
26,2:-,1:+,+,0.769,92
27,2:-,2:-,,0.886,93
28,2:-,1:+,+,0.929,104
29,2:-,1:+,+,0.929,110
30,2:-,1:+,+,0.929,114
31,1:+,1:+,,0.929,117
32,1:+,1:+,,0.929,125
33,1:+,1:+,,0.929,137
34,1:+,1:+,,0.929,140
35,1:+,1:+,,0.929,153
36,1:+,2:-,+,0.886,163
37,1:+,1:+,,0.815,167
38,1:+,1:+,,0.769,174
39,1:+,2:-,+,0.886,177
40,1:+,1:+,,0.929,178
41,1:+,1:+,,0.929,181
42,1:+,1:+,,0.929,184
43,1:+,1:+,,0.929,188
44,1:+,1:+,,0.929,196
45,1:+,1:+,,0.929,203
46,1:+,1:+,,0.929,204
47,1:+,1:+,,0.929,208
48,1:+,1:+,,0.929,209
49,1:+,2:-,+,0.886,215
50,1:+,1:+,,0.929,218
51,1:+,1:+,,0.929,221
52,1:+,1:+,,0.929,234
53,1:+,1:+,,0.769,236
54,1:+,1:+,,0.769,238
55,2:-,2:-,,0.886,259
56,2:-,2:-,,0.886,260
57,2:-,2:-,,0.886,265
58,2:-,2:-,,0.886,271
59,2:-,2:-,,0.886,275
60,2:-,2:-,,0.886,278
61,2:-,2:-,,0.886,290
62,2:-,2:-,,0.886,291
63,2:-,2:-,,0.886,292
64,2:-,2:-,,0.886,299
65,2:-,2:-,,0.886,300
66,2:-,2:-,,0.886,311
67,2:-,2:-,,0.886,314
68,2:-,2:-,,0.886,326
69,2:-,2:-,,0.886,328
70,2:-,2:-,,0.886,331
71,2:-,2:-,,0.886,332
72,2:-,2:-,,0.886,338
73,2:-,2:-,,0.886,340
74,2:-,2:-,,0.886,346
75,2:-,2:-,,0.886,349
76,2:-,2:-,,0.886,352
77,2:-,1:+,+,1,357
78,2:-,2:-,,0.886,363
79,2:-,2:-,,0.886,367
80,2:-,2:-,,0.886,369
81,2:-,2:-,,0.886,375
82,2:-,2:-,,0.886,377
83,2:-,2:-,,0.886,380
84,2:-,2:-,,0.886,382
85,2:-,2:-,,0.886,390
86,2:-,2:-,,0.886,393
87,2:-,2:-,,0.886,395
88,2:-,2:-,,0.886,398
89,2:-,2:-,,0.886,409
90,2:-,2:-,,0.886,412
91,2:-,2:-,,0.886,420
92,2:-,2:-,,0.886,424
93,2:-,2:-,,0.886,425
94,2:-,2:-,,0.886,426
95,2:-,2:-,,0.886,431
96,2:-,2:-,,0.886,432
97,2:-,2:-,,0.886,446
98,2:-,2:-,,0.886,447
99,2:-,2:-,,0.886,449
100,2:-,2:-,,0.886,453
101,2:-,2:-,,0.886,467
102,2:-,2:-,,0.886,477
103,2:-,2:-,,0.886,482
104,2:-,2:-,,0.886,487
105,1:+,1:+,,0.929,490
106,1:+,1:+,,0.929,501
107,1:+,1:+,,0.769,513
108,1:+,1:+,,0.769,515
109,1:+,1:+,,0.929,522
110,2:-,1:+,+,0.929,529
111,2:-,2:-,,0.886,533
112,2:-,2:-,,0.886,534
113,2:-,1:+,+,0.815,539
114,1:+,1:+,,0.929,548
115,1:+,1:+,,0.929,550
116,1:+,1:+,,0.929,552
117,1:+,1:+,,0.929,559
118,1:+,2:-,+,0.886,567
119,1:+,1:+,,0.929,578
120,1:+,2:-,+,0.886,581
121,1:+,1:+,,0.929,588
122,1:+,1:+,,0.929,599
123,2:-,2:-,,0.886,601
124,2:-,2:-,,0.886,603
125,2:-,2:-,,0.886,608
126,2:-,2:-,,0.886,618
127,2:-,1:+,+,1,623
128,2:-,2:-,,0.886,629
129,2:-,2:-,,0.886,631
130,2:-,2:-,,0.886,637
131,2:-,2:-,,0.886,644
132,2:-,2:-,,0.886,647
133,2:-,2:-,,0.886,650
134,2:-,2:-,,0.886,651
135,2:-,2:-,,0.886,656
136,2:-,2:-,,0.886,674
137,2:-,2:-,,0.886,675
138,2:-,2:-,,0.886,682

