inst#,actual,predicted,error,prediction,ID
1,4:good,4:good,,0.483,6
2,5:best,4:good,+,0.486,7
3,4:good,4:good,,0.54,9
4,4:good,4:good,,0.478,11
5,5:best,4:good,+,0.451,15
6,2:low,2:low,,0.413,18
7,3:average,4:good,+,0.295,22
8,4:good,4:good,,0.559,24
9,3:average,2:low,+,0.425,28
10,4:good,4:good,,0.535,29
11,5:best,4:good,+,0.623,41
12,5:best,4:good,+,0.612,42
13,5:best,4:good,+,0.65,43
14,2:low,1:none,+,0.34,51
15,4:good,4:good,,0.655,56
16,1:none,1:none,,0.71,61
17,5:best,4:good,+,0.67,73
18,4:good,5:best,+,0.445,82
19,3:average,5:best,+,0.347,83
20,5:best,5:best,,0.543,89
21,5:best,5:best,,0.528,92
22,5:best,5:best,,0.522,93
23,4:good,5:best,+,0.456,104
24,1:none,1:none,,0.618,108
25,3:average,2:low,+,0.379,110
26,4:good,5:best,+,0.509,114
27,1:none,1:none,,0.592,132
28,5:best,5:best,,0.539,135
29,5:best,5:best,,0.536,136
30,2:low,2:low,,0.462,137
31,5:best,5:best,,0.521,139
32,5:best,5:best,,0.511,140
33,1:none,2:low,+,0.47,145
34,2:low,2:low,,0.341,163
35,1:none,1:none,,0.622,165
36,5:best,4:good,+,0.333,167
37,4:good,4:good,,0.405,176
38,2:low,2:low,,0.405,177
39,4:good,4:good,,0.383,178
40,5:best,4:good,+,0.398,181
41,4:good,4:good,,0.356,182
42,5:best,4:good,+,0.367,184
43,4:good,4:good,,0.422,196
44,2:low,3:average,+,0.422,203
45,2:low,2:low,,0.346,209
46,3:average,4:good,+,0.533,213
47,3:average,4:good,+,0.617,218
48,3:average,4:good,+,0.596,220
49,5:best,4:good,+,0.555,221
50,4:good,4:good,,0.519,227
51,3:average,4:good,+,0.458,231
52,1:none,1:none,,0.472,244
53,1:none,1:none,,0.767,249
54,1:none,1:none,,0.321,254
55,1:none,4:good,+,0.533,256
56,1:none,1:none,,0.744,257
57,2:low,1:none,+,0.669,260
58,5:best,4:good,+,0.643,265
59,3:average,1:none,+,0.344,281
60,2:low,3:average,+,0.432,284
61,1:none,1:none,,0.445,291
62,4:good,3:average,+,0.354,292
63,2:low,3:average,+,0.459,296
64,1:none,1:none,,0.542,299
65,1:none,1:none,,0.515,300
66,3:average,3:average,,0.455,302
67,1:none,1:none,,0.424,314
68,5:best,3:average,+,0.506,326
69,2:low,1:none,+,0.379,327
70,2:low,1:none,+,0.348,328
71,4:good,4:good,,0.602,335
72,3:average,4:good,+,0.478,336
73,4:good,4:good,,0.484,338
74,3:average,4:good,+,0.528,340
75,1:none,1:none,,0.559,344
76,5:best,4:good,+,0.574,350
77,5:best,4:good,+,0.585,357
78,4:good,4:good,,0.544,363
79,3:average,4:good,+,0.414,369
80,3:average,4:good,+,0.442,371
81,3:average,4:good,+,0.521,377
82,4:good,3:average,+,0.502,388
83,2:low,1:none,+,0.416,395
84,4:good,4:good,,0.417,405
85,4:good,3:average,+,0.556,412
86,3:average,3:average,,0.559,416
87,3:average,3:average,,0.502,425
88,2:low,3:average,+,0.464,429
89,4:good,3:average,+,0.421,432
90,2:low,3:average,+,0.537,433
91,2:low,4:good,+,0.63,440
92,5:best,4:good,+,0.756,443
93,4:good,4:good,,0.761,462
94,1:none,4:good,+,0.394,464
95,4:good,4:good,,0.738,465
96,4:good,4:good,,0.715,473
97,4:good,4:good,,0.764,479
98,2:low,4:good,+,0.596,486
99,2:low,3:average,+,0.488,494
100,1:none,1:none,,0.538,495
101,4:good,3:average,+,0.439,497
102,4:good,4:good,,0.453,501
103,3:average,3:average,,0.531,512
104,4:good,4:good,,0.43,514
105,4:good,3:average,+,0.505,518
106,2:low,3:average,+,0.441,521
107,5:best,4:good,+,0.464,522
108,1:none,1:none,,0.654,526
109,4:good,4:good,,0.455,531
110,1:none,1:none,,0.531,535
111,1:none,1:none,,0.601,537
112,4:good,4:good,,0.428,542
113,1:none,1:none,,0.651,544
114,4:good,4:good,,0.452,545
115,3:average,3:average,,0.5,547
116,4:good,4:good,,0.498,551
117,3:average,3:average,,0.478,558
118,5:best,4:good,+,0.646,579
119,4:good,4:good,,0.573,590
120,4:good,4:good,,0.592,595
121,4:good,4:good,,0.572,607
122,3:average,4:good,+,0.475,615
123,4:good,4:good,,0.649,618
124,3:average,3:average,,0.478,632
125,2:low,3:average,+,0.527,642
126,3:average,3:average,,0.4,644
127,4:good,4:good,,0.413,648
128,3:average,3:average,,0.534,651
129,4:good,3:average,+,0.428,654
130,3:average,3:average,,0.414,660
131,1:none,1:none,,0.841,667
132,1:none,1:none,,0.876,672
133,1:none,1:none,,0.903,675
134,1:none,1:none,,0.897,676
135,1:none,1:none,,0.895,682
136,1:none,1:none,,0.874,687
137,1:none,1:none,,0.849,688
138,1:none,1:none,,0.857,689
139,1:none,1:none,,0.867,690
140,1:none,1:none,,0.899,696
141,1:none,1:none,,0.886,699
142,1:none,1:none,,0.863,704
143,1:none,1:none,,0.883,713
144,1:none,1:none,,0.899,717
145,1:none,1:none,,0.885,720
146,1:none,1:none,,0.897,723
147,4:good,4:good,,0.617,734

