inst#,actual,predicted,error,prediction,ID
1,1:cp,6:omL,+,0.63,3
2,1:cp,1:cp,,1,5
3,1:cp,1:cp,,1,7
4,1:cp,1:cp,,1,9
5,1:cp,1:cp,,1,16
6,1:cp,1:cp,,1,25
7,1:cp,1:cp,,1,33
8,1:cp,1:cp,,1,42
9,1:cp,1:cp,,1,45
10,1:cp,1:cp,,0.963,46
11,1:cp,1:cp,,1,55
12,1:cp,1:cp,,1,57
13,1:cp,1:cp,,1,63
14,1:cp,1:cp,,1,72
15,1:cp,1:cp,,1,73
16,1:cp,1:cp,,1,75
17,1:cp,1:cp,,1,76
18,1:cp,1:cp,,1,77
19,1:cp,1:cp,,1,78
20,1:cp,1:cp,,0.999,82
21,1:cp,1:cp,,0.998,84
22,1:cp,1:cp,,1,90
23,1:cp,1:cp,,1,94
24,1:cp,1:cp,,1,101
25,1:cp,1:cp,,1,108
26,1:cp,1:cp,,1,110
27,1:cp,1:cp,,1,113
28,1:cp,1:cp,,1,116
29,1:cp,1:cp,,0.999,118
30,1:cp,1:cp,,1,132
31,1:cp,1:cp,,1,139
32,1:cp,1:cp,,0.917,140
33,2:im,1:cp,+,0.996,144
34,2:im,2:im,,0.995,148
35,2:im,2:im,,0.444,153
36,2:im,2:im,,0.878,158
37,2:im,4:imU,+,0.819,165
38,2:im,2:im,,0.525,180
39,2:im,2:im,,0.84,181
40,2:im,8:imS,+,0.905,182
41,2:im,1:cp,+,0.999,183
42,2:im,2:im,,0.999,193
43,2:im,4:imU,+,0.655,194
44,2:im,2:im,,0.784,197
45,2:im,2:im,,0.998,199
46,8:imS,6:omL,+,0.646,220
47,4:imU,4:imU,,0.683,224
48,4:imU,4:imU,,0.528,229
49,4:imU,2:im,+,0.967,245
50,4:imU,4:imU,,0.85,255
51,5:om,5:om,,0.645,261
52,5:om,5:om,,0.718,265
53,5:om,5:om,,0.653,266
54,5:om,5:om,,0.566,272
55,5:om,5:om,,0.962,275
56,5:om,3:pp,+,0.585,277
57,6:omL,6:omL,,0.882,283
58,3:pp,3:pp,,1,295
59,3:pp,3:pp,,0.959,298
60,3:pp,3:pp,,0.983,299
61,3:pp,3:pp,,0.988,302
62,3:pp,3:pp,,0.991,303
63,3:pp,3:pp,,0.996,311
64,3:pp,2:im,+,0.947,314
65,3:pp,1:cp,+,1,325
66,3:pp,3:pp,,0.871,326
67,3:pp,3:pp,,0.999,328
68,3:pp,3:pp,,0.995,333

