inst#,actual,predicted,error,prediction,ID
1,1:UP,1:UP,,0.5,2
2,2:DOWN,1:UP,+,0.5,9
3,1:UP,1:UP,,0.5,10
4,1:UP,1:UP,,0.5,12
5,2:DOWN,1:UP,+,0.5,16
6,1:UP,1:UP,,0.5,21
7,1:UP,1:UP,,0.5,28
8,1:UP,2:DOWN,+,0.915,48
9,2:DOWN,1:UP,+,0.5,55
10,1:UP,1:UP,,0.5,60
11,2:DOWN,1:UP,+,0.5,66
12,2:DOWN,1:UP,+,0.5,67
13,2:DOWN,1:UP,+,0.5,74
14,2:DOWN,1:UP,+,0.5,77
15,2:DOWN,1:UP,+,0.5,78
16,2:DOWN,1:UP,+,0.5,82
17,1:UP,1:UP,,0.5,93
18,1:UP,1:UP,,0.5,97
19,1:UP,1:UP,,0.5,105
20,2:DOWN,1:UP,+,0.5,112
21,1:UP,1:UP,,0.5,117
22,1:UP,1:UP,,0.5,125
23,1:UP,1:UP,,0.5,126
24,1:UP,1:UP,,0.5,132
25,2:DOWN,1:UP,+,0.5,136
26,1:UP,1:UP,,0.5,138
27,1:UP,1:UP,,0.5,141
28,1:UP,1:UP,,0.5,143
29,1:UP,1:UP,,0.5,145
30,1:UP,1:UP,,0.5,148
31,1:UP,1:UP,,0.5,153
32,1:UP,1:UP,,0.5,155
33,1:UP,1:UP,,0.5,159
34,1:UP,1:UP,,0.5,161
35,1:UP,1:UP,,0.956,162
36,1:UP,1:UP,,0.5,163
37,1:UP,1:UP,,0.5,174
38,1:UP,1:UP,,0.5,178
39,2:DOWN,1:UP,+,0.5,179
40,2:DOWN,1:UP,+,0.5,189
41,1:UP,1:UP,,0.5,190
42,1:UP,1:UP,,0.956,191
43,2:DOWN,1:UP,+,0.5,192
44,2:DOWN,1:UP,+,0.5,193
45,2:DOWN,1:UP,+,0.5,197
46,2:DOWN,2:DOWN,,0.989,203
47,2:DOWN,1:UP,+,0.5,206
48,2:DOWN,1:UP,+,0.5,207
49,2:DOWN,1:UP,+,0.5,211
50,2:DOWN,1:UP,+,0.5,215
51,2:DOWN,1:UP,+,0.5,220
52,1:UP,1:UP,,0.5,228
53,1:UP,1:UP,,0.5,229
54,2:DOWN,1:UP,+,0.5,235
55,2:DOWN,1:UP,+,0.5,238
56,2:DOWN,1:UP,+,0.5,240
57,2:DOWN,1:UP,+,0.5,244
58,1:UP,2:DOWN,+,0.993,249
59,2:DOWN,1:UP,+,0.5,256
60,2:DOWN,1:UP,+,0.5,258
61,1:UP,2:DOWN,+,0.637,276
62,2:DOWN,1:UP,+,0.5,281
63,2:DOWN,1:UP,+,0.5,282
64,2:DOWN,1:UP,+,0.5,287
65,2:DOWN,1:UP,+,0.5,294
66,2:DOWN,1:UP,+,0.5,301
67,1:UP,1:UP,,0.956,302
68,1:UP,1:UP,,0.956,307
69,1:UP,1:UP,,0.956,320
70,1:UP,1:UP,,0.956,328
71,1:UP,1:UP,,0.956,331
72,2:DOWN,1:UP,+,0.5,336
73,2:DOWN,1:UP,+,0.5,338
74,2:DOWN,1:UP,+,0.5,340
75,1:UP,1:UP,,0.956,350
76,1:UP,1:UP,,0.956,352
77,1:UP,1:UP,,0.956,358
78,1:UP,1:UP,,0.956,363
79,1:UP,1:UP,,0.956,364
80,1:UP,1:UP,,0.956,365
81,1:UP,1:UP,,0.956,368
82,1:UP,1:UP,,0.956,370
83,1:UP,1:UP,,0.956,372
84,1:UP,1:UP,,0.956,375
85,2:DOWN,1:UP,+,0.956,384
86,2:DOWN,1:UP,+,0.5,389
87,2:DOWN,1:UP,+,0.5,390
88,1:UP,1:UP,,0.956,400
89,1:UP,1:UP,,0.956,402
90,2:DOWN,1:UP,+,0.956,404
91,2:DOWN,1:UP,+,0.5,406
92,2:DOWN,1:UP,+,0.5,412
93,1:UP,1:UP,,0.956,417
94,1:UP,1:UP,,0.956,446
95,2:DOWN,1:UP,+,0.956,453
96,2:DOWN,1:UP,+,0.956,463
97,1:UP,1:UP,,0.956,481
98,2:DOWN,1:UP,+,0.5,486
99,2:DOWN,1:UP,+,0.5,488
100,2:DOWN,1:UP,+,0.5,489
101,2:DOWN,1:UP,+,0.5,490
102,1:UP,1:UP,,0.956,492
103,2:DOWN,1:UP,+,0.5,495
104,1:UP,1:UP,,0.956,504
105,1:UP,1:UP,,0.956,507
106,2:DOWN,1:UP,+,0.5,515
107,2:DOWN,1:UP,+,0.5,519
108,1:UP,1:UP,,0.956,524
109,2:DOWN,1:UP,+,0.5,525
110,1:UP,1:UP,,0.956,526
111,2:DOWN,1:UP,+,0.5,534
112,2:DOWN,1:UP,+,0.5,541
113,2:DOWN,1:UP,+,0.956,545
114,2:DOWN,1:UP,+,0.5,555
115,2:DOWN,1:UP,+,0.5,557
116,2:DOWN,1:UP,+,0.5,560
117,2:DOWN,1:UP,+,0.5,569
118,2:DOWN,1:UP,+,0.5,570
119,2:DOWN,2:DOWN,,0.977,587
120,2:DOWN,2:DOWN,,0.96,589
121,1:UP,1:UP,,0.5,595
122,1:UP,1:UP,,0.5,597
123,2:DOWN,1:UP,+,0.5,614
124,2:DOWN,1:UP,+,0.5,615
125,2:DOWN,2:DOWN,,0.728,619
126,2:DOWN,1:UP,+,0.5,627
127,1:UP,1:UP,,0.956,645
128,1:UP,1:UP,,0.5,652
129,1:UP,1:UP,,0.956,654
130,1:UP,1:UP,,0.956,661
131,2:DOWN,1:UP,+,0.5,663
132,1:UP,1:UP,,0.5,665
133,1:UP,1:UP,,0.5,667
134,1:UP,1:UP,,0.956,669
135,1:UP,1:UP,,0.956,670
136,1:UP,1:UP,,0.956,671
137,2:DOWN,1:UP,+,0.5,678
138,2:DOWN,1:UP,+,0.5,680
139,1:UP,1:UP,,0.956,691
140,1:UP,1:UP,,0.956,692
141,1:UP,1:UP,,0.956,698
142,1:UP,1:UP,,0.956,699
143,1:UP,1:UP,,0.956,706
144,1:UP,1:UP,,0.956,717
145,1:UP,1:UP,,0.956,719
146,2:DOWN,1:UP,+,0.5,726
147,2:DOWN,1:UP,+,0.5,727
148,2:DOWN,1:UP,+,0.5,728
149,2:DOWN,1:UP,+,0.5,731
150,1:UP,1:UP,,0.956,737
151,1:UP,1:UP,,0.956,739
152,1:UP,1:UP,,0.956,755
153,1:UP,1:UP,,0.956,760
154,1:UP,1:UP,,0.956,767
155,1:UP,1:UP,,0.956,769
156,2:DOWN,1:UP,+,0.5,778
157,1:UP,1:UP,,0.956,781
158,1:UP,1:UP,,0.956,784
159,1:UP,1:UP,,0.956,785
160,1:UP,1:UP,,0.956,786
161,2:DOWN,1:UP,+,0.5,787
162,2:DOWN,1:UP,+,0.5,788
163,2:DOWN,1:UP,+,0.5,798
164,2:DOWN,1:UP,+,0.5,801
165,2:DOWN,1:UP,+,0.5,806
166,2:DOWN,1:UP,+,0.5,808
167,2:DOWN,1:UP,+,0.5,814
168,2:DOWN,1:UP,+,0.5,818
169,2:DOWN,1:UP,+,0.5,822
170,1:UP,1:UP,,0.956,834
171,1:UP,1:UP,,0.5,835
172,2:DOWN,1:UP,+,0.5,845
173,2:DOWN,1:UP,+,0.5,846
174,1:UP,1:UP,,0.956,851
175,2:DOWN,1:UP,+,0.5,854
176,2:DOWN,1:UP,+,0.5,858
177,1:UP,1:UP,,0.956,859
178,1:UP,1:UP,,0.956,860
179,1:UP,1:UP,,0.956,864
