inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.994,0
2,2:g,2:g,,0.975,4
3,2:g,2:g,,0.997,8
4,2:g,2:g,,0.998,12
5,2:g,2:g,,0.987,14
6,2:g,2:g,,0.982,26
7,1:b,1:b,,1,27
8,2:g,2:g,,0.982,28
9,2:g,2:g,,0.994,32
10,1:b,2:g,+,0.987,35
11,2:g,2:g,,0.997,36
12,2:g,2:g,,0.974,40
13,1:b,1:b,,1,41
14,1:b,1:b,,1,47
15,1:b,1:b,,1,51
16,1:b,1:b,,0.998,61
17,2:g,2:g,,0.972,62
18,2:g,2:g,,0.995,64
19,2:g,2:g,,0.988,70
20,1:b,2:g,+,0.995,85
21,1:b,1:b,,0.795,89
22,1:b,2:g,+,0.965,95
23,1:b,2:g,+,0.596,98
24,1:b,2:g,+,0.934,100
25,2:g,2:g,,0.997,103
26,2:g,2:g,,0.612,123
27,1:b,1:b,,1,128
28,2:g,2:g,,0.837,131
29,2:g,2:g,,0.982,135
30,1:b,1:b,,0.971,136
31,1:b,1:b,,0.967,138
32,2:g,2:g,,0.995,141
33,1:b,2:g,+,0.972,142
34,1:b,1:b,,0.723,150
35,1:b,1:b,,0.851,156
36,2:g,2:g,,1,159
37,1:b,1:b,,0.794,162
38,1:b,1:b,,1,170
39,2:g,2:g,,0.993,171
40,1:b,1:b,,0.945,178
41,1:b,1:b,,1,186
42,1:b,1:b,,0.958,192
43,1:b,1:b,,1,200
44,1:b,1:b,,0.814,204
45,1:b,1:b,,0.933,206
46,2:g,2:g,,0.999,213
47,2:g,2:g,,0.999,215
48,1:b,2:g,+,0.999,216
49,1:b,1:b,,0.999,218
50,2:g,2:g,,0.938,221
51,1:b,1:b,,0.848,226
52,1:b,1:b,,1,230
53,1:b,1:b,,0.845,246
54,2:g,2:g,,0.888,260
55,2:g,2:g,,0.869,261
56,2:g,2:g,,0.989,268
57,2:g,2:g,,0.947,275
58,2:g,2:g,,0.971,279
59,2:g,2:g,,0.996,285
60,2:g,2:g,,0.997,292
61,2:g,2:g,,0.974,299
62,2:g,2:g,,0.992,300
63,2:g,2:g,,0.981,301
64,2:g,2:g,,0.995,304
65,2:g,2:g,,0.989,309
66,2:g,2:g,,0.998,312
67,2:g,2:g,,0.966,314
68,2:g,2:g,,0.985,318
69,2:g,2:g,,0.993,321
70,2:g,2:g,,0.902,343

