inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,1,2
2,1:0,1:0,,1,3
3,1:0,1:0,,1,5
4,1:0,1:0,,1,6
5,1:0,2:1,+,0.838,10
6,1:0,1:0,,1,12
7,3:2,3:2,,0.999,27
8,1:0,1:0,,1,30
9,1:0,1:0,,1,39
10,1:0,2:1,+,0.955,59
11,1:0,3:2,+,0.621,66
12,2:1,2:1,,0.964,67
13,1:0,1:0,,1,83
14,1:0,1:0,,1,88
15,1:0,3:2,+,0.998,96
16,1:0,1:0,,1,100
17,1:0,1:0,,1,111
18,1:0,1:0,,1,124
19,1:0,1:0,,0.995,129
20,1:0,1:0,,1,135
21,1:0,1:0,,1,136
22,1:0,1:0,,1,138
23,1:0,1:0,,1,139
24,1:0,3:2,+,0.576,140
25,1:0,1:0,,1,141
26,1:0,3:2,+,0.999,147
27,1:0,1:0,,1,156
28,1:0,3:2,+,0.792,158
29,1:0,1:0,,1,170
30,1:0,1:0,,1,171
31,1:0,1:0,,1,178
32,1:0,1:0,,1,199
33,1:0,3:2,+,0.787,209
34,1:0,1:0,,1,211
35,2:1,3:2,+,0.993,215
36,3:2,3:2,,1,224
37,1:0,3:2,+,0.743,227
38,1:0,1:0,,1,242
39,1:0,1:0,,1,260
40,1:0,1:0,,1,266
41,1:0,1:0,,1,273
42,3:2,3:2,,0.973,274
43,1:0,1:0,,1,282
44,3:2,3:2,,0.986,285
45,1:0,1:0,,1,287
46,1:0,1:0,,1,290
47,1:0,1:0,,1,292
48,1:0,1:0,,1,294
49,2:1,3:2,+,1,299
50,1:0,1:0,,1,308
51,1:0,1:0,,1,310
52,1:0,1:0,,1,311
53,1:0,1:0,,1,314
54,1:0,3:2,+,0.988,318
55,1:0,1:0,,0.994,319
56,1:0,1:0,,1,321
57,3:2,3:2,,1,322
58,1:0,1:0,,1,323
59,1:0,1:0,,1,325
60,1:0,1:0,,1,327
61,1:0,1:0,,1,328
62,1:0,1:0,,1,331
63,1:0,1:0,,1,332
64,1:0,1:0,,1,333
65,1:0,2:1,+,1,348
66,3:2,1:0,+,0.986,350
67,1:0,3:2,+,0.985,354
68,1:0,1:0,,0.999,355
69,1:0,1:0,,1,362
70,1:0,1:0,,1,365
71,3:2,3:2,,0.999,370
72,1:0,1:0,,1,376
73,1:0,1:0,,1,380
74,1:0,1:0,,1,381
75,1:0,1:0,,1,382
76,2:1,2:1,,1,390
77,1:0,1:0,,1,398
78,1:0,1:0,,1,405
79,1:0,1:0,,1,409
