inst#,actual,predicted,error,prediction,ID
1,2:no,1:yes,+,0.998,0
2,1:yes,1:yes,,1,3
3,2:no,1:yes,+,1,5
4,2:no,1:yes,+,0.963,9
5,1:yes,1:yes,,1,15
6,1:yes,2:no,+,0.627,22
7,2:no,2:no,,0.941,25
8,1:yes,1:yes,,1,30
9,1:yes,1:yes,,0.549,33
10,1:yes,1:yes,,1,39
11,2:no,2:no,,0.988,42
12,1:yes,1:yes,,1,45
13,1:yes,1:yes,,1,46
14,1:yes,1:yes,,1,55
15,1:yes,1:yes,,1,56
16,1:yes,1:yes,,0.999,57
17,2:no,1:yes,+,1,63
18,1:yes,1:yes,,1,72
19,1:yes,1:yes,,0.962,73
20,1:yes,1:yes,,0.534,76
21,2:no,2:no,,1,77
22,1:yes,1:yes,,0.998,78
23,1:yes,1:yes,,0.997,82
24,1:yes,2:no,+,0.993,90
25,1:yes,1:yes,,0.943,93
26,2:no,2:no,,0.99,94
27,1:yes,1:yes,,0.999,101
28,1:yes,1:yes,,0.999,108
29,1:yes,1:yes,,0.994,109
30,1:yes,1:yes,,0.998,114
31,2:no,2:no,,0.998,119
32,1:yes,2:no,+,0.998,124
33,1:yes,2:no,+,0.555,126
34,1:yes,2:no,+,0.854,137
35,1:yes,1:yes,,1,152
36,2:no,2:no,,0.998,153
37,2:no,2:no,,0.947,155
38,2:no,1:yes,+,0.997,165
39,1:yes,1:yes,,0.995,175
40,1:yes,1:yes,,0.999,177
41,1:yes,1:yes,,1,193
42,2:no,2:no,,0.9,196
43,1:yes,1:yes,,0.581,202
44,2:no,2:no,,0.989,203
45,1:yes,1:yes,,1,208
46,1:yes,1:yes,,0.997,219
47,2:no,2:no,,0.998,225
48,1:yes,2:no,+,0.973,227
49,1:yes,2:no,+,0.702,229
50,2:no,1:yes,+,1,231
51,1:yes,1:yes,,0.987,232
52,2:no,2:no,,0.99,237
53,1:yes,1:yes,,0.995,238
54,1:yes,1:yes,,1,244
55,1:yes,1:yes,,0.935,246
56,1:yes,1:yes,,1,250
57,1:yes,1:yes,,1,255
58,2:no,2:no,,0.993,258
59,1:yes,1:yes,,0.99,271
60,1:yes,2:no,+,0.724,285
61,1:yes,1:yes,,0.998,291
62,1:yes,1:yes,,0.879,296
63,2:no,2:no,,0.813,300
64,2:no,2:no,,0.97,304
65,1:yes,2:no,+,0.81,309
66,2:no,1:yes,+,1,312
67,2:no,2:no,,0.998,325
68,2:no,1:yes,+,1,332
69,2:no,2:no,,0.939,340
70,2:no,2:no,,0.84,341
71,1:yes,1:yes,,0.998,345
72,1:yes,1:yes,,0.987,347
73,1:yes,1:yes,,0.985,355
74,2:no,2:no,,0.999,364

