inst#,actual,predicted,error,prediction,ID
1,1:1,2:2,+,0.46,4
2,1:1,1:1,,0.598,11
3,1:1,1:1,,0.704,16
4,1:1,3:3,+,0.474,17
5,1:1,1:1,,0.65,18
6,1:1,1:1,,0.573,19
7,1:1,1:1,,0.91,22
8,1:1,1:1,,0.64,24
9,1:1,1:1,,0.93,28
10,1:1,1:1,,0.946,35
11,1:1,1:1,,0.869,36
12,1:1,1:1,,0.474,38
13,1:1,1:1,,0.948,41
14,1:1,3:3,+,0.466,46
15,1:1,1:1,,0.97,50
16,1:1,1:1,,0.67,61
17,1:1,3:3,+,0.933,68
18,1:1,3:3,+,0.38,69
19,1:1,1:1,,0.581,73
20,1:1,1:1,,0.89,74
21,1:1,3:3,+,0.575,75
22,1:1,1:1,,0.67,89
23,1:1,1:1,,0.721,93
24,1:1,1:1,,0.693,108
25,1:1,1:1,,0.98,114
26,1:1,2:2,+,0.74,116
27,1:1,3:3,+,0.73,119
28,1:1,1:1,,0.716,127
29,1:1,1:1,,0.93,131
30,1:1,1:1,,0.924,132
31,1:1,3:3,+,0.845,149
32,1:1,2:2,+,0.755,153
33,1:1,1:1,,0.943,154
34,1:1,3:3,+,0.691,157
35,1:1,1:1,,0.859,159
36,1:1,1:1,,0.98,162
37,1:1,3:3,+,0.65,164
38,1:1,1:1,,0.902,167
39,1:1,1:1,,0.9,169
40,1:1,1:1,,0.48,173
41,1:1,1:1,,0.97,176
42,1:1,3:3,+,0.81,180
43,1:1,1:1,,0.709,185
44,1:1,3:3,+,0.497,190
45,1:1,3:3,+,0.701,191
46,1:1,3:3,+,0.73,193
47,1:1,1:1,,0.918,195
48,1:1,1:1,,0.957,214
49,1:1,1:1,,0.592,217
50,1:1,1:1,,0.767,222
51,1:1,1:1,,0.96,232
52,1:1,1:1,,0.839,234
53,1:1,3:3,+,0.74,245
54,1:1,3:3,+,0.58,251
55,1:1,1:1,,0.829,257
56,1:1,1:1,,0.82,263
57,1:1,3:3,+,0.572,264
58,1:1,3:3,+,0.507,268
59,1:1,3:3,+,0.515,272
60,1:1,1:1,,0.475,278
61,1:1,1:1,,0.471,284
62,1:1,3:3,+,0.446,300
63,1:1,1:1,,0.836,301
64,1:1,3:3,+,0.602,304
65,1:1,1:1,,0.527,313
66,1:1,1:1,,0.42,320
67,1:1,1:1,,0.945,326
68,1:1,3:3,+,0.497,335
69,1:1,1:1,,1,338
70,1:1,3:3,+,0.845,340
71,1:1,1:1,,0.627,341
72,1:1,1:1,,0.612,356
73,1:1,1:1,,0.904,364
74,1:1,1:1,,0.738,366
75,1:1,3:3,+,0.847,368
76,1:1,3:3,+,0.54,369
77,1:1,3:3,+,0.514,375
78,1:1,1:1,,0.507,383
79,1:1,1:1,,0.917,393
80,1:1,1:1,,0.59,395
81,1:1,1:1,,0.88,396
82,1:1,1:1,,0.916,399
83,1:1,1:1,,0.667,407
84,1:1,1:1,,0.593,412
85,1:1,1:1,,0.99,414
86,2:2,3:3,+,0.89,417
87,2:2,2:2,,0.574,419
88,2:2,1:1,+,0.745,421
89,2:2,3:3,+,0.605,431
90,2:2,2:2,,0.532,443
91,2:2,1:1,+,0.54,444
92,2:2,3:3,+,0.598,454
93,2:2,2:2,,0.628,456
94,2:2,1:1,+,0.678,468
95,2:2,3:3,+,0.826,470
96,2:2,2:2,,0.5,473
97,2:2,1:1,+,0.665,476
98,2:2,2:2,,0.543,483
99,2:2,2:2,,0.491,487
100,2:2,3:3,+,0.952,489
101,2:2,2:2,,0.778,491
102,2:2,1:1,+,0.63,495
103,2:2,3:3,+,0.938,496
104,2:2,3:3,+,0.667,498
105,2:2,3:3,+,0.622,499
106,2:2,1:1,+,0.497,500
107,2:2,3:3,+,0.748,505
108,2:2,1:1,+,0.598,511
109,2:2,3:3,+,0.896,512
110,2:2,3:3,+,0.473,515
111,2:2,2:2,,0.85,516
112,2:2,3:3,+,0.394,517
113,2:2,3:3,+,0.44,518
114,2:2,2:2,,0.595,521
115,2:2,2:2,,0.638,537
116,2:2,1:1,+,0.527,546
117,2:2,3:3,+,0.545,547
118,2:2,3:3,+,0.527,559
119,2:2,1:1,+,0.862,568
120,2:2,2:2,,0.671,569
121,2:2,2:2,,1,574
122,2:2,3:3,+,0.5,580
123,2:2,2:2,,0.526,587
124,2:2,3:3,+,0.925,595
125,2:2,1:1,+,0.676,604
126,2:2,3:3,+,0.601,606
127,2:2,3:3,+,0.519,611
128,2:2,2:2,,0.663,616
129,2:2,2:2,,0.74,625
130,2:2,2:2,,0.609,633
131,2:2,2:2,,0.6,635
132,3:3,3:3,,0.507,652
133,3:3,2:2,+,0.77,653
134,3:3,2:2,+,0.61,655
135,3:3,3:3,,0.457,656
136,3:3,1:1,+,0.42,657
137,3:3,3:3,,0.527,662
138,3:3,2:2,+,0.559,675
139,3:3,1:1,+,0.61,684
140,3:3,3:3,,0.471,685
141,3:3,2:2,+,0.763,688
142,3:3,1:1,+,0.762,689
143,3:3,3:3,,0.57,690
144,3:3,1:1,+,0.59,692
145,3:3,3:3,,0.515,694
146,3:3,2:2,+,0.62,696
147,3:3,1:1,+,0.518,703
148,3:3,3:3,,0.7,717
149,3:3,3:3,,0.708,726
150,3:3,3:3,,0.677,728
151,3:3,3:3,,0.773,732
152,3:3,3:3,,0.401,734
153,3:3,1:1,+,0.854,735
154,3:3,2:2,+,0.532,738
155,3:3,3:3,,0.906,740
156,3:3,1:1,+,0.601,750
157,3:3,2:2,+,0.48,753
158,3:3,1:1,+,0.98,758
159,3:3,3:3,,0.533,760
160,3:3,2:2,+,0.447,761
161,3:3,2:2,+,0.478,768
162,3:3,3:3,,0.898,773
163,3:3,1:1,+,0.67,784
164,3:3,3:3,,0.539,786
165,3:3,3:3,,0.54,789
166,3:3,2:2,+,0.68,790
167,3:3,1:1,+,0.458,801
168,3:3,1:1,+,0.576,803
169,3:3,1:1,+,0.393,822
170,3:3,3:3,,0.83,825
171,3:3,3:3,,0.97,827
172,3:3,3:3,,0.84,830
173,3:3,3:3,,0.519,832
174,3:3,3:3,,0.722,833
175,3:3,3:3,,0.68,837
176,3:3,3:3,,0.51,842
177,3:3,1:1,+,0.517,848
178,3:3,1:1,+,0.701,850
179,3:3,2:2,+,0.83,851
180,3:3,2:2,+,0.394,853
181,3:3,3:3,,0.661,866
182,3:3,3:3,,0.58,868
183,3:3,3:3,,0.97,872
184,3:3,3:3,,0.68,875
185,3:3,1:1,+,0.727,876
186,3:3,3:3,,0.88,879
187,3:3,2:2,+,0.422,884
188,3:3,3:3,,0.682,890
189,3:3,3:3,,0.466,895
190,3:3,1:1,+,0.72,902
191,3:3,3:3,,0.493,911
192,3:3,3:3,,0.705,912
193,3:3,2:2,+,0.648,914
194,3:3,3:3,,0.785,919
195,3:3,2:2,+,0.546,920
196,3:3,1:1,+,0.823,927
197,3:3,2:2,+,0.375,933
198,3:3,2:2,+,0.79,934
199,3:3,3:3,,0.515,935
200,3:3,1:1,+,0.471,947
201,3:3,3:3,,0.97,961
202,3:3,3:3,,0.425,969
203,3:3,2:2,+,0.59,970
204,3:3,2:2,+,0.805,971
205,3:3,3:3,,0.593,976
206,3:3,2:2,+,0.673,977
207,3:3,1:1,+,0.656,980
208,3:3,1:1,+,0.527,986
209,3:3,2:2,+,0.83,991
210,3:3,3:3,,0.566,992
211,3:3,3:3,,0.72,996
212,1:1,3:3,+,0.489,1000
213,1:1,1:1,,0.89,1002
214,1:1,1:1,,0.95,1003
215,1:1,1:1,,0.883,1008
216,1:1,3:3,+,0.95,1011
217,1:1,1:1,,0.86,1015
218,1:1,1:1,,0.637,1026
219,1:1,3:3,+,0.48,1036
220,1:1,1:1,,0.932,1039
221,1:1,3:3,+,0.92,1062
222,1:1,1:1,,0.924,1066
223,1:1,3:3,+,0.69,1069
224,1:1,1:1,,0.914,1070
225,1:1,3:3,+,0.571,1072
226,1:1,1:1,,0.55,1077
227,1:1,1:1,,0.75,1081
228,1:1,1:1,,0.953,1084
229,1:1,1:1,,0.98,1090
230,1:1,3:3,+,0.739,1093
231,1:1,2:2,+,0.6,1100
232,1:1,2:2,+,0.49,1115
233,1:1,2:2,+,0.447,1124
234,1:1,1:1,,0.935,1127
235,1:1,1:1,,0.823,1138
236,1:1,1:1,,0.772,1139
237,1:1,2:2,+,0.69,1150
238,1:1,3:3,+,0.669,1151
239,1:1,1:1,,0.721,1159
240,1:1,3:3,+,0.537,1168
241,1:1,1:1,,0.7,1182
242,1:1,1:1,,0.97,1191
243,1:1,1:1,,0.668,1204
244,1:1,1:1,,0.932,1208
245,2:2,3:3,+,0.475,1214
246,2:2,2:2,,0.95,1228
247,2:2,3:3,+,0.461,1229
248,2:2,2:2,,0.51,1232
249,2:2,3:3,+,0.537,1235
250,2:2,3:3,+,0.73,1237
251,2:2,3:3,+,0.608,1243
252,2:2,2:2,,0.56,1252
253,2:2,3:3,+,0.646,1268
254,2:2,3:3,+,0.598,1273
255,2:2,2:2,,0.769,1276
256,2:2,3:3,+,0.773,1278
257,2:2,2:2,,0.504,1279
258,2:2,2:2,,0.643,1281
259,2:2,1:1,+,0.583,1287
260,2:2,1:1,+,0.631,1290
261,2:2,3:3,+,0.668,1291
262,2:2,1:1,+,0.772,1292
263,2:2,3:3,+,0.55,1295
264,2:2,1:1,+,0.507,1308
265,2:2,1:1,+,0.688,1311
266,2:2,2:2,,0.55,1313
267,2:2,1:1,+,0.709,1315
268,3:3,3:3,,0.571,1320
269,3:3,3:3,,0.93,1327
270,3:3,3:3,,0.818,1336
271,3:3,1:1,+,0.57,1342
272,3:3,1:1,+,0.589,1345
273,3:3,3:3,,0.69,1356
274,3:3,3:3,,0.703,1368
275,3:3,3:3,,0.774,1370
276,3:3,1:1,+,0.58,1378
277,3:3,1:1,+,0.61,1379
278,3:3,3:3,,0.482,1382
279,3:3,3:3,,0.667,1383
280,3:3,3:3,,0.421,1402
281,3:3,3:3,,0.419,1403
282,3:3,3:3,,0.603,1407
283,3:3,3:3,,0.651,1408
284,3:3,1:1,+,0.578,1410
285,3:3,1:1,+,0.598,1415
286,3:3,3:3,,0.703,1430
287,3:3,1:1,+,0.48,1432
288,3:3,3:3,,0.588,1438
289,3:3,3:3,,0.43,1439
290,3:3,1:1,+,0.829,1443
291,3:3,3:3,,0.779,1445
292,3:3,3:3,,0.84,1448
293,3:3,3:3,,0.814,1453
294,3:3,1:1,+,0.445,1470

