inst#,actual,predicted,error,prediction,ID
1,1:0,1:0,,0.557,1
2,2:1,1:0,+,0.688,8
3,1:0,1:0,,0.938,13
4,2:1,1:0,+,0.659,14
5,2:1,1:0,+,0.673,20
6,1:0,1:0,,0.569,21
7,2:1,1:0,+,0.831,26
8,1:0,1:0,,0.558,34
9,1:0,2:1,+,0.524,37
10,1:0,1:0,,0.522,40
11,2:1,1:0,+,0.754,53
12,1:0,1:0,,0.522,64
13,1:0,1:0,,0.557,87
14,1:0,1:0,,0.529,91
15,2:1,1:0,+,0.745,95
16,2:1,1:0,+,0.773,98
17,1:0,1:0,,0.507,103
18,1:0,2:1,+,0.504,112
19,1:0,1:0,,0.923,121
20,2:1,1:0,+,0.655,122
21,1:0,1:0,,0.5,130
22,2:1,1:0,+,0.86,134
23,2:1,1:0,+,0.756,143
24,2:1,1:0,+,0.826,146
25,1:0,1:0,,0.966,150
26,1:0,1:0,,0.94,151
27,2:1,2:1,,0.696,152
28,1:0,1:0,,0.969,160
29,2:1,1:0,+,0.826,161
30,1:0,1:0,,0.532,166
31,1:0,1:0,,0.954,186
32,1:0,1:0,,0.932,187
33,1:0,1:0,,0.537,189
34,2:1,1:0,+,0.71,197
35,2:1,1:0,+,0.837,200
36,1:0,1:0,,0.568,201
37,1:0,2:1,+,0.598,202
38,1:0,1:0,,0.957,205
39,2:1,1:0,+,0.767,206
40,1:0,1:0,,0.504,207
41,1:0,2:1,+,0.51,216
42,1:0,1:0,,0.514,219
43,1:0,1:0,,0.892,225
44,1:0,1:0,,0.97,229
45,2:1,2:1,,0.844,230
46,1:0,2:1,+,0.604,241
47,1:0,1:0,,0.554,246
48,1:0,1:0,,0.897,252
49,1:0,1:0,,0.868,253
50,1:0,1:0,,0.867,262
51,2:1,1:0,+,0.619,269
52,1:0,1:0,,0.533,276
53,1:0,1:0,,0.879,279
54,1:0,2:1,+,0.68,283
55,1:0,1:0,,0.876,288
56,2:1,1:0,+,0.679,293
57,1:0,2:1,+,0.609,295
58,1:0,1:0,,0.959,315
59,2:1,2:1,,0.841,317
60,1:0,1:0,,0.52,330
61,1:0,1:0,,0.827,337
62,1:0,1:0,,0.51,343
63,1:0,1:0,,0.901,345
64,1:0,2:1,+,0.51,378
65,1:0,2:1,+,0.508,379
66,1:0,2:1,+,0.557,384
67,1:0,2:1,+,0.504,385
68,1:0,1:0,,0.898,387
69,1:0,1:0,,0.793,391
70,2:1,2:1,,0.849,392
71,1:0,1:0,,0.851,397
72,1:0,1:0,,0.877,400
73,2:1,2:1,,0.815,401
74,1:0,1:0,,0.887,402
75,1:0,2:1,+,0.71,403
76,1:0,1:0,,0.556,406
77,1:0,2:1,+,0.691,418
78,2:1,1:0,+,0.653,437
79,1:0,1:0,,0.582,441
80,2:1,1:0,+,0.694,452
81,2:1,1:0,+,0.812,455
82,1:0,1:0,,0.552,459
83,1:0,1:0,,0.517,463
84,1:0,2:1,+,0.507,466
85,1:0,1:0,,0.523,469
86,1:0,1:0,,0.518,472
87,1:0,1:0,,0.576,474
88,1:0,2:1,+,0.544,484
89,2:1,1:0,+,0.634,488
90,1:0,1:0,,0.532,492
91,1:0,2:1,+,0.517,502
92,1:0,1:0,,0.93,508
93,2:1,1:0,+,0.617,509
94,1:0,1:0,,0.56,510
95,1:0,1:0,,0.551,520
96,2:1,1:0,+,0.737,524
97,1:0,1:0,,0.534,540
98,1:0,1:0,,0.883,550
99,1:0,2:1,+,0.583,556
100,1:0,1:0,,0.959,562
101,2:1,2:1,,0.816,563
102,1:0,1:0,,0.899,564
103,1:0,2:1,+,0.653,565
104,1:0,1:0,,0.882,577
105,1:0,1:0,,0.865,586
106,1:0,2:1,+,0.618,592
107,1:0,1:0,,0.534,600
108,2:1,1:0,+,0.562,608
109,1:0,1:0,,0.893,612
110,2:1,1:0,+,0.668,623
111,1:0,1:0,,0.517,627
112,2:1,2:1,,0.694,632
113,1:0,1:0,,0.954,639
114,1:0,1:0,,0.955,640
115,2:1,2:1,,0.938,641
116,1:0,1:0,,0.894,642
117,1:0,1:0,,0.971,645
118,1:0,1:0,,0.901,646
119,2:1,2:1,,0.906,647
120,1:0,2:1,+,0.531,648
121,2:1,2:1,,0.742,659
122,1:0,1:0,,0.898,663
123,1:0,1:0,,0.93,681
124,2:1,1:0,+,0.549,683
125,2:1,2:1,,0.739,686
126,1:0,1:0,,0.912,687
127,2:1,1:0,+,0.648,698
128,1:0,1:0,,0.983,699
129,1:0,1:0,,0.538,702
130,1:0,1:0,,0.539,709
131,2:1,1:0,+,0.659,719
132,2:1,1:0,+,0.691,725
133,1:0,2:1,+,0.505,729
134,1:0,2:1,+,0.61,742
135,1:0,1:0,,0.965,747
136,1:0,1:0,,0.952,748
137,2:1,2:1,,0.958,749
138,1:0,2:1,+,0.646,751
139,1:0,1:0,,0.542,763
140,1:0,1:0,,0.873,766
141,1:0,1:0,,0.858,769
142,1:0,1:0,,0.954,775
143,2:1,1:0,+,0.726,776
144,2:1,2:1,,0.681,779
145,2:1,1:0,+,0.689,791
146,2:1,2:1,,0.653,794
147,1:0,1:0,,0.977,795
148,2:1,2:1,,0.819,797
149,2:1,1:0,+,0.654,800
150,1:0,1:0,,0.899,804
151,1:0,2:1,+,0.608,805
152,2:1,1:0,+,0.709,815
153,2:1,2:1,,0.72,821
154,1:0,1:0,,0.919,831
155,1:0,2:1,+,0.582,835
156,1:0,1:0,,0.574,840
157,2:1,1:0,+,0.653,854
158,1:0,1:0,,0.86,856
159,2:1,1:0,+,0.618,860
160,2:1,1:0,+,0.647,863
161,1:0,2:1,+,0.529,870
162,1:0,1:0,,0.519,871
163,1:0,1:0,,0.969,877
164,2:1,2:1,,0.805,878
165,1:0,2:1,+,0.578,880
166,1:0,1:0,,0.551,883
167,1:0,1:0,,0.52,891
168,2:1,1:0,+,0.667,896
169,1:0,1:0,,0.518,897
170,1:0,1:0,,0.872,913
171,1:0,1:0,,0.959,928
172,2:1,2:1,,0.809,929
173,1:0,2:1,+,0.559,951
174,1:0,1:0,,0.977,954
175,1:0,1:0,,0.967,955
176,2:1,2:1,,0.9,956
177,1:0,1:0,,0.899,957
178,1:0,1:0,,0.889,960
179,1:0,1:0,,0.517,972
180,1:0,1:0,,0.518,975
181,1:0,1:0,,0.905,981
182,2:1,2:1,,0.648,995
183,1:0,1:0,,0.859,1012
184,1:0,1:0,,0.99,1014
185,2:1,1:0,+,0.601,1016
186,1:0,1:0,,0.891,1017
187,1:0,1:0,,0.906,1020
188,1:0,2:1,+,0.688,1021
189,2:1,1:0,+,0.621,1025
190,2:1,1:0,+,0.687,1028
191,1:0,1:0,,0.905,1038
192,1:0,1:0,,0.879,1044
193,1:0,1:0,,0.867,1045
194,1:0,2:1,+,0.588,1051
195,1:0,1:0,,0.533,1056
196,1:0,2:1,+,0.528,1059
197,1:0,1:0,,0.523,1060
198,2:1,2:1,,0.754,1064
199,1:0,1:0,,0.883,1071
200,2:1,1:0,+,0.618,1076
201,2:1,1:0,+,0.684,1082
202,1:0,2:1,+,0.532,1086
203,1:0,1:0,,0.874,1095
204,1:0,1:0,,0.888,1104
205,2:1,1:0,+,0.706,1109
206,1:0,1:0,,0.903,1122
207,1:0,1:0,,0.877,1123
208,1:0,2:1,+,0.686,1126
209,1:0,1:0,,0.935,1129
210,2:1,2:1,,0.82,1130
211,1:0,1:0,,0.934,1135
212,2:1,1:0,+,0.597,1136
213,1:0,1:0,,0.911,1143
214,1:0,1:0,,0.853,1147
215,1:0,1:0,,0.975,1152
216,1:0,1:0,,0.864,1153
217,2:1,2:1,,0.931,1154
218,1:0,1:0,,0.885,1158
219,1:0,1:0,,0.521,1162
220,1:0,2:1,+,0.577,1171
221,1:0,2:1,+,0.792,1180
222,1:0,1:0,,0.934,1183
223,2:1,2:1,,0.852,1184
224,1:0,1:0,,0.836,1186
225,1:0,2:1,+,0.553,1194
226,1:0,1:0,,0.915,1207
227,1:0,1:0,,0.516,1215
228,1:0,1:0,,0.557,1218
229,1:0,1:0,,0.911,1224
230,2:1,2:1,,0.827,1238
231,2:1,2:1,,0.894,1241
232,1:0,1:0,,0.912,1248
233,2:1,1:0,+,0.566,1250
234,1:0,1:0,,0.989,1254
235,2:1,2:1,,0.979,1256
236,1:0,1:0,,0.9,1257
237,1:0,2:1,+,0.66,1264
238,1:0,1:0,,0.892,1266
239,1:0,2:1,+,0.739,1267
240,1:0,2:1,+,0.506,1275
241,1:0,2:1,+,0.635,1282
242,1:0,2:1,+,0.628,1291
243,1:0,2:1,+,0.63,1294
244,1:0,2:1,+,0.532,1297
245,1:0,2:1,+,0.502,1300
246,1:0,1:0,,0.867,1306
247,1:0,2:1,+,0.607,1321
248,1:0,2:1,+,0.501,1327
249,1:0,1:0,,0.907,1332
250,2:1,2:1,,0.767,1337
251,2:1,1:0,+,0.647,1349
252,1:0,2:1,+,0.554,1354
253,1:0,2:1,+,0.73,1363
254,2:1,1:0,+,0.618,1367
255,1:0,1:0,,0.95,1369
256,1:0,1:0,,0.905,1371
257,1:0,2:1,+,0.658,1372
258,2:1,1:0,+,0.668,1382
259,2:1,2:1,,0.707,1388
260,1:0,2:1,+,0.676,1390
261,1:0,1:0,,0.952,1396
262,2:1,2:1,,0.62,1397
263,2:1,1:0,+,0.651,1400
264,1:0,1:0,,0.885,1407
265,1:0,1:0,,0.871,1408
266,2:1,2:1,,0.875,1409
267,1:0,2:1,+,0.526,1410
268,1:0,2:1,+,0.548,1411
269,1:0,1:0,,0.898,1413
270,1:0,2:1,+,0.571,1426
271,2:1,2:1,,0.764,1430
272,1:0,2:1,+,0.528,1432
273,1:0,1:0,,0.537,1434
274,1:0,1:0,,0.925,1437
275,1:0,1:0,,0.902,1438
276,2:1,2:1,,0.823,1439
277,1:0,1:0,,0.905,1440
