inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.989,5
2,3:3,3:3,,0.693,10
3,3:3,3:3,,0.906,23
4,3:3,1:1,+,1,25
5,5:5,5:5,,0.923,30
6,3:3,3:3,,1,31
7,6:U,6:U,,1,33
8,3:3,3:3,,0.905,39
9,5:5,3:3,+,0.583,44
10,3:3,3:3,,0.991,49
11,3:3,3:3,,0.991,54
12,6:U,6:U,,1,63
13,3:3,3:3,,1,65
14,5:5,5:5,,0.923,66
15,2:2,2:2,,1,67
16,3:3,3:3,,1,70
17,3:3,3:3,,0.917,72
18,2:2,3:3,+,0.917,76
19,3:3,5:5,+,0.833,77
20,3:3,3:3,,1,78
21,2:2,2:2,,1,82
22,3:3,3:3,,0.8,84
23,2:2,2:2,,1,86
24,2:2,2:2,,1,96
25,5:5,5:5,,1,97
26,3:3,3:3,,0.991,109
27,3:3,3:3,,0.991,110
28,3:3,3:3,,0.99,120
29,3:3,3:3,,0.991,136
30,3:3,3:3,,0.991,137
31,3:3,3:3,,0.938,139
32,3:3,3:3,,0.991,141
33,3:3,3:3,,1,165
34,3:3,3:3,,0.99,168
35,2:2,2:2,,0.519,174
36,3:3,3:3,,0.991,192
37,3:3,3:3,,0.991,196
38,3:3,3:3,,0.991,198
39,3:3,3:3,,0.991,204
40,3:3,3:3,,0.991,208
41,3:3,3:3,,0.991,209
42,3:3,3:3,,0.906,210
43,3:3,3:3,,1,211
44,3:3,3:3,,1,213
45,3:3,3:3,,0.935,215
46,2:2,2:2,,1,218
47,2:2,3:3,+,0.8,227
48,3:3,3:3,,1,235
49,3:3,3:3,,0.99,239
50,3:3,3:3,,1,244
51,3:3,3:3,,0.935,247
52,3:3,3:3,,0.991,254
53,3:3,3:3,,0.938,259
54,5:5,5:5,,0.933,265
55,5:5,5:5,,0.933,275
56,3:3,3:3,,0.991,280
57,2:2,2:2,,1,281
58,3:3,3:3,,0.991,286
59,2:2,2:2,,1,291
60,3:3,3:3,,0.99,292
61,2:2,3:3,+,1,296
62,3:3,3:3,,0.99,298
63,3:3,2:2,+,0.519,300
64,2:2,3:3,+,0.905,302
65,3:3,2:2,+,0.519,305
66,3:3,3:3,,0.99,312
67,3:3,3:3,,0.99,316
68,3:3,3:3,,1,319
69,3:3,3:3,,0.99,321
70,3:3,3:3,,0.991,326
71,3:3,3:3,,0.991,327
72,3:3,3:3,,1,331
73,3:3,3:3,,0.991,332
74,3:3,3:3,,0.99,334
75,3:3,3:3,,0.583,342
76,3:3,3:3,,0.991,344
77,3:3,3:3,,0.991,350
78,3:3,3:3,,0.991,351
79,6:U,6:U,,1,360
80,3:3,3:3,,0.991,361
81,3:3,3:3,,1,362
82,3:3,3:3,,1,363
83,3:3,3:3,,0.906,367
84,3:3,3:3,,0.99,368
85,3:3,3:3,,0.583,370
86,2:2,2:2,,1,375
87,3:3,3:3,,0.991,380
88,2:2,2:2,,1,409
89,3:3,3:3,,0.938,416
90,3:3,3:3,,1,424
91,3:3,3:3,,0.991,425
92,3:3,3:3,,0.991,428
93,3:3,3:3,,0.991,444
94,2:2,2:2,,1,446
95,3:3,3:3,,0.991,448
96,3:3,3:3,,1,449
97,3:3,3:3,,0.991,450
98,3:3,3:3,,0.991,462
99,3:3,3:3,,0.991,467
100,3:3,3:3,,0.8,473
101,3:3,3:3,,1,477
102,3:3,3:3,,1,478
103,3:3,3:3,,0.991,482
104,3:3,3:3,,0.938,493
105,3:3,3:3,,0.991,495
106,3:3,3:3,,0.991,500
107,3:3,3:3,,0.905,513
108,3:3,3:3,,0.991,514
109,3:3,3:3,,0.991,516
110,3:3,3:3,,1,523
111,3:3,3:3,,0.991,529
112,3:3,3:3,,0.991,531
113,3:3,3:3,,1,534
114,3:3,3:3,,1,538
115,3:3,3:3,,1,541
116,2:2,2:2,,1,543
117,5:5,5:5,,0.923,547
118,3:3,3:3,,0.905,576
119,3:3,3:3,,0.906,580
120,3:3,3:3,,0.583,581
121,3:3,3:3,,0.99,584
122,3:3,3:3,,0.858,587
123,2:2,5:5,+,0.923,588
124,3:3,3:3,,0.991,590
125,3:3,3:3,,0.991,596
126,2:2,2:2,,1,599
127,3:3,3:3,,0.99,601
128,5:5,3:3,+,0.583,611
129,3:3,3:3,,0.99,613
130,3:3,3:3,,0.99,622
