inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.999,12
2,3:R,3:R,,0.96,28
3,3:R,3:R,,0.77,35
4,3:R,3:R,,0.999,38
5,3:R,3:R,,1,43
6,3:R,3:R,,1,44
7,3:R,3:R,,0.787,53
8,3:R,3:R,,0.784,61
9,3:R,3:R,,0.78,65
10,1:L,1:L,,0.877,85
11,3:R,3:R,,0.968,96
12,3:R,3:R,,0.995,97
13,1:L,1:L,,0.999,100
14,3:R,1:L,+,0.865,107
15,3:R,1:L,+,0.46,112
16,1:L,1:L,,0.904,115
17,2:B,1:L,+,0.554,120
18,3:R,3:R,,0.971,122
19,3:R,3:R,,0.996,123
20,1:L,1:L,,0.783,125
21,3:R,3:R,,0.8,127
22,3:R,3:R,,0.995,129
23,3:R,3:R,,0.995,133
24,3:R,3:R,,0.967,136
25,3:R,3:R,,0.999,142
26,3:R,3:R,,1,143
27,3:R,3:R,,0.999,146
28,3:R,3:R,,1,147
29,1:L,1:L,,0.797,151
30,3:R,3:R,,0.995,159
31,3:R,3:R,,0.999,164
32,3:R,3:R,,1,169
33,3:R,3:R,,0.97,170
34,3:R,3:R,,0.995,171
35,1:L,3:R,+,0.826,179
36,3:R,3:R,,0.824,183
37,2:B,1:L,+,0.404,186
38,3:R,3:R,,0.996,197
39,3:R,3:R,,0.999,198
40,1:L,1:L,,0.967,202
41,3:R,3:R,,0.996,219
42,3:R,3:R,,0.827,221
43,3:R,3:R,,0.996,223
44,3:R,3:R,,0.999,224
45,1:L,1:L,,0.975,232
46,1:L,1:L,,0.859,233
47,1:L,1:L,,0.979,236
48,3:R,3:R,,0.844,239
49,3:R,1:L,+,0.473,242
50,2:B,1:L,+,0.52,246
51,3:R,3:R,,0.973,254
52,3:R,3:R,,0.973,258
53,3:R,3:R,,0.996,267
54,1:L,3:R,+,0.848,279
55,2:B,3:R,+,0.344,282
56,3:R,3:R,,0.847,283
57,1:L,1:L,,0.847,285
58,3:R,3:R,,0.996,293
59,3:R,3:R,,0.999,294
60,1:L,1:L,,0.969,306
61,1:L,1:L,,0.832,307
62,3:R,3:R,,0.978,314
63,3:R,3:R,,0.854,317
64,3:R,3:R,,0.997,323
65,3:R,3:R,,0.999,324
66,1:L,1:L,,1,325
67,1:L,1:L,,0.999,326
68,2:B,1:L,+,0.426,342
69,3:R,3:R,,0.859,347
70,3:R,3:R,,0.98,348
71,1:L,1:L,,0.974,358
72,1:L,1:L,,0.853,359
73,1:L,1:L,,0.912,371
74,3:R,3:R,,0.868,373
75,1:L,1:L,,0.955,376
76,3:R,3:R,,0.979,384
77,3:R,3:R,,0.373,386
78,3:R,3:R,,1,394
79,1:L,1:L,,0.999,400
80,1:L,1:L,,0.959,402
81,1:L,1:L,,0.972,410
82,3:R,3:R,,1,424
83,1:L,1:L,,0.793,429
84,1:L,1:L,,0.994,431
85,1:L,1:L,,0.969,432
86,2:B,3:R,+,0.395,438
87,1:L,1:L,,0.979,440
88,2:B,1:L,+,0.378,442
89,1:L,1:L,,0.893,445
90,1:L,1:L,,0.423,446
91,3:R,3:R,,0.997,449
92,1:L,1:L,,1,451
93,1:L,1:L,,0.994,453
94,1:L,1:L,,0.999,456
95,1:L,1:L,,0.995,457
96,1:L,1:L,,0.859,463
97,1:L,3:R,+,0.405,464
98,2:B,1:L,+,0.387,468
99,1:L,1:L,,0.984,470
100,1:L,1:L,,0.995,483
101,1:L,1:L,,0.999,486
102,1:L,1:L,,0.978,488
103,1:L,1:L,,0.997,495
104,1:L,1:L,,0.999,500
105,1:L,1:L,,0.992,501
106,1:L,1:L,,0.756,503
107,3:R,3:R,,0.414,516
108,3:R,3:R,,1,524
109,1:L,1:L,,0.999,526
110,1:L,1:L,,0.976,540
111,3:R,3:R,,0.998,549
112,1:L,1:L,,1,550
113,1:L,1:L,,0.999,552
114,1:L,1:L,,0.996,565
115,1:L,1:L,,0.866,567
116,1:L,1:L,,0.886,571
117,2:B,3:R,+,0.409,572
118,1:L,1:L,,1,575
119,1:L,1:L,,1,576
120,1:L,1:L,,1,585
121,1:L,1:L,,0.996,587
122,1:L,1:L,,0.997,591
123,1:L,1:L,,0.874,593
124,1:L,1:L,,0.999,604
125,1:L,1:L,,0.982,618

