inst#,actual,predicted,error,prediction,ID
1,5:best,5:best,,0.69,1
2,4:good,4:good,,0.642,4
3,5:best,3:average,+,1,13
4,4:good,4:good,,0.642,14
5,3:average,2:low,+,0.8,20
6,3:average,4:good,+,0.642,21
7,4:good,5:best,+,0.69,27
8,3:average,4:good,+,0.642,32
9,4:good,5:best,+,0.528,34
10,2:low,4:good,+,0.642,35
11,4:good,4:good,,0.642,40
12,4:good,5:best,+,0.528,47
13,5:best,4:good,+,0.642,52
14,4:good,4:good,,0.642,58
15,2:low,2:low,,0.8,62
16,4:good,4:good,,0.642,64
17,4:good,5:best,+,0.528,71
18,3:average,4:good,+,0.642,80
19,4:good,5:best,+,0.69,85
20,2:low,2:low,,0.8,87
21,5:best,5:best,,0.528,91
22,2:low,2:low,,0.857,95
23,1:none,1:none,,0.974,98
24,4:good,5:best,+,0.69,99
25,2:low,4:good,+,0.642,102
26,4:good,5:best,+,0.69,105
27,5:best,5:best,,0.69,106
28,2:low,4:good,+,0.642,121
29,4:good,5:best,+,0.69,128
30,4:good,5:best,+,0.69,130
31,5:best,5:best,,0.528,134
32,3:average,4:good,+,0.642,138
33,3:average,3:average,,0.718,156
34,5:best,5:best,,0.528,159
35,4:good,5:best,+,0.528,160
36,4:good,3:average,+,0.718,161
37,3:average,3:average,,0.765,166
38,2:low,2:low,,0.909,170
39,1:none,1:none,,0.807,187
40,1:none,2:low,+,0.909,189
41,4:good,3:average,+,0.765,191
42,5:best,5:best,,0.528,200
43,1:none,3:average,+,0.765,201
44,5:best,5:best,,0.528,205
45,4:good,4:good,,0.642,206
46,2:low,2:low,,0.8,214
47,4:good,4:good,,0.642,216
48,4:good,4:good,,0.642,217
49,4:good,5:best,+,0.69,230
50,1:none,1:none,,1,240
51,1:none,1:none,,1,241
52,1:none,1:none,,1,242
53,1:none,1:none,,1,243
54,1:none,1:none,,1,251
55,1:none,1:none,,1,252
56,4:good,4:good,,0.642,269
57,5:best,4:good,+,0.642,270
58,4:good,4:good,,0.642,273
59,5:best,4:good,+,0.642,276
60,4:good,5:best,+,0.69,288
61,3:average,3:average,,0.765,295
62,2:low,3:average,+,0.718,308
63,3:average,3:average,,0.718,313
64,1:none,1:none,,0.807,315
65,4:good,4:good,,0.642,330
66,3:average,4:good,+,0.642,337
67,3:average,4:good,+,0.642,339
68,3:average,4:good,+,0.642,343
69,3:average,3:average,,0.75,345
70,3:average,4:good,+,0.642,366
71,4:good,4:good,,0.642,372
72,1:none,1:none,,0.974,378
73,5:best,4:good,+,0.642,379
74,3:average,3:average,,0.75,385
75,4:good,3:average,+,0.75,387
76,3:average,3:average,,0.765,389
77,1:none,1:none,,0.807,391
78,3:average,3:average,,0.718,392
79,1:none,3:average,+,0.718,397
80,1:none,1:none,,0.807,401
81,3:average,3:average,,0.718,406
82,4:good,5:best,+,0.528,413
83,2:low,3:average,+,0.718,418
84,3:average,2:low,+,0.909,427
85,3:average,4:good,+,0.642,435
86,4:good,5:best,+,0.528,454
87,4:good,4:good,,0.642,455
88,1:none,2:low,+,0.8,458
89,4:good,4:good,,0.642,459
90,4:good,4:good,,0.642,460
91,1:none,1:none,,0.807,461
92,4:good,4:good,,0.642,466
93,4:good,4:good,,0.642,471
94,2:low,4:good,+,0.642,474
95,4:good,4:good,,0.642,475
96,2:low,4:good,+,0.642,476
97,4:good,4:good,,0.642,484
98,3:average,4:good,+,0.642,489
99,3:average,4:good,+,0.642,491
100,3:average,2:low,+,0.8,492
101,3:average,4:good,+,0.642,498
102,3:average,3:average,,0.718,502
103,3:average,4:good,+,0.642,504
104,4:good,4:good,,0.642,508
105,3:average,2:low,+,0.857,510
106,3:average,2:low,+,0.8,520
107,3:average,3:average,,0.718,524
108,4:good,4:good,,0.642,540
109,4:good,4:good,,0.642,546
110,4:good,5:best,+,0.69,553
111,1:none,3:average,+,0.765,555
112,1:none,1:none,,0.807,556
113,3:average,3:average,,0.718,560
114,3:average,3:average,,0.718,561
115,1:none,1:none,,0.807,562
116,3:average,2:low,+,0.8,563
117,1:none,1:none,,0.807,564
118,2:low,2:low,,0.8,565
119,3:average,4:good,+,0.642,566
120,1:none,1:none,,0.807,573
121,5:best,5:best,,0.69,574
122,4:good,4:good,,0.642,577
123,4:good,4:good,,0.642,592
124,2:low,2:low,,0.857,600
125,5:best,5:best,,0.528,612
126,5:best,4:good,+,0.642,614
127,5:best,5:best,,0.528,621
128,4:good,4:good,,0.642,622
129,4:good,5:best,+,0.528,623
130,1:none,1:none,,0.974,628
131,2:low,1:none,+,0.807,630
132,3:average,3:average,,0.718,645
133,3:average,3:average,,0.718,646
134,5:best,5:best,,0.69,647
135,5:best,5:best,,0.69,656
136,3:average,2:low,+,0.909,661
137,1:none,1:none,,0.974,662
138,1:none,1:none,,0.974,663
139,1:none,1:none,,0.974,681
140,1:none,1:none,,0.974,686
141,1:none,1:none,,0.974,691
142,1:none,1:none,,0.974,697
143,1:none,1:none,,0.974,700
144,1:none,1:none,,0.974,715
145,1:none,1:none,,0.974,718
146,1:none,1:none,,0.974,729
147,4:good,5:best,+,0.69,733

