inst#,actual,predicted,error,prediction,ID
1,2:noband,2:noband,,0.542,1
2,1:band,1:band,,0.624,13
3,2:noband,2:noband,,0.745,20
4,2:noband,2:noband,,0.824,21
5,1:band,2:noband,+,0.631,34
6,2:noband,2:noband,,0.843,43
7,2:noband,2:noband,,0.654,49
8,1:band,1:band,,0.505,50
9,2:noband,2:noband,,0.726,52
10,2:noband,2:noband,,0.646,53
11,2:noband,2:noband,,0.659,54
12,1:band,2:noband,+,0.666,58
13,2:noband,2:noband,,0.681,71
14,2:noband,2:noband,,0.69,80
15,1:band,2:noband,+,0.515,87
16,2:noband,1:band,+,0.545,88
17,2:noband,2:noband,,0.798,91
18,2:noband,2:noband,,0.746,99
19,2:noband,2:noband,,0.788,102
20,1:band,2:noband,+,0.742,105
21,1:band,2:noband,+,0.582,106
22,1:band,2:noband,+,0.67,121
23,2:noband,2:noband,,0.686,130
24,2:noband,1:band,+,0.516,134
25,2:noband,2:noband,,0.838,160
26,2:noband,2:noband,,0.564,161
27,1:band,2:noband,+,0.524,166
28,1:band,2:noband,+,0.566,169
29,2:noband,2:noband,,0.725,174
30,1:band,2:noband,+,0.582,187
31,1:band,2:noband,+,0.782,189
32,1:band,2:noband,+,0.636,190
33,1:band,2:noband,+,0.613,191
34,2:noband,2:noband,,0.841,201
35,2:noband,2:noband,,0.812,205
36,2:noband,2:noband,,0.82,207
37,2:noband,2:noband,,0.82,212
38,2:noband,2:noband,,0.782,214
39,2:noband,2:noband,,0.828,216
40,2:noband,2:noband,,0.851,217
41,1:band,2:noband,+,0.571,236
42,1:band,2:noband,+,0.597,241
43,2:noband,2:noband,,0.815,243
44,2:noband,2:noband,,0.847,251
45,1:band,2:noband,+,0.719,252
46,2:noband,2:noband,,0.811,259
47,2:noband,2:noband,,0.704,263
48,2:noband,2:noband,,0.728,264
49,2:noband,2:noband,,0.807,269
50,2:noband,2:noband,,0.831,270
51,2:noband,2:noband,,0.68,273
52,1:band,1:band,,0.527,276
53,2:noband,2:noband,,0.78,279
54,2:noband,2:noband,,0.766,295
55,2:noband,2:noband,,0.859,303
56,2:noband,2:noband,,0.791,306
57,1:band,2:noband,+,0.506,308
58,1:band,1:band,,0.527,309
59,2:noband,2:noband,,0.867,313
60,2:noband,2:noband,,0.754,315
61,2:noband,2:noband,,0.813,319
62,2:noband,2:noband,,0.819,328
63,2:noband,2:noband,,0.801,330
64,1:band,2:noband,+,0.615,337
65,1:band,2:noband,+,0.521,339
66,2:noband,2:noband,,0.875,343
67,2:noband,2:noband,,0.674,345
68,2:noband,2:noband,,0.756,350
69,1:band,2:noband,+,0.51,359
70,1:band,2:noband,+,0.696,363
71,1:band,2:noband,+,0.774,366
72,2:noband,2:noband,,0.728,372
73,1:band,2:noband,+,0.596,385
74,1:band,1:band,,0.58,387
75,2:noband,2:noband,,0.701,389
76,2:noband,2:noband,,0.714,401
77,1:band,1:band,,0.621,409
78,2:noband,2:noband,,0.669,413
79,1:band,2:noband,+,0.524,419
80,2:noband,2:noband,,0.767,427
81,1:band,2:noband,+,0.525,430
82,2:noband,2:noband,,0.556,435
83,2:noband,2:noband,,0.749,443
84,2:noband,2:noband,,0.752,445
85,2:noband,2:noband,,0.695,451
86,1:band,2:noband,+,0.528,454
87,1:band,2:noband,+,0.501,458
88,1:band,2:noband,+,0.609,459
89,1:band,2:noband,+,0.666,463
90,1:band,1:band,,0.63,466
91,1:band,2:noband,+,0.664,474
92,1:band,2:noband,+,0.621,475
93,1:band,1:band,,0.533,476
94,1:band,2:noband,+,0.649,480
95,1:band,2:noband,+,0.583,484
96,1:band,1:band,,0.526,487
97,1:band,2:noband,+,0.647,491
98,1:band,1:band,,0.566,501
99,1:band,2:noband,+,0.563,503
100,1:band,1:band,,0.538,504
101,1:band,2:noband,+,0.558,505
102,1:band,2:noband,+,0.512,507
103,1:band,1:band,,0.513,510
104,1:band,2:noband,+,0.625,520
105,1:band,2:noband,+,0.532,525
106,1:band,2:noband,+,0.517,531
107,1:band,1:band,,0.53,534
108,1:band,1:band,,0.569,537

