inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.988,2
2,1:b,1:b,,0.703,11
3,1:b,1:b,,0.954,23
4,1:b,1:b,,0.703,29
5,1:b,1:b,,0.703,37
6,2:g,2:g,,0.988,38
7,2:g,2:g,,0.988,44
8,1:b,1:b,,0.703,65
9,1:b,1:b,,0.703,67
10,2:g,2:g,,0.988,68
11,1:b,1:b,,0.703,69
12,2:g,2:g,,0.988,74
13,1:b,2:g,+,0.988,83
14,2:g,2:g,,0.988,86
15,2:g,2:g,,0.988,96
16,2:g,2:g,,0.988,97
17,2:g,2:g,,0.988,107
18,1:b,1:b,,0.954,112
19,2:g,1:b,+,0.833,115
20,2:g,2:g,,0.988,117
21,1:b,1:b,,0.833,120
22,1:b,1:b,,0.954,122
23,2:g,2:g,,0.988,125
24,2:g,2:g,,0.988,127
25,2:g,2:g,,0.988,129
26,2:g,2:g,,0.988,133
27,2:g,1:b,+,0.833,143
28,1:b,2:g,+,0.988,144
29,1:b,1:b,,0.954,146
30,1:b,1:b,,0.954,154
31,1:b,1:b,,0.703,164
32,2:g,2:g,,0.988,165
33,2:g,2:g,,0.988,167
34,2:g,2:g,,0.988,183
35,1:b,1:b,,0.954,184
36,2:g,2:g,,0.988,193
37,1:b,1:b,,0.954,194
38,1:b,1:b,,0.954,198
39,2:g,1:b,+,0.703,209
40,2:g,1:b,+,0.833,211
41,1:b,1:b,,0.703,224
42,2:g,2:g,,0.988,225
43,2:g,2:g,,0.988,229
44,2:g,2:g,,0.988,237
45,1:b,1:b,,0.954,242
46,1:b,1:b,,0.703,244
47,2:g,2:g,,0.988,245
48,2:g,2:g,,0.988,247
49,2:g,2:g,,0.988,255
50,2:g,2:g,,0.988,256
51,2:g,2:g,,0.988,266
52,2:g,2:g,,0.988,267
53,2:g,2:g,,0.988,280
54,2:g,2:g,,0.988,281
55,2:g,2:g,,0.988,282
56,2:g,1:b,+,0.833,284
57,2:g,2:g,,0.988,287
58,2:g,1:b,+,0.954,290
59,2:g,2:g,,0.988,291
60,2:g,2:g,,0.988,296
61,2:g,2:g,,0.988,297
62,2:g,2:g,,0.988,302
63,2:g,2:g,,0.988,303
64,2:g,2:g,,0.988,317
65,2:g,2:g,,0.988,322
66,2:g,2:g,,0.988,323
67,2:g,2:g,,0.988,325
68,2:g,2:g,,0.988,326
69,2:g,2:g,,0.988,337
70,2:g,2:g,,0.988,345

