inst#,actual,predicted,error,prediction,ID
1,1:draw,16:fourteen,+,0.375,1
2,1:draw,13:eleven,+,0.5,2
3,1:draw,13:eleven,+,0.6,10
4,1:draw,18:sixteen,+,0.75,12
5,1:draw,1:draw,,0.333,18
6,1:draw,1:draw,,0.435,21
7,1:draw,18:sixteen,+,0.588,28
8,1:draw,18:sixteen,+,0.588,32
9,1:draw,13:eleven,+,0.4,36
10,1:draw,18:sixteen,+,0.586,37
11,1:draw,18:sixteen,+,0.586,39
12,1:draw,1:draw,,0.5,45
13,1:draw,1:draw,,0.5,48
14,1:draw,13:eleven,+,0.556,58
15,1:draw,14:twelve,+,0.667,65
16,1:draw,1:draw,,1,66
17,1:draw,1:draw,,1,71
18,1:draw,1:draw,,0.846,73
19,1:draw,1:draw,,0.333,74
20,1:draw,1:draw,,0.5,78
21,1:draw,16:fourteen,+,0.4,80
22,1:draw,18:sixteen,+,0.588,93
23,1:draw,1:draw,,0.688,104
24,1:draw,15:thirteen,+,0.667,108
25,1:draw,15:thirteen,+,0.667,118
26,1:draw,14:twelve,+,0.4,120
27,1:draw,16:fourteen,+,0.4,122
28,1:draw,1:draw,,0.533,132
29,1:draw,15:thirteen,+,0.556,143
30,1:draw,18:sixteen,+,0.75,151
31,1:draw,17:fifteen,+,0.563,154
32,1:draw,1:draw,,0.75,156
33,1:draw,15:thirteen,+,0.75,172
34,1:draw,1:draw,,1,178
35,1:draw,13:eleven,+,0.529,179
36,1:draw,1:draw,,1,191
37,1:draw,1:draw,,1,198
38,1:draw,1:draw,,1,209
39,1:draw,1:draw,,1,211
40,1:draw,16:fourteen,+,0.857,212
41,1:draw,1:draw,,1,220
42,1:draw,1:draw,,1,223
43,1:draw,1:draw,,0.75,228
44,1:draw,17:fifteen,+,0.538,229
45,1:draw,16:fourteen,+,0.6,232
46,1:draw,1:draw,,1,233
47,1:draw,16:fourteen,+,0.6,237
48,1:draw,15:thirteen,+,0.556,240
49,1:draw,1:draw,,0.556,244
50,1:draw,1:draw,,0.667,249
51,1:draw,1:draw,,0.667,253
52,1:draw,1:draw,,1,256
53,1:draw,16:fourteen,+,0.8,262
54,1:draw,1:draw,,0.667,270
55,1:draw,1:draw,,0.667,272
56,1:draw,1:draw,,1,277
57,1:draw,1:draw,,0.6,287
58,1:draw,17:fifteen,+,0.636,296
59,1:draw,1:draw,,1,297
60,1:draw,1:draw,,1,298
61,1:draw,13:eleven,+,0.727,305
62,1:draw,1:draw,,0.667,307
63,1:draw,16:fourteen,+,0.667,310
64,1:draw,15:thirteen,+,0.75,317
65,1:draw,1:draw,,1,320
66,1:draw,1:draw,,1,324
67,1:draw,1:draw,,1,328
68,1:draw,1:draw,,1,329
69,1:draw,1:draw,,0.8,331
70,1:draw,15:thirteen,+,0.75,350
71,1:draw,17:fifteen,+,0.692,354
72,1:draw,13:eleven,+,0.778,355
73,1:draw,1:draw,,1,363
74,1:draw,1:draw,,1,368
75,1:draw,16:fourteen,+,0.615,370
76,1:draw,17:fifteen,+,0.458,371
77,1:draw,16:fourteen,+,0.467,372
78,1:draw,1:draw,,1,375
79,1:draw,1:draw,,1,378
80,1:draw,1:draw,,1,390
81,1:draw,1:draw,,0.6,393
82,1:draw,15:thirteen,+,0.8,400
83,1:draw,1:draw,,0.7,402
84,1:draw,1:draw,,1,403
85,1:draw,1:draw,,1,414
86,1:draw,1:draw,,1,421
87,1:draw,1:draw,,1,427
88,1:draw,1:draw,,0.6,432
89,1:draw,17:fifteen,+,0.571,437
90,1:draw,17:fifteen,+,0.571,444
91,1:draw,1:draw,,0.857,453
92,1:draw,15:thirteen,+,0.625,463
93,1:draw,16:fourteen,+,0.4,486
94,1:draw,11:nine,+,0.692,490
95,1:draw,1:draw,,0.6,493
96,1:draw,1:draw,,0.667,495
97,1:draw,1:draw,,0.6,496
