inst#,actual,predicted,error,prediction,ID
1,1:UP,2:DOWN,+,0.755,1
2,2:DOWN,2:DOWN,,0.901,4
3,2:DOWN,2:DOWN,,0.932,7
4,2:DOWN,2:DOWN,,0.845,13
5,1:UP,2:DOWN,+,0.744,23
6,2:DOWN,2:DOWN,,0.819,40
7,1:UP,2:DOWN,+,0.769,49
8,2:DOWN,2:DOWN,,0.93,52
9,1:UP,2:DOWN,+,0.819,61
10,2:DOWN,2:DOWN,,0.838,70
11,2:DOWN,2:DOWN,,0.825,71
12,2:DOWN,2:DOWN,,0.846,75
13,2:DOWN,2:DOWN,,0.837,86
14,1:UP,2:DOWN,+,0.761,96
15,1:UP,2:DOWN,+,0.818,98
16,2:DOWN,2:DOWN,,0.948,103
17,1:UP,2:DOWN,+,0.914,107
18,1:UP,2:DOWN,+,0.869,108
19,1:UP,2:DOWN,+,0.846,109
20,1:UP,2:DOWN,+,0.845,110
21,1:UP,2:DOWN,+,0.782,116
22,2:DOWN,2:DOWN,,0.852,128
23,1:UP,2:DOWN,+,0.5,144
24,1:UP,2:DOWN,+,0.621,147
25,1:UP,2:DOWN,+,0.741,150
26,1:UP,1:UP,,0.984,167
27,1:UP,1:UP,,0.985,173
28,2:DOWN,2:DOWN,,0.627,176
29,2:DOWN,2:DOWN,,0.773,180
30,2:DOWN,2:DOWN,,0.61,186
31,2:DOWN,2:DOWN,,0.619,195
32,2:DOWN,2:DOWN,,0.921,198
33,2:DOWN,2:DOWN,,0.931,200
34,2:DOWN,2:DOWN,,0.83,204
35,2:DOWN,1:UP,+,0.599,210
36,2:DOWN,2:DOWN,,0.55,214
37,2:DOWN,2:DOWN,,0.574,216
38,2:DOWN,2:DOWN,,0.851,217
39,2:DOWN,2:DOWN,,0.607,219
40,1:UP,2:DOWN,+,0.552,226
41,2:DOWN,2:DOWN,,0.839,231
42,2:DOWN,2:DOWN,,0.858,233
43,1:UP,2:DOWN,+,0.788,250
44,1:UP,2:DOWN,+,0.785,252
45,2:DOWN,2:DOWN,,0.772,261
46,1:UP,1:UP,,0.528,262
47,2:DOWN,2:DOWN,,0.713,263
48,2:DOWN,2:DOWN,,0.817,266
49,2:DOWN,2:DOWN,,0.831,268
50,2:DOWN,2:DOWN,,0.814,273
51,2:DOWN,2:DOWN,,0.787,274
52,2:DOWN,2:DOWN,,0.739,277
53,2:DOWN,2:DOWN,,0.751,278
54,2:DOWN,2:DOWN,,0.763,279
55,2:DOWN,2:DOWN,,0.774,280
56,2:DOWN,2:DOWN,,0.818,283
57,2:DOWN,2:DOWN,,0.784,289
58,2:DOWN,2:DOWN,,0.834,292
59,2:DOWN,2:DOWN,,0.854,297
60,1:UP,1:UP,,0.996,304
61,1:UP,1:UP,,0.949,308
62,1:UP,1:UP,,0.767,309
63,1:UP,1:UP,,0.945,311
64,1:UP,1:UP,,0.942,314
65,1:UP,1:UP,,0.986,316
66,1:UP,1:UP,,0.986,317
67,1:UP,1:UP,,1,322
68,1:UP,1:UP,,1,323
69,1:UP,1:UP,,1,324
70,1:UP,1:UP,,0.948,330
71,2:DOWN,2:DOWN,,0.881,341
72,2:DOWN,2:DOWN,,0.896,342
73,2:DOWN,2:DOWN,,0.8,343
74,1:UP,1:UP,,0.998,351
75,1:UP,1:UP,,0.999,354
76,1:UP,1:UP,,0.999,369
77,1:UP,1:UP,,0.999,374
78,2:DOWN,1:UP,+,0.961,377
79,2:DOWN,1:UP,+,0.931,385
80,2:DOWN,1:UP,+,0.902,396
81,1:UP,1:UP,,0.999,399
82,2:DOWN,1:UP,+,0.937,407
83,2:DOWN,1:UP,+,0.723,409
84,2:DOWN,1:UP,+,0.713,416
85,1:UP,1:UP,,1,419
86,1:UP,1:UP,,0.976,428
87,1:UP,1:UP,,0.962,429
88,1:UP,1:UP,,0.971,430
89,2:DOWN,2:DOWN,,0.624,437
90,2:DOWN,2:DOWN,,0.823,438
91,2:DOWN,2:DOWN,,0.729,441
92,2:DOWN,1:UP,+,0.856,444
93,1:UP,1:UP,,0.988,447
94,2:DOWN,1:UP,+,0.897,454
95,2:DOWN,1:UP,+,0.564,457
96,1:UP,1:UP,,0.954,465
97,1:UP,1:UP,,0.993,469
98,1:UP,1:UP,,0.992,470
99,1:UP,1:UP,,0.979,471
100,2:DOWN,1:UP,+,0.863,475
101,1:UP,1:UP,,0.942,476
102,1:UP,1:UP,,0.966,479
103,1:UP,1:UP,,0.959,480
104,1:UP,1:UP,,0.866,482
105,1:UP,1:UP,,0.861,491
106,2:DOWN,2:DOWN,,0.849,494
107,1:UP,1:UP,,0.998,498
108,1:UP,1:UP,,0.996,499
109,1:UP,1:UP,,0.988,501
110,1:UP,1:UP,,0.965,505
111,1:UP,1:UP,,0.958,509
112,1:UP,1:UP,,0.995,512
113,1:UP,1:UP,,0.991,516
114,1:UP,1:UP,,0.972,517
115,2:DOWN,1:UP,+,0.538,521
116,2:DOWN,2:DOWN,,0.537,523
117,2:DOWN,2:DOWN,,0.897,532
118,2:DOWN,2:DOWN,,0.936,536
119,2:DOWN,1:UP,+,0.651,550
120,1:UP,1:UP,,0.916,564
121,1:UP,1:UP,,0.834,566
122,2:DOWN,1:UP,+,0.504,573
123,2:DOWN,2:DOWN,,0.849,578
124,2:DOWN,2:DOWN,,0.897,581
125,2:DOWN,2:DOWN,,0.766,584
126,2:DOWN,2:DOWN,,0.77,585
127,2:DOWN,2:DOWN,,0.721,588
128,1:UP,1:UP,,0.671,593
129,1:UP,1:UP,,0.722,596
130,1:UP,1:UP,,0.619,608
131,2:DOWN,1:UP,+,0.545,609
132,1:UP,1:UP,,0.657,621
133,2:DOWN,2:DOWN,,0.767,624
134,2:DOWN,2:DOWN,,0.789,625
