inst#,actual,predicted,error,prediction,ID
1,1:+,1:+,,0.913,3
2,1:+,2:-,+,1,5
3,1:+,1:+,,1,12
4,1:+,1:+,,0.913,16
5,1:+,1:+,,0.913,17
6,1:+,1:+,,0.913,19
7,1:+,1:+,,0.913,25
8,1:+,1:+,,0.913,26
9,1:+,1:+,,0.913,37
10,1:+,1:+,,0.913,45
11,1:+,1:+,,0.913,46
12,1:+,2:-,+,0.942,48
13,1:+,2:-,+,1,50
14,1:+,1:+,,0.5,57
15,1:+,1:+,,0.913,67
16,2:-,1:+,+,0.941,94
17,2:-,1:+,+,0.941,100
18,2:-,2:-,,0.6,107
19,2:-,1:+,+,0.913,113
20,2:-,1:+,+,0.913,116
21,1:+,1:+,,0.913,124
22,1:+,1:+,,0.913,126
23,1:+,1:+,,0.913,141
24,1:+,1:+,,0.913,142
25,1:+,1:+,,0.913,144
26,1:+,1:+,,0.913,149
27,1:+,1:+,,0.913,154
28,1:+,1:+,,0.913,157
29,1:+,1:+,,0.941,168
30,1:+,2:-,+,0.942,169
31,1:+,2:-,+,0.6,171
32,1:+,1:+,,0.941,172
33,1:+,1:+,,1,173
34,1:+,1:+,,0.941,175
35,1:+,1:+,,0.913,179
36,1:+,1:+,,0.913,180
37,1:+,1:+,,0.913,185
38,1:+,1:+,,1,190
39,1:+,1:+,,0.913,194
40,1:+,1:+,,0.913,195
41,1:+,1:+,,1,222
42,1:+,2:-,+,1,225
43,1:+,1:+,,0.913,228
44,1:+,1:+,,1,229
45,1:+,1:+,,0.913,237
46,1:+,1:+,,0.913,245
47,2:-,2:-,,0.942,255
48,2:-,2:-,,0.942,261
49,2:-,2:-,,0.942,263
50,1:+,1:+,,1,268
51,2:-,2:-,,0.942,272
52,2:-,2:-,,0.942,274
53,2:-,2:-,,0.942,280
54,2:-,2:-,,0.942,283
55,2:-,2:-,,0.942,285
56,2:-,2:-,,0.942,287
57,2:-,2:-,,0.942,298
58,2:-,2:-,,0.942,301
59,2:-,2:-,,0.942,304
60,2:-,1:+,+,1,305
61,2:-,2:-,,0.942,306
62,2:-,2:-,,0.942,312
63,2:-,2:-,,0.942,316
64,1:+,2:-,+,0.942,319
65,1:+,2:-,+,0.942,322
66,2:-,2:-,,0.942,329
67,2:-,2:-,,0.942,344
68,2:-,2:-,,0.942,350
69,2:-,2:-,,0.942,362
70,2:-,2:-,,0.942,364
71,2:-,2:-,,0.942,370
72,2:-,2:-,,0.942,374
73,2:-,2:-,,0.942,388
74,2:-,2:-,,0.942,399
75,2:-,2:-,,0.942,408
76,2:-,2:-,,0.942,411
77,2:-,2:-,,0.942,417
78,2:-,2:-,,0.942,422
79,2:-,2:-,,0.942,428
80,2:-,2:-,,0.942,429
81,2:-,2:-,,0.942,430
82,2:-,2:-,,0.942,434
83,2:-,2:-,,0.942,436
84,2:-,2:-,,0.942,437
85,2:-,2:-,,0.942,439
86,2:-,2:-,,0.942,443
87,2:-,2:-,,0.942,445
88,2:-,2:-,,0.942,448
89,2:-,2:-,,0.942,457
90,2:-,2:-,,0.942,464
91,2:-,2:-,,0.942,465
92,2:-,2:-,,0.942,468
93,2:-,2:-,,0.942,473
94,1:+,1:+,,0.5,494
95,1:+,1:+,,0.913,503
96,1:+,1:+,,0.913,506
97,1:+,2:-,+,0.6,512
98,1:+,1:+,,1,514
99,1:+,1:+,,0.913,519
100,2:-,1:+,+,0.913,528
101,2:-,1:+,+,0.5,532
102,2:-,2:-,,1,538
103,2:-,1:+,+,0.941,541
104,2:-,2:-,,1,542
105,2:-,2:-,,0.6,545
106,1:+,1:+,,0.913,547
107,1:+,1:+,,0.913,557
108,1:+,1:+,,0.913,570
109,1:+,1:+,,0.913,571
110,1:+,1:+,,0.913,574
111,1:+,2:-,+,1,582
112,1:+,1:+,,0.941,584
113,1:+,1:+,,0.913,589
114,1:+,1:+,,0.913,590
115,1:+,1:+,,0.913,591
116,1:+,2:-,+,0.942,593
117,1:+,1:+,,0.913,596
118,2:-,2:-,,0.942,605
119,2:-,2:-,,0.942,607
120,2:-,2:-,,0.942,615
121,1:+,2:-,+,0.942,622
122,2:-,2:-,,0.942,626
123,2:-,2:-,,0.942,627
124,2:-,2:-,,0.942,630
125,2:-,2:-,,0.942,632
126,2:-,2:-,,0.942,633
127,2:-,2:-,,0.942,634
128,2:-,2:-,,0.942,635
129,2:-,2:-,,0.942,641
130,2:-,2:-,,1,653
131,2:-,2:-,,0.942,660
132,2:-,2:-,,0.942,665
133,2:-,2:-,,0.942,666
134,2:-,2:-,,0.942,672
135,2:-,2:-,,0.942,678
136,2:-,2:-,,0.942,680
137,2:-,2:-,,0.942,688
138,2:-,2:-,,0.942,689

