inst#,actual,predicted,error,prediction,ID
1,2:'build wind non-float',2:build wind non-float,,0.438,9
2,2:'build wind non-float',2:build wind non-float,,0.57,15
3,7:headlamps,7:headlamps,,0.723,16
4,5:containers,2:build wind non-float,+,0.487,18
5,2:'build wind non-float',2:build wind non-float,,0.513,25
6,2:'build wind non-float',2:build wind non-float,,0.531,30
7,1:'build wind float',2:build wind non-float,+,0.463,45
8,1:'build wind float',2:build wind non-float,+,0.551,55
9,2:'build wind non-float',2:build wind non-float,,0.446,60
10,1:'build wind float',2:build wind non-float,+,0.505,66
11,1:'build wind float',1:build wind float,,0.47,69
12,2:'build wind non-float',2:build wind non-float,,0.461,73
13,2:'build wind non-float',2:build wind non-float,,0.521,75
14,5:containers,2:build wind non-float,+,0.66,84
15,2:'build wind non-float',2:build wind non-float,,0.693,86
16,6:tableware,2:build wind non-float,+,0.594,93
17,2:'build wind non-float',2:build wind non-float,,0.673,97
18,2:'build wind non-float',2:build wind non-float,,0.512,98
19,2:'build wind non-float',2:build wind non-float,,0.517,101
20,7:headlamps,7:headlamps,,0.731,104
21,7:headlamps,7:headlamps,,0.649,111
22,7:headlamps,2:build wind non-float,+,0.609,117
23,1:'build wind float',1:build wind float,,0.479,138
24,1:'build wind float',2:build wind non-float,+,0.52,141
25,2:'build wind non-float',2:build wind non-float,,0.529,144
26,2:'build wind non-float',2:build wind non-float,,0.584,148
27,2:'build wind non-float',2:build wind non-float,,0.646,152
28,1:'build wind float',1:build wind float,,0.511,158
29,2:'build wind non-float',2:build wind non-float,,0.444,167
30,2:'build wind non-float',2:build wind non-float,,0.462,170
31,2:'build wind non-float',2:build wind non-float,,0.541,171
32,7:headlamps,2:build wind non-float,+,0.521,175
33,5:containers,2:build wind non-float,+,0.662,178
34,3:'vehic wind float',2:build wind non-float,+,0.581,182
35,1:'build wind float',2:build wind non-float,+,0.476,184
36,1:'build wind float',2:build wind non-float,+,0.511,190
37,1:'build wind float',2:build wind non-float,+,0.567,191
38,2:'build wind non-float',2:build wind non-float,,0.43,195
39,2:'build wind non-float',2:build wind non-float,,0.513,197
40,2:'build wind non-float',2:build wind non-float,,0.544,200
41,1:'build wind float',2:build wind non-float,+,0.471,203
42,3:'vehic wind float',2:build wind non-float,+,0.49,209
43,2:'build wind non-float',2:build wind non-float,,0.484,211

