inst#,actual,predicted,error,prediction,ID
1,1:false,1:false,,0.96,0
2,1:false,1:false,,0.959,4
3,1:false,1:false,,0.963,10
4,1:false,1:false,,0.953,11
5,2:true,1:false,+,0.957,18
6,1:false,1:false,,0.947,26
7,1:false,1:false,,0.952,31
8,1:false,1:false,,0.961,36
9,1:false,1:false,,0.934,40
10,2:true,1:false,+,0.938,42
11,1:false,1:false,,0.958,44
12,1:false,1:false,,0.963,45
13,1:false,1:false,,0.908,47
14,1:false,1:false,,0.881,55
15,1:false,1:false,,0.96,62
16,1:false,1:false,,0.959,64
17,1:false,1:false,,0.961,65
18,1:false,1:false,,0.873,70
19,1:false,1:false,,0.955,73
20,1:false,1:false,,0.955,89
21,1:false,1:false,,0.927,90
22,1:false,1:false,,0.934,104
23,1:false,1:false,,0.964,108
24,1:false,1:false,,0.964,110
25,1:false,1:false,,0.955,118

