inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.793,5
2,3:3,3:3,,0.793,10
3,3:3,3:3,,0.793,23
4,3:3,3:3,,0.793,25
5,5:5,3:3,+,0.793,30
6,3:3,3:3,,0.793,31
7,6:U,3:3,+,0.793,33
8,3:3,3:3,,0.793,39
9,5:5,3:3,+,0.793,44
10,3:3,3:3,,0.793,49
11,3:3,3:3,,0.793,54
12,6:U,3:3,+,0.793,63
13,3:3,3:3,,0.793,65
14,5:5,3:3,+,0.793,66
15,2:2,3:3,+,0.793,67
16,3:3,3:3,,0.793,70
17,3:3,3:3,,0.793,72
18,2:2,3:3,+,0.793,76
19,3:3,3:3,,0.793,77
20,3:3,3:3,,0.793,78
21,2:2,3:3,+,0.793,82
22,3:3,3:3,,0.793,84
23,2:2,3:3,+,0.793,86
24,2:2,3:3,+,0.793,96
25,5:5,3:3,+,0.793,97
26,3:3,3:3,,0.793,109
27,3:3,3:3,,0.793,110
28,3:3,3:3,,0.793,120
29,3:3,3:3,,0.793,136
30,3:3,3:3,,0.793,137
31,3:3,3:3,,0.793,139
32,3:3,3:3,,0.793,141
33,3:3,3:3,,0.793,165
34,3:3,3:3,,0.793,168
35,2:2,3:3,+,0.793,174
36,3:3,3:3,,0.793,192
37,3:3,3:3,,0.793,196
38,3:3,3:3,,0.793,198
39,3:3,3:3,,0.793,204
40,3:3,3:3,,0.793,208
41,3:3,3:3,,0.793,209
42,3:3,3:3,,0.793,210
43,3:3,3:3,,0.793,211
44,3:3,3:3,,0.793,213
45,3:3,3:3,,0.793,215
46,2:2,3:3,+,0.793,218
47,2:2,3:3,+,0.793,227
48,3:3,3:3,,0.793,235
49,3:3,3:3,,0.793,239
50,3:3,3:3,,0.793,244
51,3:3,3:3,,0.793,247
52,3:3,3:3,,0.793,254
53,3:3,3:3,,0.793,259
54,5:5,3:3,+,0.793,265
55,5:5,3:3,+,0.793,275
56,3:3,3:3,,0.793,280
57,2:2,3:3,+,0.793,281
58,3:3,3:3,,0.793,286
59,2:2,3:3,+,0.793,291
60,3:3,3:3,,0.793,292
61,2:2,3:3,+,0.793,296
62,3:3,3:3,,0.793,298
63,3:3,3:3,,0.793,300
64,2:2,3:3,+,0.793,302
65,3:3,3:3,,0.793,305
66,3:3,3:3,,0.793,312
67,3:3,3:3,,0.793,316
68,3:3,3:3,,0.793,319
69,3:3,3:3,,0.793,321
70,3:3,3:3,,0.793,326
71,3:3,3:3,,0.793,327
72,3:3,3:3,,0.793,331
73,3:3,3:3,,0.793,332
74,3:3,3:3,,0.793,334
