inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.413,3
2,1:1,1:1,,0.79,5
3,3:3,3:3,,0.818,9
4,3:3,3:3,,0.504,10
5,3:3,3:3,,0.493,15
6,2:2,2:2,,0.546,24
7,3:3,3:3,,0.487,27
8,3:3,3:3,,0.489,28
9,2:2,1:1,+,0.602,40
10,1:1,1:1,,0.977,42
11,1:1,2:2,+,0.429,47
12,1:1,1:1,,0.677,54
13,1:1,2:2,+,0.471,55
14,1:1,1:1,,0.559,60
15,2:2,2:2,,0.529,62
16,3:3,3:3,,0.684,66
17,2:2,2:2,,0.44,68
18,3:3,2:2,+,0.528,74
19,2:2,3:3,+,0.61,77
20,3:3,3:3,,0.997,81
21,3:3,3:3,,0.705,82
22,3:3,3:3,,0.821,92
23,3:3,3:3,,0.845,94
24,1:1,2:2,+,0.431,97
25,3:3,3:3,,0.514,101
26,3:3,3:3,,0.661,106
27,2:2,3:3,+,0.479,107
28,2:2,2:2,,0.442,110
29,2:2,1:1,+,0.869,112
30,2:2,2:2,,0.419,117
31,1:1,1:1,,0.963,125
32,1:1,1:1,,0.905,126
33,3:3,3:3,,0.991,129
34,2:2,1:1,+,0.395,131
35,1:1,1:1,,0.846,136
36,2:2,1:1,+,0.818,137
37,2:2,1:1,+,0.5,138
38,2:2,2:2,,0.459,145
39,2:2,1:1,+,0.941,147
40,1:1,1:1,,0.974,148
41,3:3,3:3,,0.999,164
42,3:3,3:3,,0.978,165
43,3:3,3:3,,0.99,167
44,1:1,3:3,+,0.503,171
45,3:3,3:3,,0.936,181
46,2:2,3:3,+,0.517,182
47,1:1,1:1,,0.723,193
48,3:3,3:3,,0.791,201
49,1:1,1:1,,0.556,204
50,2:2,3:3,+,0.717,215
51,3:3,2:2,+,0.448,223
52,2:2,1:1,+,0.729,224
53,3:3,3:3,,0.844,228
54,3:3,3:3,,0.957,232
55,2:2,1:1,+,0.936,235
56,1:1,1:1,,0.991,236
57,1:1,1:1,,0.964,242
58,1:1,1:1,,0.903,244
59,1:1,1:1,,0.938,248
60,1:1,1:1,,0.837,249
61,1:1,1:1,,0.868,250
62,3:3,3:3,,0.796,255
63,3:3,3:3,,0.579,260
64,3:3,2:2,+,0.413,265
65,1:1,1:1,,0.649,267
66,3:3,3:3,,0.89,271
67,3:3,3:3,,0.754,280
68,2:2,3:3,+,0.776,285
69,3:3,3:3,,0.719,292
70,1:1,1:1,,0.748,302
71,3:3,3:3,,0.802,310
72,3:3,3:3,,0.864,312
73,1:1,1:1,,0.881,319
74,1:1,1:1,,0.961,320
75,1:1,1:1,,0.874,326
76,3:3,2:2,+,0.519,327
77,1:1,1:1,,0.838,329
78,1:1,1:1,,0.978,333
79,3:3,3:3,,0.997,334
80,3:3,3:3,,0.727,336
81,3:3,2:2,+,0.553,338
82,3:3,3:3,,0.611,339
83,3:3,3:3,,0.957,341
84,3:3,2:2,+,0.493,345
85,3:3,3:3,,0.987,355
86,3:3,3:3,,0.816,359
87,3:3,3:3,,0.762,362
88,3:3,3:3,,0.533,363
89,3:3,3:3,,0.589,364
90,3:3,3:3,,0.766,373
91,3:3,3:3,,0.95,375
92,2:2,2:2,,0.541,384
93,2:2,1:1,+,0.516,385
94,3:3,2:2,+,0.46,388
95,2:2,1:1,+,0.701,389
96,2:2,1:1,+,0.828,390
97,3:3,3:3,,0.565,398
98,2:2,3:3,+,0.47,401
99,1:1,1:1,,0.752,404
100,3:3,2:2,+,0.481,405
101,3:3,2:2,+,0.501,419
102,3:3,3:3,,0.856,428
103,3:3,3:3,,0.592,431
104,3:3,1:1,+,0.676,434
105,3:3,1:1,+,0.809,437
106,1:1,1:1,,0.872,441
107,3:3,3:3,,0.917,446
108,3:3,3:3,,0.637,448
109,3:3,3:3,,0.696,451
110,3:3,3:3,,0.546,454
111,3:3,3:3,,0.812,467
112,3:3,2:2,+,0.471,473
113,3:3,3:3,,0.694,475
114,2:2,2:2,,0.4,476
115,3:3,3:3,,0.891,477
116,3:3,3:3,,0.483,481
117,3:3,2:2,+,0.525,484
118,1:1,1:1,,0.862,513
119,2:2,1:1,+,0.68,516
120,1:1,1:1,,0.885,517
121,1:1,1:1,,0.95,520
122,1:1,1:1,,0.947,523
123,1:1,1:1,,0.962,525
124,3:3,2:2,+,0.407,531
125,3:3,2:2,+,0.405,536
126,3:3,2:2,+,0.385,541
127,3:3,1:1,+,0.854,545
128,3:3,3:3,,0.853,558
129,3:3,1:1,+,0.537,566
130,2:2,2:2,,0.49,577
131,3:3,3:3,,0.544,587
132,3:3,2:2,+,0.414,592
133,3:3,1:1,+,0.572,603
134,3:3,1:1,+,0.745,609
135,3:3,1:1,+,0.373,614
136,3:3,3:3,,0.417,615
137,3:3,2:2,+,0.447,622
138,3:3,1:1,+,0.718,624
139,3:3,3:3,,0.525,628
140,3:3,1:1,+,0.533,638
141,3:3,1:1,+,0.684,645
142,1:1,1:1,,0.852,653
143,3:3,3:3,,0.651,661
144,3:3,2:2,+,0.448,666
145,3:3,3:3,,0.516,671
146,3:3,2:2,+,0.467,673
147,3:3,2:2,+,0.511,688
148,3:3,3:3,,0.52,689
149,3:3,1:1,+,0.511,692
150,1:1,1:1,,0.98,696
151,3:3,2:2,+,0.451,701
152,2:2,1:1,+,0.569,704
153,3:3,1:1,+,0.676,706
154,2:2,1:1,+,0.401,708
155,1:1,1:1,,0.897,710
156,3:3,1:1,+,0.693,711
157,1:1,1:1,,0.951,716
158,3:3,3:3,,0.85,722
159,3:3,3:3,,0.57,723
160,3:3,1:1,+,0.526,724
161,3:3,2:2,+,0.429,725
162,2:2,1:1,+,0.673,726
