inst#,actual,predicted,error,prediction,ID
1,5:best,5:best,,0.842,1
2,4:good,4:good,,0.531,4
3,5:best,4:good,+,0.531,13
4,4:good,4:good,,0.531,14
5,3:average,2:low,+,0.8,20
6,3:average,4:good,+,0.531,21
7,4:good,5:best,+,0.842,27
8,3:average,4:good,+,0.531,32
9,4:good,5:best,+,0.647,34
10,2:low,4:good,+,0.531,35
11,4:good,4:good,,0.531,40
12,4:good,5:best,+,0.647,47
13,5:best,5:best,,0.75,52
14,4:good,4:good,,0.531,58
15,2:low,2:low,,0.8,62
16,4:good,4:good,,0.531,64
17,4:good,4:good,,0.531,71
18,3:average,4:good,+,0.531,80
19,4:good,4:good,,0.531,85
20,2:low,2:low,,0.727,87
21,5:best,5:best,,0.647,91
22,2:low,2:low,,0.727,95
23,1:none,1:none,,0.877,98
24,4:good,4:good,,0.531,99
25,2:low,4:good,+,0.531,102
26,4:good,4:good,,0.531,105
27,5:best,5:best,,0.842,106
28,2:low,4:good,+,0.531,121
29,4:good,4:good,,0.531,128
30,4:good,4:good,,0.531,130
31,5:best,5:best,,0.647,134
32,3:average,4:good,+,0.531,138
33,3:average,2:low,+,0.579,156
34,5:best,5:best,,0.647,159
35,4:good,4:good,,0.531,160
36,4:good,4:good,,0.531,161
37,3:average,2:low,+,0.579,166
38,2:low,4:good,+,0.531,170
39,1:none,1:none,,0.877,187
40,1:none,2:low,+,0.579,189
41,4:good,2:low,+,0.579,191
42,5:best,5:best,,0.647,200
43,1:none,2:low,+,0.579,201
44,5:best,5:best,,0.647,205
45,4:good,4:good,,0.531,206
46,2:low,2:low,,0.727,214
47,4:good,4:good,,0.531,216
48,4:good,4:good,,0.531,217
49,4:good,4:good,,0.531,230
50,1:none,1:none,,1,240
51,1:none,1:none,,1,241
52,1:none,1:none,,1,242
53,1:none,1:none,,1,243
54,1:none,1:none,,1,251
55,1:none,1:none,,1,252
56,4:good,5:best,+,0.75,269
57,5:best,5:best,,0.75,270
58,4:good,4:good,,0.531,273
59,5:best,4:good,+,0.531,276
60,4:good,5:best,+,0.842,288
61,3:average,2:low,+,0.579,295
62,2:low,4:good,+,0.531,308
63,3:average,4:good,+,0.531,313
64,1:none,1:none,,0.877,315
65,4:good,4:good,,0.531,330
66,3:average,4:good,+,0.531,337
67,3:average,4:good,+,0.531,339
68,3:average,4:good,+,0.531,343
69,3:average,4:good,+,0.531,345
70,3:average,4:good,+,0.531,366
71,4:good,4:good,,0.531,372
72,1:none,1:none,,0.877,378
73,5:best,4:good,+,0.531,379
74,3:average,4:good,+,0.531,385
75,4:good,4:good,,0.531,387
76,3:average,4:good,+,0.531,389
77,1:none,1:none,,0.877,391
78,3:average,4:good,+,0.531,392
79,1:none,4:good,+,0.531,397
80,1:none,1:none,,0.877,401
81,3:average,4:good,+,0.531,406
82,4:good,2:low,+,0.579,413
83,2:low,4:good,+,0.531,418
84,3:average,4:good,+,0.531,427
85,3:average,4:good,+,0.531,435
86,4:good,4:good,,0.531,454
87,4:good,4:good,,0.531,455
88,1:none,2:low,+,0.8,458
89,4:good,4:good,,0.531,459
90,4:good,4:good,,0.531,460
91,1:none,1:none,,0.877,461
92,4:good,4:good,,0.531,466
93,4:good,4:good,,0.531,471
94,2:low,2:low,,0.8,474
95,4:good,4:good,,0.531,475
96,2:low,4:good,+,0.531,476
97,4:good,5:best,+,0.75,484
98,3:average,4:good,+,0.531,489
99,3:average,4:good,+,0.531,491
100,3:average,2:low,+,0.8,492
101,3:average,4:good,+,0.531,498
102,3:average,4:good,+,0.531,502
103,3:average,2:low,+,0.579,504
104,4:good,4:good,,0.531,508
105,3:average,2:low,+,0.579,510
106,3:average,2:low,+,0.579,520
107,3:average,4:good,+,0.531,524
108,4:good,4:good,,0.531,540
109,4:good,4:good,,0.531,546
110,4:good,5:best,+,0.842,553
111,1:none,2:low,+,0.579,555
112,1:none,1:none,,0.877,556
113,3:average,4:good,+,0.531,560
114,3:average,2:low,+,0.579,561
115,1:none,1:none,,0.877,562
116,3:average,2:low,+,0.579,563
117,1:none,1:none,,0.877,564
118,2:low,2:low,,0.579,565
119,3:average,4:good,+,0.531,566
120,1:none,1:none,,0.877,573
121,5:best,5:best,,0.842,574
122,4:good,4:good,,0.531,577
123,4:good,4:good,,0.531,592
124,2:low,2:low,,0.727,600
125,5:best,4:good,+,0.531,612
126,5:best,4:good,+,0.531,614
127,5:best,4:good,+,0.531,621
128,4:good,4:good,,0.531,622
129,4:good,4:good,,0.531,623
130,1:none,1:none,,0.877,628
131,2:low,1:none,+,0.877,630
132,3:average,4:good,+,0.531,645
133,3:average,4:good,+,0.531,646
134,5:best,4:good,+,0.531,647
135,5:best,5:best,,0.842,656
136,3:average,2:low,+,0.579,661
137,1:none,1:none,,1,662
138,1:none,1:none,,1,663
139,1:none,1:none,,1,681
140,1:none,1:none,,1,686
141,1:none,1:none,,1,691
142,1:none,1:none,,1,697
143,1:none,1:none,,1,700
144,1:none,1:none,,1,715
145,1:none,1:none,,1,718
146,1:none,1:none,,1,729
147,4:good,4:good,,0.531,733

